FeatureID,Name,Formula,MW,# mzCloud Results,KEGG Pathways,Area: 2,Area: 10,Area: 14,Area: 19,Area: 40,Area: 41,Area: 46,Area: 47,Area: 57,Area: 59,Area: 60,Area: B,name4plot,C,H,O,Cl,N,S,P,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class
Feature0019,Methyl acetoacetate,C5 H8 O3,116.04739,31,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of cofactors;Other,592676.9492,99046649.57,255650765.9,2368521.607,2117641.951,845627.5506,1345838.487,2750627.975,1125514.277,106523353.8,1154067.457,128,Methyl acetoacetate,5,8,3,0,0,0,0,1.6,0.6,-0.40000000000000036,71.7,2,-1,-0.5,0.14285714285714285,-1,Amino Sugar
Feature0018,Uridine,C9 H12 N2 O6,244.06947,5,Metabolic pathways;ABC transporters;Other,234414593.7,69963387.3,86131656.98,135780614.5,251961808,310678932.2,84625517.33,256469359.6,99485711.76,125586890.1,77315892.34,0,Uridine,9,12,6,0,2,0,0,1.3333333333333333,0.6666666666666666,0.6666666666666665,41.3,5,-1,-3,0,-3,Tannin
Feature0017,"?,?'-diglycerol",C6 H14 O5,166.08405,0,NA,537017.9084,112719781.4,123870372.6,6457306.889,279731.4123,188786.9491,158708542,307068990.9,8185484.336,251052150.9,6271403.527,128,"?,?'-diglycerol",6,14,5,0,0,0,0,2.3333333333333335,0.8333333333333334,-0.666666666666667,79.30000000000001,0,-5,-5,-0.7142857142857143,-5,Carbohydrate
Feature0016,2-O-beta-L-Arabinofuranosyl-beta-L-arabinofuranose,C10 H18 O9,282.09508,2,ABC transporters,139264434,58519060.18,134431049.2,246950043.3,163517011.8,211232999.9,167784.9103,17853043.81,252433498.5,91789416.42,232418285.1,128,2-O-beta-L-Arabinofuranosyl-beta-L-arabinofuranose,10,18,9,0,0,0,0,1.8,0.9,0,60.3,2,-7,-7,-0.45454545454545453,-7,Carbohydrate
Feature0015,L-Glutamic acid,C5 H9 N O4,147.05322,12,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;ABC transporters;Biosynthesis of plant secondary metabolites;Taste transduction;Central carbon metabolism in cancer;Carbon metabolism;Biosynthesis of cofactors;Other,34216111.98,50272494.88,37757903.16,43081771.68,39154530.07,55685615.55,84535997.35,248373804.6,25224252.35,93687105.13,37167469.52,128,L-Glutamic acid,5,9,4,0,1,0,0,1.8,0.8,0.3999999999999999,48.9,2,-2,-Inf,-0.5,-3,Carbohydrate
Feature0014,"2-Amino-N'-(2,4-dinitrophenyl)-5-hydroxypentanehydrazide",C11 H15 N5 O6,313.10231,57,NA,14265459.89,95463541.2,95166939.89,141307353.5,16250632.5,19128396.55,106225947.7,238304601.4,103036587,168552719.6,96085679.37,128,"2-Amino-N'-(2,4-dinitrophenyl)-5-hydroxypentanehydrazide",11,15,6,0,5,0,0,1.3636363636363635,0.5454545454545454,1.0909090909090908,29.209090909090907,7,1,-Inf,-0.3333333333333333,-4,Lignin
Feature0013,DL-Mevalonic acid,C6 H12 O4,148.07363,118,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of plant secondary metabolites;Biosynthesis of terpenoids and steroids;Biosynthesis of plant hormones;Biosynthesis of cofactors;Other,371331.7274,42791120.32,157159568,31400745.9,714315.1417,421365.9994,2942898.721,237787182.7,109098.3399,571624.5978,88661.89497,128,DL-Mevalonic acid,6,12,4,0,0,0,0,2,0.6666666666666666,-0.666666666666667,79.30000000000001,1,-3,-1.5,-0.25,-3,Amino Sugar
Feature0012,Citric acid,C6 H8 O7,192.02704,39,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of plant secondary metabolites;Taste transduction;Biosynthesis of phenylpropanoids;Biosynthesis of terpenoids and steroids;Biosynthesis of plant hormones;Central carbon metabolism in cancer;Carbon metabolism;Biosynthesis of cofactors;Other,35040259.83,1591109.396,1822592.063,69300829.08,68689093.45,235617865,2444376.819,2836728.164,34966750.02,4204040.975,21855045.42,128,Citric acid,6,8,7,0,0,0,0,1.3333333333333333,1.1666666666666667,1,31.799999999999997,3,-4,4,-0.2,-4,Other
Feature0011,"3,4-Dihydroxyphenylpropionic acid",C9 H10 O4,182.05791,11,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Other,749706.2003,1389164.034,1665542.605,197728733.6,1010517.697,1318020.578,694291.3945,646272.7402,203901178.3,1026836.727,194143242,16,"3,4-Dihydroxyphenylpropionic acid",9,10,4,0,0,0,0,1.1111111111111112,0.4444444444444444,-0.22222222222222232,66.63333333333333,5,1,0.2,0.42857142857142855,1,Lignin
Feature0010,2-methoxyresorcinol sulfate,C7 H8 O6 S,220.00407,12,NA,360527.4481,31104.05555,67664.24798,145317413.3,198450.8024,31982.31903,31176.23973,128883.5602,150417068.4,36680.47992,160776795,128,2-methoxyresorcinol sulfate,7,8,6,0,0,1,0,1.1428571428571428,0.8571428571428571,0.8571428571428572,35.87142857142857,4,-2,-Inf,0,-3,Tannin
Feature0009,3-Methylsalicylic acid,C8 H8 O3,152.04741,8,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Biosynthesis of phenylpropanoids;Other,247407.5523,78011998.75,117314843.4,2184368.235,992401.4287,229763.1674,1646720.628,5178309.846,864240.4662,114906806.2,820301.4226,128,3-Methylsalicylic acid,8,8,3,0,0,0,0,1,0.375,-0.25,67.425,5,2,0.4,0.5384615384615384,2,Lignin
Feature0008,L-(+)-Lactic acid,C3 H6 O3,90.03171,4,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Galactose metabolism;Fructose and mannose metabolism;Central carbon metabolism in cancer;Carbon metabolism;Other,5336735.686,29335747.58,69719712.29,86880756.31,8556893.584,8409783.296,23115470.07,98206473.09,93810416.52,58498143.17,96386607.92,128,L-(+)-Lactic acid-peak1,3,6,3,0,0,0,0,2,1,0,60.3,1,-2,-Inf,-0.3333333333333333,-2,Carbohydrate
Feature0007,9(S)-HpOTrE,C18 H30 O4,310.21449,19,Metabolic pathways;Biosynthesis of secondary metabolites;Other,27602.36165,933463.8592,8867236.267,1227413.099,230488.3031,29787.04047,2630014.904,7041032.85,2447153.591,800597.8817,1208645.162,32,9(S)-HpOTrE,18,30,4,0,0,0,0,1.6666666666666667,0.2222222222222222,-1.2222222222222223,95.13333333333333,4,0,0,0.125,0,Lipid
Feature0006,NA,C52 H84 O5 P2 S,882.55141,0,NA,33572.45411,10283315.53,40172304.52,39733.29787,35763.11078,36229.65535,1267140.34,103842803.6,50090.02806,32540913.59,53997.66722,32,Feature0006,52,84,5,0,0,1,2,1.6153846153846154,0.09615384615384616,-1.5769230769230766,105.24230769230769,12,7,0.09090909090909091,0.13978494623655913,4,Lipid
Feature0005,NA,C10 H3 N2 O5 P,261.97801,0,NA,7257202.35,38044614.08,72279778.56,87510719.95,10294817.97,12970159.12,35300964.03,97611743.7,70332654.4,59642877.79,76328092,128,Feature0005,10,3,5,0,2,0,1,0.3,0.5,0.7999999999999998,37.5,11,6,1.5,1.2222222222222223,3,Condensed HC
Feature0004,[Similar to: NP-012816; ΔMass: -493.3063 Da],C9 H22 N O8 P,303.10835,8,NA,15535392.27,49045307.74,39175984.52,46233470.55,17760593.15,22483990.13,22022586.08,29202906.6,39845404.48,66725903.81,21560809.23,128,[Similar to: NP-012816; ΔMass: -493.3063 Da],9,22,8,0,1,0,1,2.4444444444444446,0.8888888888888888,-0.8888888888888893,85.63333333333334,0,-8,10,-2,-10,Carbohydrate
Feature0003,"4-(1,3-Benzodioxol-5-ylmethyl)-3-(3,4,5-trimethoxybenzyl)tetrahydro-2-furanol",C22 H26 O7,402.16794,2,NA,379670.8853,50927.96409,54695.75122,27259043.04,75201.92683,78963.42946,53292.55811,53618.79566,94748740.42,53896.10144,94141552.84,128,"4-(1,3-Benzodioxol-5-ylmethyl)-3-(3,4,5-trimethoxybenzyl)tetrahydro-2-furanol",22,26,7,0,0,0,0,1.1818181818181819,0.3181818181818182,-0.5454545454545459,75.84545454545456,10,3,0.2,0.35135135135135137,3,Lignin
Feature0002,Phenylacetaldehyde,C8 H8 O,120.05755,17,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Other,334505.1162,55494.2969,58214.59795,21692798.38,75860.55916,181054.1604,58070.90653,60647.58916,85767438.36,61787.33547,83121579.44,128,Phenylacetaldehyde,8,8,1,0,0,0,0,1,0.125,-0.75,81.675,5,4,0.5714285714285714,0.6,4,Unsaturated HC
Feature0001,"2,4,6-Trihydroxyacetophenone",C8 H8 O4,168.04221,19,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Biosynthesis of cofactors;Other,71263.17626,144579.8075,112488.2954,35806706.25,174912.3531,190239.4542,118700.658,161927.7501,74993444.72,101066.9162,78997316.93,128,"2,4,6-Trihydroxyacetophenone",8,8,4,0,0,0,0,1,0.5,0,60.3,5,1,0.25,0.5,1,Lignin
