FeatureID,Name,Formula,MW,KEGG Pathways,name4plot,C,H,O,Cl,N,S,P,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment,isolate
Feature0029,[Similar to: L-(-)-Arabitol; ΔMass: 46.0055 Da],C6 H14 O7,198.07396,NA,[Similar to: L-(-)-Arabitol; ΔMass: 46.0055 Da],6,14,7,0,0,0,0,2.3333333333333335,1.1666666666666667,0,60.3,0,-7,7,-1.4,-7,Carbohydrate,17.977802523036466,28.701374933962132,1.5964896097387127,0.6749031636018923,1.237685306300273e-5,1.1701568530038473e-4,Upregulated,1154
Feature0028,beta-D-Ethyl glucuronide,C8 H14 O7,222.0739,NA,beta-D-Ethyl glucuronide,8,14,7,0,0,0,0,1.75,0.875,0,60.3,2,-5,-5,-0.3333333333333333,-5,Carbohydrate,25.817131172313534,18.4468880108045,0.7145212180115142,-0.48495124148722296,0.0010055898031499039,0.0032849266902896857,Downregulated,1154
Feature0024,"[Similar to: 16-Acetoxy-3-{[hexopyranosyl-(1->6)hexopyranosyl-(1->4)-2,6-dideoxy-3-O-methylhexopyranosyl]oxy}-14-hydroxycard-20(22)-enolide; ΔMass: -548.3349 Da]",C13 H20 O11,352.10057,NA,"[Similar to: 16-Acetoxy-3-{[hexopyranosyl-(1->6)hexopyranosyl-(1->4)-2,6-dideoxy-3-O-methylhexopyranosyl]oxy}-14-hydroxycard-20(22)-enolide; ΔMass: -548.3349 Da]",13,20,11,0,0,0,0,1.5384615384615383,0.8461538461538461,0.15384615384615374,55.91538461538462,4,-7,-3.5,-0.2,-7,Carbohydrate,25.1455740804305,18.834953616946933,0.7490365325007713,-0.4168920104191098,1.4535173550920985e-5,1.1701568530038473e-4,Downregulated,1154
Feature0017,"?,?'-diglycerol",C6 H14 O5,166.08405,NA,"?,?'-diglycerol",6,14,5,0,0,0,0,2.3333333333333335,0.8333333333333334,-0.666666666666667,79.30000000000001,0,-5,-5,-0.7142857142857143,-5,Carbohydrate,15.532587121143433,27.994449316007966,1.8023043487649952,0.8498426545358696,3.0258358137648036e-4,0.0013478723170406851,Upregulated,1154
Feature0009,3-Methylsalicylic acid,C8 H8 O3,152.04741,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Biosynthesis of phenylpropanoids;Other,3-Methylsalicylic acid,8,8,3,0,0,0,0,1,0.375,-0.25,67.425,5,2,0.4,0.5384615384615384,2,Phenol,17.577565091264933,25.415179159472032,1.445887358545579,0.531955163908969,0.022146466869475714,0.0387563170215825,Upregulated,1154
Feature0008,L-(+)-Lactic acid,C3 H6 O3,90.03171,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Galactose metabolism;Fructose and mannose metabolism;Central carbon metabolism in cancer;Carbon metabolism;Other,L-(+)-Lactic acid-peak1,3,6,3,0,0,0,0,2,1,0,60.3,1,-2,-Inf,-0.3333333333333333,-2,Carbohydrate,19.9168380841407,25.505168201002935,1.2805831976568653,0.3568009858114748,1.7760028571916909e-6,2.9008046667464283e-5,Upregulated,1154
Feature0006,NA,C52 H84 O5 P2 S,882.55141,NA,Feature0006,52,84,5,0,0,1,2,1.6153846153846154,0.09615384615384616,-1.5769230769230766,105.24230769230768,12,7,0.09090909090909093,0.13978494623655913,4,Lipid,16.37737196307033,22.972475144239034,1.4026960611287413,0.48820243689408177,0.023846875707127364,0.03894989698830802,Upregulated,1154
Feature0005,NA,C10 H3 N2 O5 P,261.97801,NA,Feature0005,10,3,5,0,2,0,1,0.3,0.5,0.7999999999999998,37.5,11,6,1.5,1.2222222222222223,3,Condensed HC,20.627003275064133,25.6596705374394,1.2439844118539134,0.31496840742835663,7.885474919385194e-6,9.659706776246862e-5,Upregulated,1154
Feature0004,[Similar to: NP-012816; ΔMass: -493.3063 Da],C9 H22 N O8 P,303.10835,NA,[Similar to: NP-012816; ΔMass: -493.3063 Da],9,22,8,0,1,0,1,2.4444444444444446,0.8888888888888888,-0.8888888888888893,85.63333333333334,0,-8,10,-2,-10,Carbohydrate,20.8866236232667,26.021023495684133,1.2458223964306971,0.3170984134248067,9.96335677028378e-4,0.0032849266902896857,Upregulated,1154
Feature0048,D-(+)-Maltose,C12 H22 O11,342.11635,Metabolic pathways;Biosynthesis of secondary metabolites;ABC transporters;Galactose metabolism;Phosphotransferase system (PTS);Taste transduction;Carbohydrate digestion and absorption;Starch and sucrose metabolism;Bacterial chemotaxis,D-(+)-Maltose-peak1,12,22,11,0,0,0,0,1.8333333333333333,0.9166666666666666,0,60.3,2,-9,-9,-0.5384615384615384,-9,Carbohydrate,30.0889976709874,22.16076234946165,0.736507164239294,-0.4412285360047427,0.008874436925712886,0.03623728411332761,Downregulated,1177
Feature0042,NA,C27 H37 N O5,455.26725,NA,Feature0042,27,37,5,0,1,0,0,1.3703703703703705,0.18518518518518515,-0.8888888888888893,85.63333333333334,10,5,0.1904761904761905,0.2765957446808511,4,Phenol,16.220284905140332,30.02504379482035,1.85107992679618,0.8883671899156683,0.00875051593895988,0.03623728411332761,Upregulated,1177
Feature0040,Xylitol,C5 H12 O5,152.06851,Metabolic pathways;ABC transporters;Other,Xylitol,5,12,5,0,0,0,0,2.4,1,-0.4000000000000003,71.7,0,-5,-Inf,-1,-5,Carbohydrate,21.009566472678667,29.21497402813615,1.3905557768708834,0.47566161408491886,0.0012507721458673662,0.012287594750800898,Upregulated,1177
Feature0032,"[Similar to: 16-Acetoxy-3-{[hexopyranosyl-(1->6)hexopyranosyl-(1->4)-2,6-dideoxy-3-O-methylhexopyranosyl]oxy}-14-hydroxycard-20(22)-enolide; ΔMass: -594.3404 Da]",C12 H18 O9,306.0951,NA,"[Similar to: 16-Acetoxy-3-{[hexopyranosyl-(1->6)hexopyranosyl-(1->4)-2,6-dideoxy-3-O-methylhexopyranosyl]oxy}-14-hydroxycard-20(22)-enolide; ΔMass: -594.3404 Da]",12,18,9,0,0,0,0,1.5,0.75,0,60.3,4,-5,-1.6666666666666667,-0.06666666666666667,-5,Carbohydrate,26.394412371987233,19.66773479540705,0.7451476667948363,-0.4244017403968471,5.79041012049198e-5,0.001418650479520535,Downregulated,1177
Feature0029,[Similar to: L-(-)-Arabitol; ΔMass: 46.0055 Da],C6 H14 O7,198.07396,NA,[Similar to: L-(-)-Arabitol; ΔMass: 46.0055 Da],6,14,7,0,0,0,0,2.3333333333333335,1.1666666666666667,0,60.3,0,-7,7,-1.4,-7,Carbohydrate,17.977802523036466,29.50985055817175,1.6414603798411014,0.7149799277990484,0.006240840741323193,0.03602421024190568,Upregulated,1177
Feature0024,"[Similar to: 16-Acetoxy-3-{[hexopyranosyl-(1->6)hexopyranosyl-(1->4)-2,6-dideoxy-3-O-methylhexopyranosyl]oxy}-14-hydroxycard-20(22)-enolide; ΔMass: -548.3349 Da]",C13 H20 O11,352.10057,NA,"[Similar to: 16-Acetoxy-3-{[hexopyranosyl-(1->6)hexopyranosyl-(1->4)-2,6-dideoxy-3-O-methylhexopyranosyl]oxy}-14-hydroxycard-20(22)-enolide; ΔMass: -548.3349 Da]",13,20,11,0,0,0,0,1.5384615384615383,0.8461538461538461,0.15384615384615374,55.91538461538462,4,-7,-3.5,-0.2,-7,Carbohydrate,25.1455740804305,18.51691071074675,0.7363884654817845,-0.4414610658673261,0.0023092661774453357,0.01616486324211735,Downregulated,1177
Feature0017,"?,?'-diglycerol",C6 H14 O5,166.08405,NA,"?,?'-diglycerol",6,14,5,0,0,0,0,2.3333333333333335,0.8333333333333334,-0.666666666666667,79.30000000000001,0,-5,-5,-0.7142857142857143,-5,Carbohydrate,15.532587121143433,28.0415475891059,1.8053365720984682,0.8522678263820457,0.0066166916770847165,0.03602421024190568,Upregulated,1177
Feature0008,L-(+)-Lactic acid,C3 H6 O3,90.03171,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Galactose metabolism;Fructose and mannose metabolism;Central carbon metabolism in cancer;Carbon metabolism;Other,L-(+)-Lactic acid-peak1,3,6,3,0,0,0,0,2,1,0,60.3,1,-2,-Inf,-0.3333333333333333,-2,Carbohydrate,19.9168380841407,26.566055187815103,1.333849031436823,0.41559538771991833,1.1216475765736475e-5,5.496073125210873e-4,Upregulated,1177
Feature0005,NA,C10 H3 N2 O5 P,261.97801,NA,Feature0005,10,3,5,0,2,0,1,0.3,0.5,0.7999999999999998,37.5,11,6,1.5,1.2222222222222223,3,Condensed HC,20.627003275064133,26.3795655010695,1.2788850202472022,0.35488656275293773,1.268096883567231e-4,0.002071224909826477,Upregulated,1177
Feature0042,NA,C27 H37 N O5,455.26725,NA,Feature0042,27,37,5,0,1,0,0,1.3703703703703705,0.18518518518518515,-0.8888888888888893,85.63333333333334,10,5,0.1904761904761905,0.2765957446808511,4,Phenol,16.220284905140332,7.216994985158257,0.4449363884398317,-1.1683290029483495,0.0018318612669374575,0.0069047078523027244,Downregulated,1246
Feature0036,2-Aminobutyl hydrogen sulfate,C4 H11 N O4 S,169.04084,NA,2-Aminobutyl hydrogen sulfate,4,11,4,0,1,1,0,2.75,1,0.5,46.05,0,-4,3,-Inf,-6,Other,21.472639609161433,27.607271049256433,1.2856952639151835,0.3625487349394113,2.222625304334149e-5,7.318955585111162e-4,Upregulated,1246
Feature0035,6-Deoxy-alpha-D-arabino-hexopyranos-3-ulose,C6 H10 O5,162.05276,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Fructose and mannose metabolism;Other,6-Deoxy-alpha-D-arabino-hexopyranos-3-ulose,6,10,5,0,0,0,0,1.6666666666666667,0.8333333333333334,0,60.3,2,-3,-3,-0.14285714285714285,-3,Carbohydrate,26.689286902496733,21.411378845164133,0.8022461942646035,-0.31788305429253444,2.3610477152436195e-4,0.0019281889674489557,Downregulated,1246
Feature0033,2-Methoxy-6-methyl-4H-pyran-4-one,C7 H8 O3,140.0474,Microbial metabolism in diverse environments;Other,2-Methoxy-6-methyl-4H-pyran-4-one,7,8,3,0,0,0,0,1.1428571428571428,0.42857142857142855,-0.2857142857142856,68.44285714285714,4,1,0.25,0.4545454545454546,1,Phenol,17.4905538297975,26.2752961651222,1.5022563848354944,0.5871310535748421,0.012403058122976703,0.03574999106034461,Upregulated,1246
Feature0007,9(S)-HpOTrE,C18 H30 O4,310.21449,Metabolic pathways;Biosynthesis of secondary metabolites;Other,9(S)-HpOTrE,18,30,4,0,0,0,0,1.6666666666666667,0.2222222222222222,-1.2222222222222223,95.13333333333333,4,0,0,0.125,0,Lipid,16.9239534805288,11.488511723481567,0.6788314406973068,-0.5588747087226952,0.019604186657373995,0.04574310220053932,Downregulated,1246
Feature0006,NA,C52 H84 O5 P2 S,882.55141,NA,Feature0006,52,84,5,0,0,1,2,1.6153846153846154,0.09615384615384616,-1.5769230769230766,105.24230769230768,12,7,0.09090909090909093,0.13978494623655913,4,Lipid,16.37737196307033,6.158464860138307,0.3760349874219841,-1.4110611940698496,1.842903899950271e-4,0.0018060458219512656,Downregulated,1246
