FeatureID,Name,Formula,MW,# ChemSpider Results,# mzCloud Results,KEGG Pathways,Area: 60_CTRL_1246.1,Area: 59_CTRL_1154.1,Area: 58_ERLE_1154.1,Area: 57_CTRL_1246.3,Area: 56_BOCU_1246.1,Area: 55_LEDU_CTRL.2,Area: 54_LEDU_CTRL.1,Area: 53_ERIN_1177.1,Area: 52_BOCU_1246.2,Area: 51_ERLE_1246.2,Area: 50_BOCU_CTRL.2,Area: 49_ERIN_1246.3,Area: 48_LEDU_CTRL.2,Area: 47_CTRL_1177.1,Area: 46_CTRL_1154.2,Area: 45_LEDU_1154.1,Area: 44_BOCU_1154.2,Area: 43_ERIN_1154.3,Area: 42_ERIN_1154.2,Area: 41_CTRL_CTRL.1,Area: 40_CTRL_CTRL.3,Area: 39_ERIN_1177.2,Area: 38_BOCU_1177.2,Area: 37_ERLE_1246.3,Area: 36_ERIN_CTRL.1,Area: 35_LEDU_1246.3,Area: 34_ERLE_1177.2,Area: 33_BOCU_1177.1,Area: 32_ERLE_CTRL.2,Area: 31_BOCU_CTRL.1,Area: 30_ERLE_1154.3,Area: 29_LEDU_1246.1,Area: 28_ERLE_CTRL.1,Area: 27_LEDU_1177.2,Area: 26_LEDU_1246.2,Area: 25_ERIN_CTRL.2,Area: 24_ERLE_1177.1,Area: 22_BOCU_CTRL.2,Area: 21_LEDU_1177.3,Area: 20_ERIN_1154.1,Area: 19_CTRL_1246.2,Area: 18_BOCU_1154.3,Area: 17_ERIN_CTRL.2,Area: 16_ERLE_CTRL.2,Area: 15_BOCU_1177.3,Area: 14_CTRL_1177.3,Area: 13_ERLE_1246.1,Area: 12_ERLE_1177.3,Area: 11_ERIN_1246.1,Area: 10_CTRL_1154.3,Area: 9_ERLE_1154.2,Area: 8_ERIN_1246.2,Area: 7_BOCU_1154.1,Area: 6_LEDU_1177.1,Area: 5_LEDU_1154.2,Area: 4_BOCU_1246.3,Area: 3_LEDU_1154.3,Area: 2_CTRL_CTRL.2,Area: 1_ERIN_1177.3,Gap Status: 60_CTRL_1246.1,Gap Status: 59_CTRL_1154.1,Gap Status: 58_ERLE_1154.1,Gap Status: 57_CTRL_1246.3,Gap Status: 56_BOCU_1246.1,Gap Status: 55_LEDU_CTRL.2,Gap Status: 54_LEDU_CTRL.1,Gap Status: 53_ERIN_1177.1,Gap Status: 52_BOCU_1246.2,Gap Status: 51_ERLE_1246.2,Gap Status: 50_BOCU_CTRL.2,Gap Status: 49_ERIN_1246.3,Gap Status: 48_LEDU_CTRL.2,Gap Status: 47_CTRL_1177.1,Gap Status: 46_CTRL_1154.2,Gap Status: 45_LEDU_1154.1,Gap Status: 44_BOCU_1154.2,Gap Status: 43_ERIN_1154.3,Gap Status: 42_ERIN_1154.2,Gap Status: 41_CTRL_CTRL.1,Gap Status: 40_CTRL_CTRL.3,Gap Status: 39_ERIN_1177.2,Gap Status: 38_BOCU_1177.2,Gap Status: 37_ERLE_1246.3,Gap Status: 36_ERIN_CTRL.1,Gap Status: 35_LEDU_1246.3,Gap Status: 34_ERLE_1177.2,Gap Status: 33_BOCU_1177.1,Gap Status: 32_ERLE_CTRL.2,Gap Status: 31_BOCU_CTRL.1,Gap Status: 30_ERLE_1154.3,Gap Status: 29_LEDU_1246.1,Gap Status: 28_ERLE_CTRL.1,Gap Status: 27_LEDU_1177.2,Gap Status: 26_LEDU_1246.2,Gap Status: 25_ERIN_CTRL.2,Gap Status: 24_ERLE_1177.1,Gap Status: 22_BOCU_CTRL.2,Gap Status: 21_LEDU_1177.3,Gap Status: 20_ERIN_1154.1,Gap Status: 19_CTRL_1246.2,Gap Status: 18_BOCU_1154.3,Gap Status: 17_ERIN_CTRL.2,Gap Status: 16_ERLE_CTRL.2,Gap Status: 15_BOCU_1177.3,Gap Status: 14_CTRL_1177.3,Gap Status: 13_ERLE_1246.1,Gap Status: 12_ERLE_1177.3,Gap Status: 11_ERIN_1246.1,Gap Status: 10_CTRL_1154.3,Gap Status: 9_ERLE_1154.2,Gap Status: 8_ERIN_1246.2,Gap Status: 7_BOCU_1154.1,Gap Status: 6_LEDU_1177.1,Gap Status: 5_LEDU_1154.2,Gap Status: 4_BOCU_1246.3,Gap Status: 3_LEDU_1154.3,Gap Status: 2_CTRL_CTRL.2,Gap Status: 1_ERIN_1177.3,Gap Status: 1plus_RP_pos_MS2.raw (F193),name4plot,C,H,N,O,S,P,Cl,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class
Feature0322,"Octahydro-1,6,7,8-indolizinetetrol",C8 H15 N O4,189.10014,32,77,NA,412820.0368,1173987.828,352816.8774,350067.6861,351547.1842,440494.9833,288363.0418,11084919.99,444348.0631,351073.7157,261676.0428,256458.9849,438677.1636,35435823.7,4558935.109,12186203.6,8229968.284,7917700.43,5569642.964,389305.3552,141757.1259,14251991.79,42526934.48,309961.6482,200863.9829,426260.1261,17866365.02,30522277.09,329420.5296,305948.4335,1950833.678,380962.3817,355563.3065,41038357.33,411317.9436,338324.8383,12908040.74,359655.0287,20081005.88,4167404.285,270388.8905,22371521,219249.8065,307122.5033,57710388.44,65966584.8,292464.6987,11401303.62,217880.2251,20551953,1689225.237,220732.7423,5533559.873,35563835.82,6188687.165,328428.5236,7633753.091,337049.2418,9067313.01,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,"Octahydro-1,6,7,8-indolizinetetrol",8,15,1,4,0,0,0,1.875,0.5,-0.5,74.55,2,-2,-1,-0.2,-3,Protein
Feature0321,O-Ethylthreonine,C6 H13 N O3,147.08956,31,24,Biosynthesis of secondary metabolites;Cyanoamino acid metabolism,210346.2974,4910933.728,240103.238,217397.5366,271947.4961,12498439.38,6738174.91,466743.6327,213262.359,159114.1111,2135530.561,177317.897,9047385.857,1317539.812,202500.3907,449769.9904,512648.7384,202173.9992,180220.6817,13357788.73,9857444.051,181200.0553,45235052.21,225454.5073,12605079.25,226074.5199,13531999.15,48322416.81,12564561.89,6527128.72,195969.8581,241252.3727,8425953.418,42775580.52,244163.2149,11580979.92,263532.1054,3012274.893,1200293.223,224178.2554,415134.1355,8339967.404,8338008.316,12082686.47,69401446.15,32343291.19,145760.7154,271191.1069,158303.3256,7613082.665,157592.1197,193166.5137,220003.69,7069624.278,349361.2197,296521.3523,346821.9488,10868139.7,252214.425,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,O-Ethylthreonine,6,13,1,3,0,0,0,2.1666666666666665,0.5,-0.666666666666667,79.30000000000001,1,-2,-1.5,-0.42857142857142855,-3,Protein
Feature0320,N~2~-Acetyl-L-ornithine,C7 H14 N2 O3,174.10047,23,29,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Other,2382368.636,5821622.652,795236.7307,2109928.011,2506181.504,305569195.9,210389926.3,529997.6227,5051254.509,2221135.704,2762180.825,1065212.037,176187842.3,878399.7643,1209718.703,1883927.941,1611180.968,671278.2086,481401.0177,307467044.3,255608768.1,296008.4767,15019082.55,2614768.881,338386936.5,5216955.849,5651457.13,17394978.91,448493791,202703013.7,838590.8259,6459267.357,209758698.6,12437014.56,3234503.528,298530831.5,289017.7354,115370471.4,1023237.021,388150.4515,3070730.126,7997331.278,216481800.6,328123348.4,2988669.003,2201579.66,3205713.959,282779.1914,1644538.104,6211330.907,483726.3355,1885272.926,1501383.869,3082130.246,1433634.781,3078943.967,1436141.917,233302422.9,470817.1475,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,No gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,No gap,No gap,Full gap,Full gap,No gap,Full gap,Full gap,No gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,No gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,N~2~-Acetyl-L-ornithine,7,14,2,3,0,0,0,2,0.42857142857142855,-0.2857142857142856,68.44285714285714,2,-1,-1.5,-0.42857142857142855,-3,Protein
Feature0319,NP-021733,C7 H13 N O2,143.09464,55,31,ABC transporters,288284.4422,198335.1181,141495.2496,309217.1746,418057.9006,349753.8683,257223.7731,304642.4097,492593.2798,221554.8567,176934.7298,352156.8415,9530517.801,205395.0731,262059.1761,204684.1797,233939.7227,170348.8124,208921.5808,400087.7648,313634.2061,288674.6258,310609.1722,324199.8235,359393.4136,445701.605,266684.4175,110699.7448,265898.4307,243983.6159,161080.4797,524688.483,403154.8275,272149.9324,317847.9994,319393.4415,178501.8347,239545.8378,171721.7331,136300.4026,450409.9623,300877.0564,84134098.1,314632.4404,161512.7623,185705.2072,363618.9897,190669.7447,247543.8903,197089.6718,193316.3639,248876.2131,205268.5808,236879.2472,204414.9245,580934.5849,240945.3053,300405.7188,197343.4657,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,NP-021733,7,13,1,2,0,0,0,1.8571428571428572,0.2857142857142857,-0.8571428571428568,84.72857142857141,2,0,-0.25,0,-1,Lipid
Feature0318,NP-019988,C10 H10 O4,194.05792,80,6,Metabolic pathways;Biosynthesis of secondary metabolites;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids,725389.5037,4155541.268,107971012.1,433631.2267,759635.8245,1086945.921,837404.1715,10457684.09,967956.3665,524145.8911,838587.0498,777140.3006,788329.6501,12619960.15,46500865.7,15928462.54,28262124.88,113127396.4,51403571.81,925225.7673,918385.2163,19990948.69,1378644.433,892640.5919,1092601.505,871408.0793,1524076.426,1110851.441,1082451.457,924773.9039,135377065.8,1024989.719,977020.8312,1022800.224,503991.5395,890811.8342,13382077.31,369149.8668,16415064.25,119160294.9,951033.3837,2963348.078,307125.8028,1140139.635,3863139.784,3940799.69,609733.0221,20371453.23,884931.5108,2013171.869,54266112.8,927231.9149,38534642.84,1563878.808,27231987.22,983439.6872,49700149.51,315320.524,13545215.95,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,NP-019988,10,10,0,4,0,0,0,1,0.4,-0.20000000000000018,66,6,2,0.3333333333333333,0.5,2,Lignin
Feature0317,NP-019811,C6 H7 N O2,125.04764,21,108,"Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Tropane, piperidine and pyridine alkaloid biosynthesis;Other",2892494.472,2822106.403,332443.2352,3312983.863,2723606.198,158031637.2,61476830.9,2755887.141,2307895.855,2547625.511,24992612.5,2264564.566,57514483.47,2448811.617,2189409.222,2579690.012,2751141.337,2366423.747,2533001.692,93514326.83,76655662.05,1992069.57,3409207.321,2785602.395,109119914.9,2179018.992,4865833.259,9895263.947,113634132.4,65100572.78,1723222.064,1959758.136,75334961.67,2633128.719,1706593.724,133891713.4,1239495.843,51777651.37,1456062.365,1413206.35,332732.4153,2279545.017,79603427.85,161048607.5,1088854.303,1477634.073,902291.5471,762031.2417,800232.3536,870476.7369,791461.0576,872596.5553,1161708.159,897268.064,885202.0373,847063.5862,1087540.729,80173097.48,617256.3681,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,No gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,No gap,No gap,Full gap,Full gap,No gap,Full gap,Full gap,No gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,No gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,NP-019811,6,7,1,2,0,0,0,1.1666666666666667,0.3333333333333333,0,60.3,4,2,0.3333333333333333,0.5,1,Lignin
Feature0316,NP-019445,C10 H10 O4,194.05792,80,10,Metabolic pathways;Biosynthesis of secondary metabolites;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids,298376.2627,35205229.57,716701000.1,378375.8359,532126.4759,3227922.432,432224.7919,110191426.3,1140224.557,843843.1058,692920.2587,225752.2482,500653.7619,138087651.1,368485398.7,170494704.9,269508008.9,363227696.1,204982355.1,625628.3388,832934.6638,94795350.75,9089569.728,732934.171,642656.4983,510805.5461,4977522.935,7001472.76,583342.2155,225548.0597,447711089.2,525046.9068,822454.6506,8224358.385,939767.3271,841266.0936,96033382.57,925674.7298,189476896.5,705639394.1,618836.033,12425431.64,774945.5906,291445.1154,35708769.74,30560023.26,724098.8073,51443545.52,841179.2417,11557381.19,274447925.1,261470.8497,435121529.4,28827955.11,245417326,661779.8482,330150999.9,653519.9344,32940633.54,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Missing ions,Full gap,Full gap,Full gap,Full gap,Full gap,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Missing ions,Full gap,Full gap,Missing ions,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Missing ions,Full gap,Full gap,Full gap,Full gap,Full gap,Missing ions,Full gap,Missing ions,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Missing ions,Full gap,Missing ions,Full gap,Missing ions,Full gap,Missing ions,Full gap,Full gap,NP-019445,10,10,0,4,0,0,0,1,0.4,-0.20000000000000018,66,6,2,0.3333333333333333,0.5,2,Lignin
Feature0315,NP-016455,C11 H18 N2 O4,242.12665,7,6,NA,197421.7644,502190.558,501847.8303,497519.554,646520.6536,92502859.5,58605389.68,554727.5602,968445.244,430996.0743,3710949.225,258778.8847,49301773.96,1188676.073,281377.6165,818918.6286,570603.8904,252268.8509,457890.9497,86479989.79,71111535.02,502264.6586,7035556.971,588325.2179,86296881.04,885376.3508,1292628.794,9708685.864,89691596.46,61029879.35,369853.1397,1088089.187,64923595.67,9872195.566,729733.5877,89440595.2,419597.7145,32364801.44,1513934.365,458680.6912,721528.3349,1525727.126,35600616.01,95354555.97,4863429.693,766646.859,437238.2747,2406313.991,398782.2506,466542.2861,155367.1637,403047.2065,602514.2416,4588280.264,468497.2826,488039.1543,846324.2154,76876229.75,639715.2639,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,No gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,No gap,No gap,Full gap,Full gap,No gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,NP-016455,11,18,2,4,0,0,0,1.6363636363636365,0.36363636363636365,-0.3636363636363633,70.66363636363636,4,0,-0.4,0,-2,Protein
Feature0314,NP-014287,C18 H32 O3,296.23516,26,20,Metabolic pathways;Other,78476547.45,9191325.299,20878424.2,57215406.64,153701029.2,10835502.44,9679730.264,11265197.76,143365095.2,17678685.56,51468305.09,14354205.87,14375055.32,18133790.89,11004270.6,13577939.03,15070178.54,18058357.37,27488265.07,10533277.63,9817493.875,16469843.18,123627857.6,23381891.39,9365658.635,53938623.14,105944851.2,221774884.8,10176535.34,9033224.771,34292665.87,80225894.23,9762316.641,178642845.5,43290608.37,6991528.201,15209835.27,9966355.621,12667377.44,23952489.25,112152438.9,22573100.28,9587150.014,9186418.567,14891887.13,21159666.47,11872321.92,17424880.27,10179657.22,10496050.1,16865400.89,40771183.89,15579663.34,11734981.84,11281059.07,43161107.25,12468118.22,8713759.954,9344274.683,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,NP-014287,18,32,0,3,0,0,0,1.7777777777777777,0.16666666666666666,-1.4444444444444446,101.46666666666667,3,0,0,0.09090909090909091,0,Lipid
Feature0313,NP-013538,C12 H16 O8,288.08457,11,7,NA,4351729.945,2201883.116,1308860.183,10919020.32,16236821.67,551218099.1,13273620.33,1471854.904,52382593.59,37556794.98,31144719.39,10502046.28,352219188.7,1898040.174,1374869.79,3089133.427,2124367.948,739235.6739,1150761.974,20422916.04,18697013.35,1177530.057,815048.2419,198238746.7,410629920.8,720916910.7,1809014.481,2454338.608,476049215,12753848.58,1376595.568,644060521.7,39159952.26,2745328.815,556595023.3,513802923.3,684501.6638,11047747.86,2177289.342,1550538.057,18320994.48,3269077.295,280836402.8,485234919.1,2132062.748,1979603.421,457200794.3,493211.7705,6884240.491,1585420.157,626296.4454,166296099.8,1963443.653,1684052.425,1642714.36,302276350.6,2657588.642,17111682.48,1541228.3,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,NP-013538,12,16,0,8,0,0,0,1.3333333333333333,0.6666666666666666,0,60.3,5,-3,-0.75,0.125,-3,Tannin
Feature0312,NP-011220,C11 H18 N2 O2,210.13681,14,9,NA,105404977.5,164116057,97374644.38,122786384.8,153047000.2,127096802.4,77306092.45,97904551.8,155124751.6,77828715.4,117666119.6,74514610.78,65973169.52,132220984.8,122864993.5,140297637.4,152465056.1,80777949.91,57122162.64,113561894,99682009.8,99052434.37,161902220.7,107898469.4,118446762.5,161378704,103144638.5,157465333.9,122254167.8,82500486.54,72762668.38,143150456.5,89645687.24,168580346.9,124672019.8,119800097.2,92332321.49,73493609.77,150384289.1,94901758.22,133240537.3,170715178.9,105601915.6,133929544.8,150963493.9,146213813.9,85776914.81,85691240.12,89284863.28,132210361.6,54757575.33,96941644.06,151761097.8,113515055.9,142249858.2,119786477.7,139640903.9,100299326.7,57936900.85,Full gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,NP-011220,11,18,2,2,0,0,0,1.6363636363636365,0.18181818181818182,-0.7272727272727275,81.02727272727273,4,2,0,0.125,0,Lipid
Feature0311,NP-007065,C8 H10 O3,154.06301,53,30,Microbial metabolism in diverse environments;Other,62069841.04,2063500.329,553464.8447,61871623.56,94633130.13,197681.0313,609207.8555,1387214.771,81173889.74,36604699.6,624922.2594,40383289.92,544591.2678,2884419.187,1495822.807,1535950.856,2031984.191,694525.2544,702044.6563,517131.7473,164126.5325,540476.8641,5794880.752,42806702.78,589683.1908,85665094.58,2119959.37,7295379.811,496488.5457,1530708.921,909153.4622,91198524.74,428978.581,7786828.635,47538878.22,392620.3702,1153004.537,488418.8807,5183775.783,536361.2273,83567956.88,1663080.457,674841.4517,577252.5454,10167227.79,5538813.792,32874533,870595.8032,45578217.49,1638533.776,805295.4128,56577067.6,1793733.78,9557359.14,1501428.168,60033338.85,1308247.919,623144.2577,881225.6384,Full gap,No gap,Full gap,Full gap,No gap,No gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,NP-007065,8,10,0,3,0,0,0,1.25,0.375,-0.5,74.55,4,1,0.2,0.38461538461538464,1,Lignin
Feature0310,NP-003553,C20 H34 O4,338.24574,42,6,Metabolic pathways;Biosynthesis of secondary metabolites;Other,1207236.657,1987907.113,1512957.492,1515247.909,1439080.942,1231000.305,1592146.944,97676956.8,1286747.162,2319688.228,2517773.332,1934016.248,1529842.695,72871105.33,1960875.877,1389729.441,1332328.41,1801001.471,1309687.152,2259043.964,2538818.539,25806735.63,217518671.7,1685861.961,1706871.129,1686763.159,71618667.19,256917944.7,1791912.621,1682539.636,2439966.417,3201064.248,2865064.687,275889577.7,2344541.395,1931086.343,62237376.3,1344800.899,223567535.9,1023453.496,1644353.721,1467011.467,1071774.326,1412384.123,529733662.7,208846209.6,1433475.83,13096642.85,1172646.518,1985436.135,1961561.736,1402273.497,1347865.144,516989577.7,1591202.363,1674446.831,2159899.338,1773449.209,8065796.995,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,NP-003553,20,34,0,4,0,0,0,1.7,0.2,-1.2999999999999998,97.35,4,0,0,0.1111111111111111,0,Lipid
Feature0309,Nonylbenzene,C15 H24,204.18777,455,167,Metabolic pathways;Biosynthesis of secondary metabolites;Other,337612.7662,27691140.23,10836727.81,361175.3007,518912.0002,344718.4057,306768.6718,934895.6018,325315.9005,184157.8496,634925.0558,232292.5099,187082.2863,973371.1526,37367474.43,38429011.17,46507415.96,8341677.502,4193549.145,371883.442,316676.7746,404857.8521,2254487.889,242930.2589,432144.6077,759763.634,1314442.59,2085597.849,404961.7195,602351.0569,7263624.751,305890.0595,559315.9519,3156711.734,359944.6152,398923.2372,447601.2703,520694.5662,503369.4518,7078676.213,952752.3895,21105574.4,565936.9023,635429.75,347704.4104,1658950.763,380545.1072,282858.1475,337639.8314,19117118.56,6558128.406,378734.0414,34269103.99,831198.7346,39657033.95,232074.4088,51238201.19,818538.3541,273469.1182,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Nonylbenzene,15,24,0,0,0,0,0,1.6,0,-1.5999999999999996,105.89999999999998,4,4,0.26666666666666666,0.26666666666666666,4,Lipid
Feature0308,Nicotinic acid,C6 H5 N O2,123.03198,9,45,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of plant secondary metabolites;Biosynthesis of cofactors;Degradation of aromatic compounds;Tropane, piperidine and pyridine alkaloid biosynthesis;Other",10524332.71,24546985.47,15279067.35,12693440.82,40786880.03,42614408.19,25514828.17,11830700.81,39708628.13,7159268.254,49783049.7,19176923.64,18248593.2,40586265.45,16050790.59,24235089.47,24448225.56,14704934.04,11588546.06,41728521.24,35685151.66,11845767.12,2833398.057,12860982.38,41395600.77,32316552.1,5092763.231,3448439.117,45168711.56,23027487.62,12432570.72,30353457.78,29856412.9,2998131.976,16587997.57,39788439.62,12771530.46,15645657.84,24581038.72,15831651.61,21985709.11,8319499.133,26442732.07,43194360.52,27235873.27,16778057.96,11929107.86,9870395.321,7599551.983,21808356.14,8552572.058,17650593.1,22075500.46,24357679.97,24227030.22,23176996.83,22593259.94,36056980.25,7362844.253,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Nicotinic acid,6,5,1,2,0,0,0,0.8333333333333334,0.3333333333333333,0.3333333333333335,50.8,5,3,0.6666666666666666,0.75,2,Lignin
