FeatureID,Name,Formula,MW,KEGG Pathways,name4plot,C,H,O,NA,F,N,Cl,P,S,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,gap_status,control_means,treatment_means,log2FC,pval,pval.adj,Comment,isolate
Feature0532,NA,C11 H22 N2 O3,230.16304,NA,Feature0532,11,22,3,0,0,2,0,0,0,2,0.272727273,-0.909090909,86.20909091,2,-1,-0.5,-0.2,-3,Lipid,Full gap,24.83171796,23.98541813,-0.846299826,0.001262313,0.00196122,Downregulated,1154
Feature0531,NA,C16 H29 N O13,443.16395,NA,Feature0531,16,29,13,0,0,1,0,0,0,1.8125,0.8125,0,60.3,3,-10,-5.5,-0.529411765,-11,Carbohydrate,Full gap,27.65187865,23.30069131,-4.351187342,2.42E-10,8.13E-10,Downregulated,1154
Feature0529,NA,C18 H25 N5 O10,471.15896,NA,Feature0529,18,25,10,0,0,5,0,0,0,1.388888889,0.555555556,0.555555556,44.46666667,9,-1,-2,-0.125,-6,Phenol,Full gap,26.45388979,23.86294104,-2.590948756,7.99E-13,4.00E-12,Downregulated,1154
Feature0528,NA,C14 H26 N6 O10,438.1713,Metabolic pathways;Biosynthesis of secondary metabolites;Other,Feature0528,14,26,10,0,0,6,0,0,0,1.857142857,0.714285714,0.857142857,35.87142857,5,-5,5.5,-2,-11,Carbohydrate,Full gap,23.11509102,20.43049179,-2.684599228,0.014435868,0.019604265,Downregulated,1154
Feature0527,NA,C18 H11 F3 N2,312.08214,NA,Feature0527,18,11,0,0,3,2,0,0,0,0.611111111,0,-0.277777778,68.21666667,14.5,14.5,0.78125,0.78125,12.5,CondensedHC,Full gap,25.5676573,20.94657716,-4.621080134,7.53E-09,2.05E-08,Downregulated,1154
Feature0526,NA,C20 H32 N6 O3,404.25385,NA,Feature0526,20,32,3,0,0,6,0,0,0,1.6,0.15,-0.4,71.7,8,5,-0.090909091,0.04,-1,Lipid,Full gap,21.01014215,21.63108844,0.620946293,0.007258294,0.010315405,Upregulated,1154
Feature0524,NA,C10 H7 Cl N4,218.04022,NA,Feature0524,11,7,0,0,0,4,1,0,0,0.636363636,0,0.454545455,47.34545455,10.5,10.5,0.928571429,0.928571429,6.5,CondensedHC,Full gap,25.99665216,22.0188116,-3.977840561,1.60E-10,5.44E-10,Downregulated,1154
Feature0523,NA,C9 H9 N O4,179.07955,Metabolic pathways;Biosynthesis of secondary metabolites;Other,Feature0523,9,9,4,0,0,1,0,0,0,1,0.444444444,0.222222222,53.96666667,6,2,0.25,0.5,1,Phenol,Full gap,25.75472529,24.35527984,-1.399445452,7.73E-10,2.38E-09,Downregulated,1154
Feature0522,NA,C19 H20 N4 O2,318.1539,NA,Feature0522,19,20,2,0,0,4,0,0,0,1.052631579,0.105263158,-0.210526316,66.3,12,10,0.461538462,0.5,6,UnsaturatedHC,Full gap,23.69495067,25.74597256,2.05102189,6.99E-13,3.55E-12,Upregulated,1154
Feature0521,NA,C11 H11 N3 O S,233.0664,NA,Feature0521,11,11,1,0,0,3,0,0,1,1,0.090909091,0.181818182,55.11818182,8,7,0.5,0.538461538,3,UnsaturatedHC,Full gap,24.23228112,25.01327081,0.78098969,1.43E-05,2.73E-05,Upregulated,1154
Feature0520,NA,C9 H11 N O3,181.07154,NA,Feature0520,9,11,3,0,0,1,0,0,0,1.222222222,0.333333333,-0.222222222,66.63333333,5,2,0.2,0.384615385,1,Phenol,Full gap,21.83167325,23.58412836,1.752455109,0.002261105,0.003388578,Upregulated,1154
Feature0519,NA,C22 H23 N3 O5,431.14036,NA,Feature0519,22,23,5,0,0,3,0,0,0,1.045454545,0.227272727,-0.181818182,65.48181818,13,8,0.357142857,0.454545455,5,Phenol,Full gap,28.32808459,20.91549305,-7.412591534,1.65E-20,3.95E-19,Downregulated,1154
Feature0517,NA,C11 H21 N O8 S,327.09887,Other,Feature0517,11,21,8,0,0,1,0,0,1,1.909090909,0.727272727,0,60.3,2,-6,-8,-0.8,-8,Carbohydrate,Full gap,25.64826104,21.66858025,-3.979680795,1.19E-10,4.10E-10,Downregulated,1154
Feature0515,NA,C12 H15 N3 S,233.10278,NA,Feature0515,12,15,0,0,0,3,0,0,1,1.25,0,-0.333333333,69.8,7,7,0.375,0.375,3,UnsaturatedHC,Full gap,19.97240252,27.55107323,7.578670715,1.24E-12,6.00E-12,Upregulated,1154
Feature0513,NA,NA,257.89211,NA,Feature0513,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,Inf,Inf,1,Other,Full gap,24.46149347,24.89774939,0.436255922,1.47E-04,2.59E-04,Upregulated,1154
Feature0512,NA,C18 H34 N2 O12,470.2113,NA,Feature0512,18,34,12,0,0,2,0,0,0,1.888888889,0.666666667,-0.222222222,66.63333333,3,-9,-2.75,-0.5,-11,AminoSugar,Full gap,26.34537718,22.29277298,-4.052604204,1.97E-14,1.30E-13,Downregulated,1154
Feature0511,NA,C3 H2 N4 O18 S2,445.88051,NA,Feature0511,3,2,18,0,0,4,0,0,2,0.666666667,6,16.66666667,-414.7,5,-13,0.904761905,0.833333333,-19,Other,Full gap,25.00570505,25.48652947,0.480824417,1.30E-08,3.41E-08,Upregulated,1154
Feature0509,NA,C6 H5 O13 P3,377.89309,NA,Feature0509,6,5,13,0,0,0,0,3,0,0.833333333,2.166666667,1,31.8,6,-7,1,1,-10,Other,Full gap,24.70588655,25.221296,0.51540945,8.07E-09,2.16E-08,Upregulated,1154
Feature0508,NA,C16 H28 N2 O13,456.15919,NA,Feature0508,16,28,13,0,0,2,0,0,0,1.75,0.8125,0.25,53.175,4,-9,-11,-0.6,-11,Carbohydrate,Full gap,27.72619203,20.33817542,-7.388016604,1.27E-28,1.17E-26,Downregulated,1154
Feature0507,NA,C10 H17 N7 O8,363.11421,NA,Feature0507,10,17,8,0,0,7,0,0,0,1.7,0.8,2,3.3,6,-2,1.8,5,-9,Carbohydrate,Full gap,25.66623807,22.86195859,-2.804279485,2.12E-13,1.16E-12,Downregulated,1154
Feature0506,NA,C22 H39 N O17,589.22211,NA,Feature0506,22,39,17,0,0,1,0,0,0,1.772727273,0.772727273,-0.090909091,62.89090909,4,-13,-3.5,-0.44,-14,Carbohydrate,Full gap,27.56877757,21.09494154,-6.473836029,8.14E-22,2.49E-20,Downregulated,1154
Feature0501,NA,C10 H10 N2 O2,190.06944,NA,Feature0501,10,10,2,0,0,2,0,0,0,1,0.2,0,60.3,7,5,0.5,0.571428571,3,Phenol,Full gap,23.44547494,25.04774144,1.602266503,4.14E-11,1.56E-10,Upregulated,1154
Feature0499,NA,C9 H9 N2 O6 P3 S4,461.85452,NA,Feature0499,9,9,6,0,0,2,0,3,4,1,0.666666667,0.222222222,53.96666667,8,2,1.166666667,1.333333333,-7,Other,Full gap,24.00530423,24.51256343,0.507259204,5.33E-06,1.05E-05,Upregulated,1154
Feature0498,NA,C4 H N4 O7 P3,309.90566,NA,Feature0498,4,1,7,0,0,4,0,3,0,0.25,1.75,2.5,-10.95,8,1,0.6,0.384615385,-6,Other,Full gap,24.1211544,24.80591984,0.684765444,1.59E-13,8.75E-13,Upregulated,1154
Feature0497,NA,C9 H8 O17 P2 S2,513.86803,NA,Feature0497,9,8,17,0,0,0,0,2,2,0.888888889,1.888888889,2.222222222,-3.033333333,7,-10,1.166666667,1.571428571,-14,Other,Full gap,24.30138473,24.96155988,0.660175153,2.61E-12,1.15E-11,Upregulated,1154
Feature0495,NA,NA,581.85559,NA,Feature0495,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,Inf,Inf,1,Other,Full gap,24.21698919,24.88814546,0.671156272,1.69E-12,7.86E-12,Upregulated,1154
Feature0493,NA,C H3 N O5,109.00137,NA,Feature0493,1,3,5,0,0,1,0,0,0,3,5,10,-224.7,1,-4,1,1,-5,Other,Full gap,23.91468971,24.26692159,0.352231883,0.010643075,0.014819471,Upregulated,1154
Feature0492,NA,C6 H N6 O5 P3 S2,393.86699,NA,Feature0492,6,1,5,0,0,6,0,3,2,0.166666667,0.833333333,2.666666667,-15.7,11,6,0.5,0.333333333,-5,Other,Full gap,23.78781174,24.29101841,0.503206671,1.37E-05,2.64E-05,Upregulated,1154
Feature0491,NA,NA,121.9172,Microbial metabolism in diverse environments;Other,Feature0491,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,Inf,Inf,1,Other,Full gap,23.6780403,24.13795158,0.459911278,0.001647592,0.002531217,Upregulated,1154
Feature0490,"?,?'-diglycerol",C6 H14 O5,166.08414,NA,"?,?'-diglycerol",6,14,5,0,0,0,0,0,0,2.333333333,0.833333333,-0.666666667,79.3,0,-5,-5,-0.714285714,-5,Carbohydrate,Full gap,20.26666745,28.33713462,8.07046717,6.55E-31,1.20E-28,Upregulated,1154
Feature0489,.alpha.-Glucoheptitol,C7 H16 O7,212.08956,NA,.alpha.-Glucoheptitol,7,16,7,0,0,0,0,0,0,2.285714286,1,-0.285714286,68.44285714,0,-7,#NAME?,-1,-7,Carbohydrate,Full gap,22.42280093,24.99178782,2.568986897,9.24E-06,1.79E-05,Upregulated,1154
Feature0488,(+)-Piperitol,C20 H20 O6,356.12609,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of various plant secondary metabolites;Other,(+)-Piperitol,20,20,6,0,0,0,0,0,0,1,0.3,-0.4,71.7,11,5,0.357142857,0.470588235,5,Phenol,Full gap,21.2188076,21.77615009,0.557342484,1.01E-04,1.80E-04,Upregulated,1154
Feature0487,(±)13-HpODE,C18 H32 O4,294.21938,Metabolic pathways;Biosynthesis of secondary metabolites;Other,(±)13-HpODE,18,32,4,0,0,0,0,0,0,1.777777778,0.222222222,-1.333333333,98.3,3,-1,-0.071428571,0.0625,-1,Lipid,Full gap,20.37593476,25.19840485,4.822470097,3.20E-07,7.27E-07,Upregulated,1154
Feature0486,"(1R,4aS,5R,8aS)-5-(5-hydroxy-3-methylpentyl)-1,4a-dimethyl-6-methylidene-decahydronaphthalene-1-carboxylic acid",C20 H34 O3,322.25075,Metabolic pathways;Biosynthesis of secondary metabolites;Other,"(1R,4aS,5R,8aS)-5-(5-hydroxy-3-methylpentyl)-1,4a-dimethyl-6-methylidene-decahydronaphthalene-1-carboxylic acid",20,34,3,0,0,0,0,0,0,1.7,0.15,-1.4,100.2,4,1,0.058823529,0.135135135,1,Lipid,Full gap,20.87138544,21.67348441,0.802098968,0.02462491,0.03217031,Upregulated,1154
Feature0485,(2E)-2-Pentenedioate,C5 H4 O4,128.01091,NA,(2E)-2-Pentenedioate,5,4,4,0,0,0,0,0,0,0.8,0.8,0.8,37.5,4,0,0,0.666666667,0,CondensedHC,Full gap,24.97302928,24.18942103,-0.783608252,0.036452822,0.046625703,Downregulated,1154
Feature0484,"(2S)-3-Hydroxy-2-({[(3S,4S,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}amino)propanoic acid (non-preferred name)",C9 H17 N O8,267.09545,Metabolic pathways;ABC transporters;Other,"(2S)-3-Hydroxy-2-({[(3S,4S,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}amino)propanoic acid (non-preferred name)",9,17,8,0,0,1,0,0,0,1.888888889,0.888888889,0.222222222,53.96666667,2,-6,#NAME?,-0.75,-7,Carbohydrate,Full gap,26.05914449,24.20888615,-1.850258339,1.14E-13,6.41E-13,Downregulated,1154
Feature0483,"(2S)-3-Phenyl-2-({[(3S,4S,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}amino)propanoic acid (non-preferred name)",C15 H21 N O7,327.13187,NA,"(2S)-3-Phenyl-2-({[(3S,4S,5R)-2,3,4-trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}amino)propanoic acid (non-preferred name)",15,21,7,0,0,1,0,0,0,1.4,0.466666667,-0.266666667,67.9,6,-1,-0.285714286,0.142857143,-2,Phenol,Full gap,26.07598413,23.97466419,-2.101319947,2.11E-06,4.39E-06,Downregulated,1154
Feature0482,"(2Z,4Z)-6-Amino-2,4-diimino-5-nitro-1,3(2H,4H)-pyrimidinediol",C4 H6 N6 O4,202.04538,NA,"(2Z,4Z)-6-Amino-2,4-diimino-5-nitro-1,3(2H,4H)-pyrimidinediol",4,6,4,0,0,6,0,0,0,1.5,1,5,-82.2,5,1,0.833333333,0.75,-5,Carbohydrate,Full gap,28.82399435,24.28138397,-4.542610384,4.26E-08,1.07E-07,Downregulated,1154
Feature0481,"(6R)-5-Acetamido-3,5-dideoxy-6-[(1R,2R)-1,2-dihydroxy-3-(lactoyloxy)propyl]-alpha-L-threo-hex-2-ulopyranosonic acid",C14 H23 N O11,381.12721,NA,"(6R)-5-Acetamido-3,5-dideoxy-6-[(1R,2R)-1,2-dihydroxy-3-(lactoyloxy)propyl]-alpha-L-threo-hex-2-ulopyranosonic acid",14,23,11,0,0,1,0,0,0,1.642857143,0.785714286,0.142857143,56.22857143,4,-7,-4,-0.333333333,-8,Carbohydrate,Full gap,27.10737796,23.23064927,-3.876728695,7.90E-09,2.13E-08,Downregulated,1154
Feature0480,(S)-malyl alpha-D-glucosaminide,C10 H17 N O9,295.09039,NA,(S)-malyl alpha-D-glucosaminide,10,17,9,0,0,1,0,0,0,1.7,0.9,0.4,48.9,3,-6,#NAME?,-0.555555556,-7,Carbohydrate,Full gap,26.37725079,25.53103009,-0.846220693,4.36E-05,8.07E-05,Downregulated,1154
Feature0479,[Similar to: (±)5(6)-DiHET; ΔMass: -166.1745 Da],NA,172.07118,NA,[Similar to: (±)5(6)-DiHET; ΔMass: -166.1745 Da],0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,Inf,Inf,1,Other,Full gap,19.02811537,27.56108713,8.532971762,8.81E-17,1.01E-15,Upregulated,1154
Feature0478,"[Similar to: (2R,3R,3aR,5R)-5,7-dimethoxy-2-(7-methoxy-2H-1,3-benzodioxol-5-yl)-3-methyl-3a-(prop-2-en-1-yl)-2,3,3a,4,5,6-hexahydro-1-benzofuran-6-one; ΔMass: 150.0318 Da]",C30 H32 O10,552.19968,NA,"[Similar to: (2R,3R,3aR,5R)-5,7-dimethoxy-2-(7-methoxy-2H-1,3-benzodioxol-5-yl)-3-methyl-3a-(prop-2-en-1-yl)-2,3,3a,4,5,6-hexahydro-1-benzofuran-6-one; ΔMass: 150.0318 Da]",30,32,10,0,0,0,0,0,0,1.066666667,0.333333333,-0.4,71.7,15,5,0.25,0.4,5,Phenol,Full gap,20.57944653,21.34976702,0.770320493,3.22E-05,5.99E-05,Upregulated,1154
Feature0476,"[Similar to: (2R,3R,3aR,5R)-5,7-dimethoxy-2-(7-methoxy-2H-1,3-benzodioxol-5-yl)-3-methyl-3a-(prop-2-en-1-yl)-2,3,3a,4,5,6-hexahydro-1-benzofuran-6-one; ΔMass: 200.0452 Da]",C30 H30 N6 O8,602.21306,NA,"[Similar to: (2R,3R,3aR,5R)-5,7-dimethoxy-2-(7-methoxy-2H-1,3-benzodioxol-5-yl)-3-methyl-3a-(prop-2-en-1-yl)-2,3,3a,4,5,6-hexahydro-1-benzofuran-6-one; ΔMass: 200.0452 Da]",30,30,8,0,0,6,0,0,0,1,0.266666667,0.133333333,56.5,19,11,0.3125,0.45,5,Phenol,Full gap,20.58926217,20.9747061,0.385443926,0.005769794,0.008264028,Upregulated,1154
Feature0475,"[Similar to: (2R,3R,4S,5S,6R)-2-[2-(4-methoxyphenyl)ethoxy]-6-({[(2S,3R,4S,5S)-3,4,5-trihydroxyoxan-2-yl]oxy}methyl)oxane-3,4,5-triol; ΔMass: -117.0465 Da]",C6 H20 N9 O5 P,329.13228,NA,"[Similar to: (2R,3R,4S,5S,6R)-2-[2-(4-methoxyphenyl)ethoxy]-6-({[(2S,3R,4S,5S)-3,4,5-trihydroxyoxan-2-yl]oxy}methyl)oxane-3,4,5-triol; ΔMass: -117.0465 Da]",6,20,5,0,0,9,0,1,0,3.333333333,0.833333333,2,3.3,2,-3,1.444444444,1.615384615,-13,Other,Full gap,24.02670649,23.59560648,-0.431100008,0.029255287,0.037682454,Downregulated,1154
Feature0474,"[Similar to: (2S,3R,3aS,7aR)-2-(3,4-dimethoxyphenyl)-3a,7a-dimethoxy-3-methyl-5-(prop-2-en-1-yl)-2,3,3a,6,7,7a-hexahydro-1-benzofuran-6-one; ΔMass: 209.0692 Da]",C36 H41 N O3 P2,597.25775,NA,"[Similar to: (2S,3R,3aS,7aR)-2-(3,4-dimethoxyphenyl)-3a,7a-dimethoxy-3-methyl-5-(prop-2-en-1-yl)-2,3,3a,6,7,7a-hexahydro-1-benzofuran-6-one; ΔMass: 209.0692 Da]",36,41,3,0,0,1,0,2,0,1.138888889,0.083333333,-1.166666667,93.55,18,15,0.4,0.428571429,12,UnsaturatedHC,Full gap,20.76245458,21.22585892,0.463404337,3.21E-04,5.42E-04,Upregulated,1154
Feature0473,"[Similar to: (2S,4R,5S,6S,7R)-5,6,12,14-tetrahydroxy-4-(hydroxymethyl)-13-methoxy-3,8-dioxatricyclo[8.4.0.0Â?,â·]tetradeca-1(14),10,12-trien-9-one; ΔMass: -36.0235 Da]",C11 H19 O3 P3,292.05592,NA,"[Similar to: (2S,4R,5S,6S,7R)-5,6,12,14-tetrahydroxy-4-(hydroxymethyl)-13-methoxy-3,8-dioxatricyclo[8.4.0.0Â?,â·]tetradeca-1(14),10,12-trien-9-one; ΔMass: -36.0235 Da]-peak2",11,19,3,0,0,0,0,3,0,1.727272727,0.272727273,-2.545454545,132.8454545,4,1,-0.4,-0.076923077,-2,Lipid,Full gap,19.89164506,25.36618174,5.474536686,7.22E-05,1.30E-04,Upregulated,1154
Feature0472,"[Similar to: (2S,4R,5S,6S,7R)-5,6,12,14-tetrahydroxy-4-(hydroxymethyl)-13-methoxy-3,8-dioxatricyclo[8.4.0.0Â?,â·]tetradeca-1(14),10,12-trien-9-one; ΔMass: -36.0235 Da]",C10 H8 N6 O5,292.05593,NA,"[Similar to: (2S,4R,5S,6S,7R)-5,6,12,14-tetrahydroxy-4-(hydroxymethyl)-13-methoxy-3,8-dioxatricyclo[8.4.0.0Â?,â·]tetradeca-1(14),10,12-trien-9-one; ΔMass: -36.0235 Da]-peak1",10,8,5,0,0,6,0,0,0,0.8,0.5,2,3.3,10,5,1,1,-1,CondensedHC,Full gap,20.62248351,24.83159216,4.209108648,5.27E-04,8.57E-04,Upregulated,1154
Feature0471,"[Similar to: (2S,4R,5S,6S,7R)-5,6,12,14-tetrahydroxy-4-(hydroxymethyl)-13-methoxy-3,8-dioxatricyclo[8.4.0.0Â?,â·]tetradeca-1(14),10,12-trien-9-one; ΔMass: 306.0929 Da]",C22 H30 N6 O16,634.17235,NA,"[Similar to: (2S,4R,5S,6S,7R)-5,6,12,14-tetrahydroxy-4-(hydroxymethyl)-13-methoxy-3,8-dioxatricyclo[8.4.0.0Â?,â·]tetradeca-1(14),10,12-trien-9-one; ΔMass: 306.0929 Da]",22,30,16,0,0,6,0,0,0,1.363636364,0.727272727,0.909090909,34.39090909,11,-5,#NAME?,-0.375,-11,Other,Full gap,28.20409981,21.42452475,-6.779575062,9.60E-11,3.43E-10,Downregulated,1154
Feature0470,"[Similar to: (2S,4R,5S,6S,7R)-5,6,12,14-tetrahydroxy-4-(hydroxymethyl)-13-methoxy-3,8-dioxatricyclo[8.4.0.0Â?,â·]tetradeca-1(14),10,12-trien-9-one; ΔMass: 306.0930 Da]",C22 H30 N6 O16,634.17239,NA,"[Similar to: (2S,4R,5S,6S,7R)-5,6,12,14-tetrahydroxy-4-(hydroxymethyl)-13-methoxy-3,8-dioxatricyclo[8.4.0.0Â?,â·]tetradeca-1(14),10,12-trien-9-one; ΔMass: 306.0930 Da]",22,30,16,0,0,6,0,0,0,1.363636364,0.727272727,0.909090909,34.39090909,11,-5,#NAME?,-0.375,-11,Other,Full gap,28.74170782,21.40426382,-7.337444,1.27E-13,7.07E-13,Downregulated,1154
Feature0469,"[Similar to: (3beta,9xi,12beta,17xi)-20-{[6-O-(beta-D-Glucopyranosyl)-beta-D-glucopyranosyl]oxy}-12-hydroxydammar-24-en-3-yl 2-O-beta-D-glucopyranosyl-beta-D-glucopyranoside; ΔMass: -407.3437 Da]",C25 H43 N5 O18,701.25923,NA,"[Similar to: (3beta,9xi,12beta,17xi)-20-{[6-O-(beta-D-Glucopyranosyl)-beta-D-glucopyranosyl]oxy}-12-hydroxydammar-24-en-3-yl 2-O-beta-D-glucopyranosyl-beta-D-glucopyranoside; ΔMass: -407.3437 Da]",25,43,18,0,0,5,0,0,0,1.72,0.72,0.32,51.18,7,-11,-8,-0.636363636,-16,Carbohydrate,Full gap,27.78263066,20.5305944,-7.252036261,3.46E-14,2.19E-13,Downregulated,1154
Feature0468,"[Similar to: (3R)-4,4-Dimethyl-2-oxotetrahydro-3-furanyl beta-D-glucopyranoside; ΔMass: 49.0164 Da]",C13 H19 N5 O6,341.13224,Metabolic pathways;Other,"[Similar to: (3R)-4,4-Dimethyl-2-oxotetrahydro-3-furanyl beta-D-glucopyranoside; ΔMass: 49.0164 Da]",13,19,6,0,0,5,0,0,0,1.461538462,0.461538462,0.615384615,42.76153846,7,1,-2,-0.2,-4,Phenol,Full gap,29.43767592,23.14276287,-6.294913048,1.25E-23,6.24E-22,Downregulated,1154
Feature0465,"[Similar to: [(2R,3S,4S,5R,6R)-6-{[(2R,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}oxan-2-yl]oxy}-3,4-dihydroxy-5-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}oxan-2-yl]methyl (2E)-2-methylbut-2-enoate; ΔMass: -42.0492 Da]",C30 H44 O15 P2,706.21457,NA,"[Similar to: [(2R,3S,4S,5R,6R)-6-{[(2R,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}oxan-2-yl]oxy}-3,4-dihydroxy-5-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}oxan-2-yl]methyl (2E)-2-methylbut-2-enoate; ΔMass: -42.0492 Da]",30,44,15,0,0,0,0,2,0,1.466666667,0.5,-0.8,83.1,10,-5,-0.538461538,0.024390244,-7,Phenol,Full gap,28.13735459,19.69698002,-8.440374575,3.43E-25,2.09E-23,Downregulated,1154
Feature0464,"[Similar to: 1-(3,4-dimethoxyphenethyl)-6-oxo-2-(3,4,5-trimethoxyphenyl)piperidine-3-carboxylic acid; ΔMass: -77.0864 Da]",C18 H16 N6 O5,396.11855,NA,"[Similar to: 1-(3,4-dimethoxyphenethyl)-6-oxo-2-(3,4,5-trimethoxyphenyl)piperidine-3-carboxylic acid; ΔMass: -77.0864 Da]",18,16,5,0,0,6,0,0,0,0.888888889,0.277777778,0.666666667,41.3,14,9,0.428571429,0.578947368,3,Phenol,Full gap,20.02592819,20.39445002,0.368521834,9.99E-05,1.80E-04,Upregulated,1154
