FeatureID,Name,Formula,MW,KEGG Pathways,Area: 2,Area: 10,Area: 14,Area: 19,Area: 40,Area: 41,Area: 46,Area: 47,Area: 57,Area: 59,Area: 60,Area: B,name4plot,C,H,N,O,S,P,Cl,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment,isolate
Feature0073,"1-(2-Furyl)-1,2-ethanediol",C6 H8 O3,128.04731,Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Other,2545974.884,67479582.62,48424585.03,3906481.367,2260644.567,2780951.655,70391406.52,80417857.57,4045420.66,74692600.36,2385471.618,168379.4846,"1-(2-Furyl)-1,2-ethanediol",6,8,0,3,0,0,0,1.3333333333333333,0.5,-0.33333333333333304,69.79999999999998,3,0,0,0.3333333333333333,0,Phenol,20.1476433804625,26.571175005942067,1.3188229761753958,0.39925092658071654,3.442417878814872e-5,0.0019208691763786987,Upregulated,1154
Feature0072,Caffeic acid,C9 H8 O4,180.04228,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;Biosynthesis of cofactors;2-Oxocarboxylic acid metabolism;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;Degradation of aromatic compounds;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",200145.1528,74383084.17,4771483.301,654734.8043,606130.4439,246261.2116,42505285.23,1310279.281,167752.2762,80103533.62,215933.7693,489237.6381,Caffeic acid,9,8,0,4,0,0,0,0.8888888888888888,0.4444444444444444,0,60.3,6,2,0.4,0.5714285714285714,2,Phenol,19.623152111233434,28.02981436381537,1.4284052941611491,0.5144053861703891,0.0028329963701418308,0.016728311641111628,Upregulated,1154
Feature0054,L-Cystathionine,C7 H14 N2 O4 S,222.06742,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of cofactors;Other,3391940.145,36036969.25,33248068.12,3404074.117,2576414.236,3249467.559,23193807.19,67659207.66,408808.2621,38622022.24,13757767.68,32782.5336,L-Cystathionine,7,14,2,4,1,0,0,2,0.5714285714285714,0.2857142857142856,52.15714285714286,2,-2,-Inf,-1.5,-5,Amino Sugar,20.682166756853434,25.567558907021567,1.2362127821326683,0.3059270873416037,2.0428914868922106e-4,0.004046720366048839,Upregulated,1154
Feature0053,"beta-D-Galactopyranosyl-(1->4)-3,6-anhydro-alpha-L-galactopyranosyl-(1->3)-beta-D-galactopyranose",C18 H30 O15,486.15849,Metabolic pathways;ABC transporters;Other,65112956,940065.2739,979051.5762,10828815.43,55642171.7,67638650.96,537380.7385,1001447.401,8764677.957,1402873.471,9433929.369,62912.61024,"beta-D-Galactopyranosyl-(1->4)-3,6-anhydro-alpha-L-galactopyranosyl-(1->3)-beta-D-galactopyranose",18,30,0,15,0,0,0,1.6666666666666667,0.8333333333333334,0,60.3,4,-11,-3.6666666666666665,-0.3333333333333333,-11,Carbohydrate,26.293565764913698,21.119805031261233,0.8032309204498858,-0.31611328784831433,2.7974282024272117e-5,0.0019208691763786987,Downregulated,1154
Feature0047,Butyl glyoxylate,C6 H10 O3,130.06295,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Degradation of aromatic compounds;Other,1117176.432,50841393.41,43274004.33,4333239.236,779667.6719,664288.4893,45028369.28,65478042.77,3798152.193,57911674.19,3654184.187,522642.9425,Butyl glyoxylate,6,10,0,3,0,0,0,1.6666666666666667,0.5,-0.666666666666667,79.30000000000001,2,-1,-0.3333333333333333,0.1111111111111111,-1,Protein,18.9200184756832,26.2953994854963,1.3898189116090056,0.474896917234233,2.3206998514975423e-4,0.004046720366048839,Upregulated,1154
Feature0040,3-O-(2-Acetamido-2-deoxy-beta-D-glucopyranosyl)-D-galactitol,C14 H27 N O11,385.15849,NA,59140381.44,342659.1918,465616.3851,24580494.08,56865842.11,62491250.01,792656.1154,1059496.606,9534245.925,1080723.428,3826445.602,38915.58491,3-O-(2-Acetamido-2-deoxy-beta-D-glucopyranosyl)-D-galactitol,14,27,1,11,0,0,0,1.9285714285714288,0.7857142857142857,-0.14285714285714324,64.37142857142858,2,-9,-5,-0.6,-10,Carbohydrate,26.448256444273667,20.862939312189134,0.7888209703406057,-0.342230189464319,0.0024961871656651157,0.016522151100704433,Downregulated,1154
Feature0031,pro-his,C11 H16 N4 O3,252.12226,NA,1494297.056,15547343.77,24868252.88,20792581.1,1197711.586,1369502.744,14464691.7,55138356.41,21721622.81,14863426.47,4925037.314,65868.74191,pro-his,11,16,4,3,0,0,0,1.4545454545454546,0.2727272727272727,0.18181818181818168,55.11818181818182,6,3,-0.25,0.09090909090909093,-1,Phenol,19.885782431418765,24.652811032590666,1.239720444373372,0.3100148311071883,4.736151560050428e-6,6.606931426270347e-4,Upregulated,1154
Feature0026,Trigonelline,C7 H7 N O2,137.04768,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;Biosynthesis of cofactors;Biosynthesis of phenylpropanoids;Degradation of aromatic compounds;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",22666507.17,239274.4157,198142.8314,51476421.93,24581676.06,24049324.01,491149.2951,3922358.783,51693304.89,148845.8349,45824524.32,66737.98508,Trigonelline,7,7,1,2,0,0,0,1,0.2857142857142857,0,60.3,5,3,0.5,0.6,2,Phenol,24.635893543215932,19.157676360675765,0.7776326978791999,-0.36283921226518423,0.013462057805800218,0.04471326342640787,Downregulated,1154
Feature0023,Pyrogallol,C6 H6 O3,126.03165,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Other,22694084.86,322374.4444,2422853.719,32265196.96,23630514.39,49046335.13,523334.883,748885.1196,31881383.01,970933.0207,29481164.83,431390.248,Pyrogallol-peak1,6,6,0,3,0,0,0,1,0.5,0,60.3,4,1,0.3333333333333333,0.5555555555555556,1,Phenol,24.792675609323734,20.124661887353067,0.8117180333608215,-0.3009494296906328,0.001126105281804416,0.009731037146222341,Downregulated,1154
Feature0022,"2-[9-(Hydroxyimino)-3,6-diazatricyclo[4.3.1.1~3,8~]undec-1-yl]ethyl acetate",C13 H21 N3 O3,267.15833,NA,83510.58648,13771766.54,48046659.42,1949416.039,285299.1485,88087.60116,8332636.681,48264594.56,2131208.878,17213733.94,1781800.52,68717.3189,"2-[9-(Hydroxyimino)-3,6-diazatricyclo[4.3.1.1~3,8~]undec-1-yl]ethyl acetate",13,21,3,3,0,0,0,1.6153846153846154,0.2307692307692308,-0.4615384615384617,73.45384615384616,5,2,-0.14285714285714285,0.0588235294117647,-1,Lipid,17.869411438800366,25.309664830804536,1.4163681281549618,0.5021962849399385,0.0067173487079376475,0.028396064992645513,Upregulated,1154
Feature0019,RV0540000,C5 H12 O4,136.07356,NA,1130778.06,36188149.12,45920848.02,5709330.008,544586.0286,367767.3942,36765798.73,39808456.97,4715666.597,30070234.63,4894442.374,38871.47722,RV0540000,5,12,0,4,0,0,0,2.4,0.8,-0.7999999999999998,83.1,0,-4,-4,-0.6666666666666666,-4,Carbohydrate,18.9846235007204,25.973652572819933,1.3681415684558782,0.452217520824691,7.278483413080488e-4,0.008131120240947526,Upregulated,1154
Feature0012,[Similar to: 4-[4-chloro-2-nitro-5-(1H-pyrrol-1-yl)phenyl]morpholine; ΔMass: 182.0794 Da],C17 H31 N O13 S,489.15175,NA,30678603,446672.6796,153848.1517,3222843.618,28510776.17,32209224.11,437576.1349,242545.6151,1412310.648,515071.1369,716614.2476,29151.70799,[Similar to: 4-[4-chloro-2-nitro-5-(1H-pyrrol-1-yl)phenyl]morpholine; ΔMass: 182.0794 Da],17,31,1,13,1,0,0,1.8235294117647056,0.7647058823529411,0,60.3,3,-10,-6,-0.6470588235294118,-12,Carbohydrate,26.508251749125833,21.213221425082434,0.8002497345296257,-0.32147780170801615,2.767064000581833e-4,0.004541240330366655,Downregulated,1154
Feature0011,[Similar to: Dimethyl phosphate; ΔMass: 60.0212 Da],C4 H11 O6 P,186.02937,NA,173012.2494,11138961.08,18269978.49,875483.3675,168575.571,176857.0492,20617678.41,32177215.07,741533.4057,22111880.01,203159.9619,19842.21447,[Similar to: Dimethyl phosphate; ΔMass: 60.0212 Da],4,11,0,6,0,1,0,2.75,1.5,-1,88.8,0,-6,2.3333333333333335,-Inf,-7,Other,18.76898485204107,26.140938426305134,1.392773164472046,0.47796031096202257,1.5619836466837782e-4,0.0033944349099064752,Upregulated,1154
Feature0004,Tiglic acid,C5 H8 O2,100.05241,NA,1009048.863,12138583.14,21886239.8,2242499.638,938373.7126,597374.8547,10970209.47,25803204.4,2327347.712,14646721.59,1762369.613,120929.9962,Tiglic acid,5,8,0,2,0,0,0,1.6,0.4,-0.7999999999999998,83.1,2,0,0,0.25,0,Protein,20.304102585968966,25.1130844244168,1.236847790641634,0.3066679698392071,7.625199088986102e-5,0.0023638117175856918,Upregulated,1154
Feature0252,DL-Carnitine,C7 H15 N O3,161.10522,Other,9637438.535,1060131791,756974997.9,407891999.1,12893917.96,10665770.03,846557165.4,975636374.6,382768014.7,1057461702,383521723.6,154070.1291,DL-Carnitine,7,15,1,3,0,0,0,2.142857142857143,0.42857142857142855,-0.8571428571428568,84.72857142857141,1,-2,-1,-0.3333333333333333,-3,Protein,22.691249021018535,28.79632730646425,1.2690499002408673,0.34374879842617895,1.979926455779668e-4,0.00941107744829734,Upregulated,1177
Feature0248,[Similar to: AB-CHMINACA metabolite M7; ΔMass: 39.9895 Da],C16 H29 N O12,427.16895,NA,662427563.8,3628410.086,1880121.766,227680891.5,643515210,756433558.5,2324156.858,2067347.156,95927320.41,692677.8532,19295734.18,103645.5293,[Similar to: AB-CHMINACA metabolite M7; ΔMass: 39.9895 Da],16,29,1,12,0,0,0,1.8125,0.75,-0.125,63.8625,3,-9,-3.3333333333333335,-0.4444444444444444,-10,Carbohydrate,28.1053316816048,20.5181063653059,0.7300432031099349,-0.4539462513493085,1.436853814032364e-4,0.00941107744829734,Downregulated,1177
Feature0216,L-Glutamine,C5 H10 N2 O3,146.06916,Metabolic pathways;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;Biosynthesis of cofactors;Protein digestion and absorption;Central carbon metabolism in cancer;D-Amino acid metabolism;Aminoacyl-tRNA biosynthesis;Other,3499119.01,177289134.2,165055291.7,103546313.5,4469540.394,1158613.246,82249105.75,360410610.1,62626715.92,182212543.5,75603346.93,80369.17828,L-Glutamine,5,10,2,3,0,0,0,2,0.6,0.3999999999999999,48.9,2,-1,-Inf,-1,-3,Amino Sugar,19.9238255110787,27.3234412598778,1.3713953299121457,0.4556445144361035,0.0036484893389236504,0.0299390742811676,Upregulated,1177
Feature0213,NP-019445,C10 H10 O4,194.05792,Metabolic pathways;Biosynthesis of secondary metabolites;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids,471493.5472,10784027.44,28887922.65,533166.5114,123064.2446,516403.9741,342683453.2,128802825.4,283200.8828,33268595.87,170654.7895,193446.4559,NP-019445,10,10,0,4,0,0,0,1,0.4,-0.20000000000000015,66,6,2,0.3333333333333333,0.5,2,Phenol,19.201015602965168,27.04379396230895,1.4084564338426266,0.4941149391823092,0.002270654029934047,0.024365864398138426,Upregulated,1177
Feature0210,[Similar to: NP-015005; ΔMass: -441.3129 Da],C29 H43 N5 O10 P2,683.24856,NA,279559182.5,1665156.19,1133602.263,68304357.36,233035879.3,316321011.9,1772316.215,1326711.439,59775501.42,4651261.304,47620795.59,106288.6858,[Similar to: NP-015005; ΔMass: -441.3129 Da],29,43,5,10,0,2,0,1.4827586206896552,0.3448275862068966,-0.6206896551724137,77.98965517241379,12,2,-0.4166666666666667,0,-5,Phenol,26.782160412443467,19.93707986472195,0.7444164159161272,-0.4258182247406268,8.691494560540452e-4,0.014264276367004622,Downregulated,1177
Feature0200,"pentane-1,2,3,4,5-pentol",C5 H12 O5,152.06848,Metabolic pathways;ABC transporters;Other,4844828.107,166253839.6,256087552.6,4536732.158,3348472.981,4670843.224,166626695.7,262367675.3,4288420.686,233632911.1,4234659.766,150959.6806,"pentane-1,2,3,4,5-pentol",5,12,0,5,0,0,0,2.4,1,-0.4000000000000003,71.7,0,-5,-Inf,-1,-5,Carbohydrate,20.726758890403367,27.492402098849,1.3264207030255064,0.407538429979424,4.2704140612223265e-4,0.00941107744829734,Upregulated,1177
Feature0194,"1,5-Anhydro-6-deoxy-D-threo-hex-1-en-3-ulose",C6 H8 O4,144.04224,Microbial metabolism in diverse environments;Other,242118330.8,4964748.762,3458499.689,168635479.2,217118161,239518460.1,5526883.574,4064938.711,154254175.9,5076142.158,126311248,932524.1195,"1,5-Anhydro-6-deoxy-D-threo-hex-1-en-3-ulose",6,8,0,4,0,0,0,1.3333333333333333,0.6666666666666666,0,60.3,3,-1,-0.5,0.25,-1,Other,26.4212529814231,21.367112211486003,0.8087092700149124,-0.3063069461156949,9.892176720944204e-4,0.015332873917463517,Downregulated,1177
Feature0174,Penicillic acid,C8 H10 O4,170.05795,Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Other,569873.2685,7669348.869,128685226.6,745744.5671,632857.8907,506951.6386,3759523.743,201428792.3,429649.3422,17143428.37,588243.1933,705744.2678,Penicillic acid,8,10,0,4,0,0,0,1.25,0.5,-0.25,67.425,4,0,0,0.3333333333333333,0,Phenol,19.775591914646167,28.1529824453164,1.4236227449892807,0.509566887848722,3.241923110879484e-4,0.00941107744829734,Upregulated,1177
Feature0138,Adipic acid,C6 H10 O4,146.0579,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of cofactors;2-Oxocarboxylic acid metabolism;Degradation of aromatic compounds;Other,3313108.084,112407652.1,80023827.49,3535632.023,2783941.81,3735736.623,115906047.3,131342348.1,4265285.557,120629328.8,3380688.225,195838.9082,Adipic acid,6,10,0,4,0,0,0,1.6666666666666667,0.6666666666666666,-0.33333333333333304,69.79999999999998,2,-2,-1,0,-2,Amino Sugar,20.3752173760544,26.26262510379365,1.2889494437815576,0.366195678256573,3.875784611938579e-4,0.00941107744829734,Upregulated,1177
Feature0077,NP-016455,C11 H18 N2 O4,242.12666,NA,76799129.89,496150.0035,764392.4907,718912.7536,70991594.91,86309584.79,280912.7456,1185672.425,498098.3006,502752.911,197645.5474,166390.43,NP-016455,11,18,2,4,0,0,0,1.6363636363636365,0.3636363636363637,-0.3636363636363633,70.66363636363636,4,0,-0.4,0,-2,Protein,27.5182541473007,21.39885968498315,0.7776241752270535,-0.36285502391430724,0.0027031252287984817,0.02513906462782588,Downregulated,1177
