Checked,Tags,Name,KEGG compound names,KEGG Ids,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: Metabolika Search,Annot. Source: ChemSpider Search,Annot. DeltaMass [ppm],Calc. MW,RT [min],Area (Max.),# ChemSpider Results,# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,mzCloud Best Sim. Match,KEGG Pathways,MS2,Area: 60_CTRL_1246.1,Area: 59_CTRL_1154.1,Area: 57_CTRL_1246.3,Area: 47_CTRL_1177.1,Area: 46_CTRL_1154.2,Area: 41_CTRL_CTRL.1,Area: 40_CTRL_CTRL.3,Area: 19_CTRL_1246.2,Area: 14_CTRL_1177.3,Area: 10_CTRL_1154.3,Area: 2_CTRL_CTRL.2,Gap Status: 60_CTRL_1246.1,Gap Status: 59_CTRL_1154.1,Gap Status: 57_CTRL_1246.3,Gap Status: 47_CTRL_1177.1,Gap Status: 46_CTRL_1154.2,Gap Status: 41_CTRL_CTRL.1,Gap Status: 40_CTRL_CTRL.3,Gap Status: 38_BOCU_1177.2,Gap Status: 14_CTRL_1177.3,Gap Status: 10_CTRL_1154.3,Gap Status: 2_CTRL_CTRL.2
FALSE,,Pyrogallol,"Benzene-1,2,4-triol",C02814,C6 H6 O3,Full match,Full match,No results,Not the top hit,-0.32,126.03165,7.059,155137626.2,32,55,94.6,72.5,95.8,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Other,DDA for preferred ion,2242996.231,445347.5178,2985144.174,1905528.773,1760946.446,155137626.2,124515668.2,626982.3361,1232660.136,917582.9383,133607855.6,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap
FALSE,,Pyrogallol,"Benzene-1,2,4-triol",C02814,C6 H6 O3,Full match,Full match,No results,Not the top hit,-0.36,126.03165,1.329,180182702.6,32,52,87.6,54.5,79,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Other,DDA for preferred ion,14320816.2,9286314.488,18675402.47,5460775.036,4226891.333,102566950.1,115594991,15059208.71,9900452.462,7842323.198,101720872.3,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
FALSE,,Pyridoxal,4-Acetamidobutanoate; 6-Amino-2-oxohexanoate; (S)-5-Amino-3-oxohexanoic acid; L-2-Aminoadipate 6-semialdehyde; 2-Amino-5-oxohexanoate,C02946; C03239; C03656; C04076; C05825,C8 H9 N O3,No match,Invalid mass,No match,No match,-131596.78,145.07392,5.755,245469851.3,50,6,94.1,9.7,99.4,"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;Tropane, piperidine and pyridine alkaloid biosynthesis;D-Amino acid metabolism;Other",DDA for preferred ion,64595888.8,14557186.76,93902504.85,6662961.864,4727843.719,9345085.134,9521209.521,124644514,13282356.3,14158912.91,7681056.289,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
FALSE,,Pyridoxal,4-Acetamidobutanoate; 6-Amino-2-oxohexanoate; (S)-5-Amino-3-oxohexanoic acid; L-2-Aminoadipate 6-semialdehyde; 2-Amino-5-oxohexanoate,C02946; C03239; C03656; C04076; C05825,C8 H9 N O3,No results,Invalid mass,No results,No results,-14.24,167.05586,5.76,138914842.2,0,4,94.2,9.7,99.6,,DDA for preferred ion,43488260.31,8849327.803,62542989.15,4640360.303,3475410.58,6352477.017,6140553.206,80674288.68,9258581.958,9549479.648,5188614.304,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
FALSE,,Phenacetin,L-Homophenylalanine,C17235,C10 H13 N O2,Full match,Full match,No results,Partial match,-0.21,179.09459,12.998,5073415168,104,44,76,56.3,91.1,"Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",DDA for preferred ion,3164449.781,7678136.265,3846058.37,278941680.9,5063447.561,5954866.23,17325855.1,4268801.659,319877537.8,8015304.685,9134063.466,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap
FALSE,,Phenacetin,L-Homophenylalanine,C17235,C10 H13 N O2,Full match,Full match,No results,Partial match,-0.04,179.09462,13.072,5405251427,104,42,77.2,58,90.5,"Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",DDA for preferred ion,2313207.578,7089561.369,3424613.821,272049400.1,4675304.135,5498390.25,15997725.07,3929058.237,306173751,7400883.821,7862201.496,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
FALSE,,Phenacetin,L-Homophenylalanine,C17235,C10 H13 N O2,Full match,Full match,No results,Partial match,0.13,179.09465,13.034,5432550773,104,46,75.1,55,90.5,"Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",DDA for preferred ion,2974555.524,7217381.919,3486357.559,276733014.2,4759597.071,5597522.937,16286154.48,4012636.772,351925508,7534317.328,8003952.285,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
FALSE,,"pentane-1,2,3,4,5-pentol",Xylitol; Ribitol; L-Arabitol; D-Arabitol,C00379; C00474; C00532; C01904,C5 H12 O5,No results,Invalid mass,No results,No results,144552.99,174.05043,1.204,98064339.28,0,2,98.8,9.9,66.2,,DDA for preferred ion,891131.368,64553502.3,638326.7715,65613272.09,60437828.92,837688.591,917606.9205,811039.6763,77865802.3,49513447.86,612385.4949,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
FALSE,,Penicillic acid,"3,4-Dihydroxyphenylethyleneglycol; 1,6-Dihydroxy-5-methylcyclohexa-2,4-dienecarboxylate; cis-1,2-Dihydroxy-4-methylcyclohexa-3,5-diene-1-carboxylate; 1,2-Dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate; 2-Hydroxy-6-oxo-octa-2,4-dienoate",C05576; C06720; C06729; C06731; C07123,C8 H10 O4,No results,Invalid mass,No results,No results,-13.93,170.05554,2.582,491631637.4,0,30,84.1,9.2,91.5,,DDA for preferred ion,32304996.73,186632801.8,25200210.35,162703497.7,403424973.5,581944.0039,494829.5461,9186059.074,9375372.87,180634872.8,964955.5035,Full gap,Full gap,No gap,Full gap,No gap,No gap,Full gap,Full gap,Full gap,Full gap,No gap
FALSE,,Penicillic acid,"3,4-Dihydroxyphenylethyleneglycol; 1,6-Dihydroxy-5-methylcyclohexa-2,4-dienecarboxylate; cis-1,2-Dihydroxy-4-methylcyclohexa-3,5-diene-1-carboxylate; 1,2-Dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate; 2-Hydroxy-6-oxo-octa-2,4-dienoate",C05576; C06720; C06729; C06731; C07123,C8 H10 O4,No results,Invalid mass,No results,No results,-13.93,170.05554,4.59,235925673.4,0,31,84.8,52.9,90.6,,DDA for preferred ion,21735032.63,38068905.93,26001180.75,202788511.6,3374806.562,487545.5175,926188.7143,42766345.94,204660571.7,66882526.47,470617.0086,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap
FALSE,,Penicillic acid,"3,4-Dihydroxyphenylethyleneglycol; 1,6-Dihydroxy-5-methylcyclohexa-2,4-dienecarboxylate; cis-1,2-Dihydroxy-4-methylcyclohexa-3,5-diene-1-carboxylate; 1,2-Dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate; 2-Hydroxy-6-oxo-octa-2,4-dienoate",C05576; C06720; C06729; C06731; C07123,C8 H10 O4,No results,Invalid mass,No results,No results,-13.97,170.05553,5.498,69106132.58,0,49,79.1,9,89.3,,DDA for preferred ion,739610.2591,9082362.974,1156929.528,35472680.46,2673765.175,126107.9731,387309.9931,1754654.836,46424258.36,15397428.38,137863.4705,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap
FALSE,,Palmitoleic Acid,Stearidonic acid,C16300,C16 H30 O2,No match,Invalid mass,No results,No match,86476.02,276.20891,19.72,251643262.6,57,202,78.8,8.9,94.7,Biosynthesis of secondary metabolites;Other,DDA for preferred ion,14336021.6,24991757.69,18248850.85,6890717.357,29869547.29,6953439.844,754055.7975,18646280.2,58547840.29,26734986.92,6897846.67,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
FALSE,,Palmitic Acid,NA,NA,C16 H32 O2,No match,Invalid mass,No results,No match,66447.69,273.2668,16.244,467791513,2,2,82.3,51.4,,,DDA for preferred ion,451746010.2,467791513,451210993.1,11553214.12,3179547.859,8845825.798,6597418.659,7162123.082,7801576.957,9075072.649,2283706.874,Full gap,No gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
FALSE,,Palmitic Acid,NA,NA,C16 H32 O2,No match,Invalid mass,No results,No match,66447.74,273.26681,16.279,330472170.1,2,2,82.1,51.3,,,DDA for preferred ion,5374655.459,8522357.544,5192278.067,306964951,312547952,316393926,315807164.6,311986625.4,317359703.4,5801711.772,2333029.661,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
FALSE,,octadec-9-ynoic acid,NA,NA,C18 H32 O2,No match,Invalid mass,No results,No match,-64268.14,262.22971,20.835,67231924.22,23,75,97.1,94.1,91.9,,DDA for preferred ion,4496034.658,22096726.58,4635860.823,30994673.23,17476903.17,1896422.543,1921490.627,4154239.059,4719522.38,13506534.7,1803463.055,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
FALSE,,NP-022469,NA,NA,C16 H24 O5,No match,Invalid mass,No results,No results,74217.93,318.14293,1.013,42441496.16,0,4,85.6,9.3,,,DDA for preferred ion,35728574.38,23191693.14,33494433.76,20013816.27,37413323.93,33939187.76,27712871.53,36618678.05,22440140.62,26016750.46,30005903.41,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,No gap,Full gap
FALSE,,NP-022068,NA,NA,C8 H12 O5,No match,Invalid mass,No results,No match,-116895.36,166.08414,1.261,318692871.4,5,9,71.4,8.6,73.3,,DDA for preferred ion,15252327.65,287800945.8,17536047.03,317701445.8,301894114.2,1782789.454,1778658.685,13177049.43,255659834.5,280953074.5,1675643.707,Full gap,Full gap,No gap,Full gap,No gap,Missing ions,Full gap,No gap,No gap,Full gap,No gap
FALSE,,NP-020521,"(6Z,9Z,12Z)-Octadecatrienoic acid; (9Z,12Z,15Z)-Octadecatrienoic acid",C06426; C06427,C18 H32 O3,No match,Invalid mass,No match,No match,-60798.2,278.22458,19.696,136618164.2,58,25,96.3,90.2,,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of plant secondary metabolites;Other,DDA for preferred ion,12725637.73,31313583.15,13744333.02,45009319.57,50402577.8,1359216.283,6458061.059,27101839.75,28392881.82,37756351.98,4124117.664,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
FALSE,,NP-019992,NA,NA,C10 H12 O4,No match,Invalid mass,No results,No match,203979.05,236.06846,13.97,300175386,26,49,81.5,76.3,95.1,,DDA for preferred ion,315739.1641,378187.0536,346066.342,422480.0421,500151.2103,454241.7571,482791.3539,434328.5449,516576.6477,303876.8519,357699.7107,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
FALSE,,NP-019988,Ferulate; 5-Hydroxyconiferaldehyde,C01494; C12204,C10 H10 O4,No match,Invalid mass,No results,No match,-92810.15,176.04737,11.367,80360568.76,36,6,76.7,72.8,,,DDA for preferred ion,515865.4259,2560984.989,116592.7624,6927899.029,27069732.93,823090.1999,772777.3857,806685.9776,2088093.182,1304049.751,199232.7281,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
FALSE,,NP-019360,NA,NA,C8 H12 O4,No match,Invalid mass,No results,No match,127747.52,194.05553,6.64,46060772.37,2,13,98.3,9.9,,,DDA for preferred ion,4649662.657,38525725.95,4560355.555,17183841.61,24985165.46,446072.2491,741158.8287,6594311.144,20978274.94,40133121.77,312293.931,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
FALSE,,NP-015114,NA,NA,C11 H19 N O6,No match,Invalid mass,No results,No match,84183.03,283.10322,6.773,173680870,1,3,96.7,9.8,99,,DDA for preferred ion,111701520,886632.3253,128169486.7,22267896.44,1087472.444,134210473.3,115265111.5,156616602.4,54994639.77,220089.5621,114498298.4,Full gap,No gap,Full gap,No gap,Full gap,Full gap,No gap,Full gap,Full gap,No gap,Full gap
FALSE,,NP-015114,NA,NA,C11 H19 N O6,No match,Invalid mass,No results,No match,84182.96,283.1032,7.505,84150094.96,1,12,95.7,9.8,95,,DDA for preferred ion,37355090.35,4633906.004,22501890.12,2556302.427,11314542.72,834362.3071,424093.9442,13920692.59,2293840.747,4496305.66,552224.0176,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
FALSE,,NP-015114,NA,NA,C11 H19 N O6,No match,Invalid mass,No results,No match,65205.64,278.14781,6.77,39839646.29,2,24,94.2,81.8,84.9,,DDA for preferred ion,24048430.47,79071.66751,31943208.79,3271035.182,60152.30754,24827496.69,19771003.6,34140600.94,10359357.1,47084.44241,21011463.66,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
FALSE,,NP-014287,9(10)-EpOME; 12(13)-EpOME,C14825; C14826,C18 H32 O3,No match,Invalid mass,No results,No results,74204.52,318.21713,20.233,132214775.4,0,26,99.7,10,,,DDA for preferred ion,44832016.49,6950480.929,34790822.97,11103191.89,6428982.029,4681301.52,4234472.953,61663721.68,12974339.88,4458762.507,3612658.078,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
FALSE,,NP-014287,9(10)-EpOME; 12(13)-EpOME,C14825; C14826,C18 H32 O3,No match,Invalid mass,No results,No results,74204.48,318.21712,19.704,91884970.03,0,9,98.8,9.9,,,DDA for preferred ion,5550333.573,17280963.53,6055816.633,24139958.3,6429934.42,3649440.007,3652312.458,5137865.964,15063736.55,17388705.85,3523123.875,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
FALSE,,NP-014287,9(10)-EpOME; 12(13)-EpOME,C14825; C14826,C18 H32 O3,No match,Invalid mass,No results,No results,74204.58,318.21715,19.595,88288138.52,0,19,99.7,10,,,DDA for preferred ion,2125315.816,28417374.34,2046149.014,30132231.71,10023119.29,2965590.153,2780077.423,5410447.335,17656859.52,21438182.85,2248603.091,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
FALSE,,NP-013538,NA,NA,C12 H16 O8,No match,Invalid mass,No results,No match,76304.02,310.06652,7.478,606505635,3,6,99.8,93.4,,,DDA for preferred ion,56035463.5,1779523.396,95363839,1594056.897,1360901.348,305127684.8,280820021.5,176354822,1485313.216,1615531.827,266041320.9,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
FALSE,,NP-013538,NA,NA,C12 H16 O8,No match,Invalid mass,No results,No match,76303.99,310.06652,7.461,459446958.5,2,5,98.2,83.2,71.8,,DDA for preferred ion,56035463.5,1202549.745,95363839,713542.0447,917884.9167,305127684.8,280820021.5,176354822,961569.6381,1128050.169,266041320.9,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap
FALSE,,NP-012042,Coniferyl aldehyde; 2-Oxo-4-phenylbutyric acid,C02666; C20327,C10 H12 O4,No match,Invalid mass,No results,No match,-91855.96,178.06303,20.077,1777758472,80,50,66.2,47.4,97.8,"Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",DDA for preferred ion,379525417.5,654600.6855,392098455.7,804837.3074,717655.1164,608670.2351,2025289.512,730579470.6,1364548.635,771757.3542,572818.1432,Full gap,Missing ions,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap
FALSE,,NP-012042,Coniferyl aldehyde; 2-Oxo-4-phenylbutyric acid,C02666; C20327,C10 H12 O4,No match,Invalid mass,No results,No match,-91855.96,178.06303,19.424,485699305.4,80,81,67.5,67.2,97.9,"Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",DDA for preferred ion,258944603.9,1303863.145,211989676.8,1034681.928,1086556.474,1088138.161,919820.8401,204778433.3,1043112.653,1090851.724,951144.7635,Full gap,Missing ions,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Missing ions,Full gap
FALSE,,NP-012042,Coniferyl aldehyde; 2-Oxo-4-phenylbutyric acid,C02666; C20327,C10 H12 O4,No match,Invalid mass,No results,No match,-91855.97,178.06303,19.2,195882161.9,80,53,65.2,47.2,98.7,"Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",DDA for preferred ion,184151403.2,431811.2418,172059037.6,933616.9503,1227565.802,575076.9585,1182007.163,159385458.5,705280.3925,853178.0155,607264.6004,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap
FALSE,,NP-012042,Coniferyl aldehyde; 2-Oxo-4-phenylbutyric acid,C02666; C20327,C10 H12 O4,No match,Invalid mass,No results,No match,-91855.97,178.06303,19.438,251700673.5,80,52,66.7,47.5,96.4,"Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",DDA for preferred ion,251700673.5,769322.9713,200079165.2,534703.9495,450133.0702,581705.1104,443998.7199,194072211.3,503511.8388,473121.0453,459118.8186,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
FALSE,,NP-012042,Coniferyl aldehyde; 2-Oxo-4-phenylbutyric acid,C02666; C20327,C10 H12 O4,No match,Invalid mass,No results,No match,-91855.97,178.06303,18.913,117033976.3,80,140,65.6,47.3,94.3,"Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",DDA for preferred ion,117033976.3,428992.8343,107392449.4,322836.1598,287526.1918,307444.6997,653463.3581,98381692.26,642987.1013,300481.9861,525021.5075,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap
FALSE,,NP-012042,Coniferyl aldehyde; 2-Oxo-4-phenylbutyric acid,C02666; C20327,C10 H12 O4,No match,Invalid mass,No results,No match,-91855.98,178.06303,16.786,78985143.67,80,128,66.6,66.9,95.2,"Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",DDA for preferred ion,44899966.67,444889.69,49331191.67,500438.4923,326299.9342,353991.4793,410063.0139,40642023.16,350858.4185,228796.9939,284340.0363,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
FALSE,,NP-011548,NA,NA,C18 H34 O3,No match,Invalid mass,No results,No match,73703.27,320.23285,20.056,78503680.1,1,18,99,10,,,DDA for preferred ion,35744994.3,4780828.692,57618525.77,5182956.402,6748756.432,6226377.825,6275018.878,40945239.22,3366336.344,5813321.985,5019501.727,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap
FALSE,,NP-011150,NA,NA,C22 H24 O8,No match,Invalid mass,No results,No results,91221.58,454.10871,8.518,97401752.32,0,14,93.1,9.7,,,DDA for preferred ion,109245.2089,55691643.52,147733.2289,64310550.59,23462098.51,58412806.59,46644110.94,876128.1303,72547164.92,48862458.3,51637829.17,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,No gap,Full gap,No gap,Full gap,Full gap
FALSE,,NP-008999,NA,NA,C22 H28 O10,No match,Invalid mass,No results,No results,83954.74,490.12991,6.449,323409644.1,0,5,94.2,9.7,,,DDA for preferred ion,2341340.429,2451537.519,4073570.621,1795919.968,1311187.979,322809970.1,323409644.1,867592.367,2349912.825,2298647.047,297742120.2,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap
FALSE,,NP-008521,NA,NA,C14 H18 N2 O2,No match,Invalid mass,No results,No match,89301.01,268.1171,6.962,51579490.23,15,3,76.5,8.8,73.3,,DDA for preferred ion,88893.66436,127014.8195,97520.7232,160615.6602,135587.767,117132.4264,164794.8031,121665.7177,240892.8473,115594.5401,185991.2238,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap
