Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: Metabolika Search,Annot. Source: ChemSpider Search,Annot. DeltaMass [ppm],Calc. MW,RT [min],Area (Max.),# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,KEGG Pathways,MS2,Group Area: CTRL1,Group Area: F1154_1,Group Area: F1177_1,Group Area: F1246_1,Group Area: CTRL2,Group Area: CTRL3,Group Area: F1154_2,Group Area: F1177_3,Group Area: F1246_2,Group Area: F1154_3,Group Area: F1246_3,Gap Fill Status: 2plus_RP_pos_MS2.raw (F14),Gap Fill Status: 10plus_RP_pos_MS2.raw (F15),Gap Fill Status: 14plus_RP_pos_MS2.raw (F16),Gap Fill Status: 19plus_RP_pos_MS2.raw (F17),Gap Fill Status: 23plus_RP_pos_MS2.raw (F18),Gap Fill Status: 40plus_RP_pos_MS2.raw (F19),Gap Fill Status: 41plus_RP_pos_MS2.raw (F20),Gap Fill Status: 46plus_RP_pos_MS2.raw (F21),Gap Fill Status: 47plus_RP_pos_MS2.raw (F22),Gap Fill Status: 57plus_RP_pos_MS2.raw (F23),Gap Fill Status: 59plus_RP_pos_MS2.raw (F24),Gap Fill Status: 60plus_RP_pos_MS2.raw (F25),Gap Fill Status: Bplus_RP_pos_MS2.raw (F26)
Betaine,C5 H11 N O2,Full match,Full match,Partial match,Partial match,-0.28,117.07895,1.185,2252386478,5,99.4,10,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;Biosynthesis of cofactors;2-Oxocarboxylic acid metabolism;Protein digestion and absorption;Central carbon metabolism in cancer;D-Amino acid metabolism;Aminoacyl-tRNA biosynthesis;Cyanoamino acid metabolism;Other,DDA for preferred ion,1932171556,1399168738,2002960831,2195957216,1922636748,2159050538,506181853.5,1849146123,2252386478,1274603634,1898401604,0,0,0,0,0,0,0,0,0,0,0,0,128
"N,N-dimethyl-5-nitro-6-[3-(trifluoromethyl)phenoxy]pyrimidin-4-amine",C13 H11 F3 N4 O3,No match,Full match,No results,No match,-3.63,328.07713,5.999,2226743846,15,76.4,8.8,,DDA for preferred ion,1445604923,1112748.918,988619.5117,301392339.8,2211563477,2226743846,5191613.493,5853648.226,186140375.8,1476601.833,23483627.57,16,128,128,0,16,0,0,16,16,0,128,16,32
,C30 H32 O10,Full match,No results,No results,No match,0.22,552.19967,19.155,2091823089,0,,,,DDA for preferred ion,801339.7713,764300.7706,795643.4129,2091823089,1442045.221,802660.1892,849278.6099,828862.5083,1831460665,866730.3238,2085742045,32,32,32,0,32,128,32,16,32,0,16,0,32
L-Phenylalanine,C9 H11 N O2,Full match,Full match,Full match,Full match,0.18,165.07901,6.898,1801302787,94,98.1,82.4,"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;2-Oxocarboxylic acid metabolism;Phenylpropanoid biosynthesis;Protein digestion and absorption;Biosynthesis of phenylpropanoids;Central carbon metabolism in cancer;D-Amino acid metabolism;Aminoacyl-tRNA biosynthesis;Phenylalanine, tyrosine and tryptophan biosynthesis;Tropane, piperidine and pyridine alkaloid biosynthesis;Biosynthesis of various plant secondary metabolites;Cyanoamino acid metabolism;Other",DDA for preferred ion,1114276985,823092033.2,579010543.8,396138389,1096837395,1313901615,698448659.6,1801302787,189142092.7,41680686.25,3240448.84,0,0,0,0,128,0,0,0,0,0,16,16,16
Citric acid,C6 H8 O7,Full match,Invalid mass,Full match,Full match,-0.19,192.02697,2.748,1749547143,31,,,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;Biosynthesis of cofactors;2-Oxocarboxylic acid metabolism;Biosynthesis of phenylpropanoids;Central carbon metabolism in cancer;Other,DDA for preferred ion,90697292.98,640009222,252913102.6,1749547143,1410964699,1607313906,430161123,461060593.3,42128945.36,9433412.19,30358473.39,16,64,64,0,128,0,0,64,64,16,16,16,32
"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,Full match,Full match,No results,Full match,0.09,192.07866,19.374,1661935952,29,73,70.1,Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Phenylpropanoid biosynthesis;Other,DDA for preferred ion,351486.3383,532220.9311,719590.199,1196298798,2351960.839,620492.3733,391500.384,967328.4151,1381709804,952632.6253,1661935952,32,16,128,0,16,128,16,32,16,0,16,0,32
L-alpha-Glycerylphosphorylcholine,C8 H20 N O6 P,Full match,Invalid mass,No results,Full match,0.02,257.10283,1.149,1654364950,4,,,,DDA for preferred ion,1054614637,1511943134,1065144213,1523394896,963071590.3,984793503,871763245.8,759968428.4,1393915817,1654364950,845675553,0,0,0,0,0,0,0,0,0,0,0,0,32
"3,4-Dihydroxyphenylpropionic acid",C9 H10 O4,No match,Invalid mass,No match,No match,-98927.49,164.04738,19.382,1575127438,26,80.5,9,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;2-Oxocarboxylic acid metabolism;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;D-Amino acid metabolism;Degradation of aromatic compounds;Phenylalanine, tyrosine and tryptophan biosynthesis;Tropane, piperidine and pyridine alkaloid biosynthesis;Biosynthesis of various plant secondary metabolites;Other",DDA for preferred ion,937711.1333,1052108.877,1350463.011,1196126733,2093212.156,1025457.594,1177252.409,1241697.493,1329197578,1964760.82,1575127438,32,16,16,0,32,128,32,16,16,0,32,0,32
Citric acid,C6 H8 O7,Full match,Invalid mass,Full match,Full match,-0.21,192.02696,2.7,1539752182,45,,,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;Biosynthesis of cofactors;2-Oxocarboxylic acid metabolism;Biosynthesis of phenylpropanoids;Central carbon metabolism in cancer;Other,DDA for preferred ion,1414006569,18353706.89,5249703.767,51025485.35,23793018.37,6685672.121,15108284.09,461060593.3,1539752182,571926322.2,1385809330,0,16,16,16,16,16,16,16,64,0,64,0,32
1-[(3-Carboxypropyl)amino]-1-deoxy-beta-D-fructofuranose,C10 H19 N O7,Full match,Invalid mass,No results,Full match,-0.04,265.11614,1.247,1441632291,4,,,,DDA for preferred ion,502369597.5,79698117.86,23169906.2,1441632291,555393728.8,536760591.2,26406342.01,33511708.23,1095664071,100516511.3,989159664.9,0,128,128,0,16,0,0,128,128,0,128,0,32
[Similar to: Trimethoprim impurity C; ΔMass: -48.0613 Da],C7 H10 N6 O5,Full match,Invalid mass,No results,No results,1.08,258.07155,2.642,1380141304,8,,,,DDA for preferred ion,1197034751,583303239,918523151.3,1355948934,1239326695,1380141304,13620946.64,162809097.3,1129815271,432633712.3,69244509.53,0,0,0,0,128,0,0,128,0,64,64,16,32
Adenosine,C10 H13 N5 O4,Full match,Full match,Full match,Full match,-0.01,267.09675,6.068,1357108263,31,99.9,10,Metabolic pathways;ABC transporters;Other,DDA for preferred ion,171950044,743269264,696101538.9,1175248996,155975869.1,188386905.4,616581587.1,1357108263,845637758.7,925647307.9,778356683.2,0,0,0,0,128,0,0,0,0,64,0,0,16
DL-Carbidopa,C10 H14 N2 O4,Full match,Not the top hit,Partial match,Full match,-0.04,226.09535,7.55,1352782325,20,,,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of cofactors;Other,DDA for preferred ion,296704218.5,1159091671,1103375942,1101375243,276582992.2,343090102.8,882899621,1086193946,961638007,1352782325,803965985.4,0,64,0,64,128,64,64,0,0,0,0,0,16
methoxyresorcinol,C7 H8 O3,Full match,Not the top hit,No results,Full match,0.04,140.04735,9.955,1328496974,106,,,Microbial metabolism in diverse environments;Other,DDA for preferred ion,611513.5352,7449786.748,8153301.295,1328496974,2529981.849,1253515.598,7311472.835,4501771.277,1074872485,9697784.924,984413795.7,128,128,128,0,16,128,16,128,128,0,128,64,16
Choline,C5 H13 N O,Full match,Full match,No results,Partial match,-0.43,103.09967,1.052,1327208320,9,99.6,10,,DDA for preferred ion,1258592902,730362497,770699118.2,346675206.1,1228856029,1327208320,822407853.3,1130348199,315737652.6,917177209.4,289742797.9,0,0,0,0,0,0,0,0,0,0,0,0,16
3-hydroxy-3-methylpentanedioic acid,C6 H10 O5,Full match,Full match,Partial match,Partial match,0.19,162.05285,1.193,1266241191,133,63.7,66.1,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Other,DDA for preferred ion,1052393347,37699282.43,6691492.787,910969149.9,798053697.2,1266241191,13710344.87,19288284.53,805564655,9114557.041,665504032.8,0,128,16,64,128,0,0,16,16,64,16,64,16
"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,Full match,Full match,No results,Full match,0.09,192.07866,19.153,1261449757,28,72.8,70,Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Phenylpropanoid biosynthesis;Other,DDA for preferred ion,801393.4383,593936.1114,693410.2379,1261449757,918919.0132,610581.8145,555218.437,624575.9897,1159624125,619974.5323,1247678745,16,16,128,0,16,128,16,16,16,0,128,0,32
lactosamine,C12 H23 N O10,Full match,Invalid mass,No results,Full match,0.11,341.13223,1.296,1241391359,101,,,Metabolic pathways;Other,DDA for preferred ion,1241391359,22211282.11,33292305.31,244343124.2,1204503847,1239607570,7929260.382,34195143.3,223559758.3,21321236.42,163742657,0,128,128,64,128,64,64,128,64,64,128,64,32
"(2Z,4Z)-6-Amino-2,4-diimino-5-nitro-1,3(2H,4H)-pyrimidinediol",C4 H6 N6 O4,Full match,Invalid mass,No results,Full match,1.62,202.04538,1.176,1225549314,132,,,,DDA for preferred ion,936370582,20899907.46,56314297.06,1174255636,1043552246,1225549314,27101709.26,114314433.8,968451974,20115398.39,902632833.3,0,128,0,0,128,0,0,128,64,0,128,0,32
"bis-beta-D-fructofuranose 1,2':2,3'-dianhydride",C12 H20 O10,Full match,Invalid mass,No results,Full match,0.2,324.10571,1.308,1201971210,103,,,,DDA for preferred ion,1194768561,21130064.97,28225625,241167282.8,1166139855,1201971210,7261480.84,32704524.58,220555487.3,14015788.63,156862319.8,64,128,128,0,128,0,0,128,0,0,128,0,32
[Similar to: Trimethoprim impurity C; ΔMass: -48.0613 Da],C7 H10 N6 O5,Full match,Invalid mass,No results,No results,1.05,258.07154,2.614,1197034751,8,,,,DDA for preferred ion,1197034751,35335005.85,28772267.29,108874521,74989262.49,75457611.17,13504795.97,162809097.3,1129815271,432633712.3,1035235575,64,16,16,16,16,16,16,128,64,0,0,0,32
"(2Z,4Z)-6-Amino-2,4-diimino-5-nitro-1,3(2H,4H)-pyrimidinediol",C4 H6 N6 O4,Full match,Invalid mass,No results,Full match,1.7,202.0454,1.149,1174255636,46,,,,DDA for preferred ion,936370582,33444961.72,56314297.06,1174255636,16318640.89,75378457.08,28150637.32,114314433.8,968451974,12379023.18,751599852.9,64,16,64,64,128,16,16,128,0,64,128,128,16
L-Glutamic acid,C5 H9 N O4,Full match,Full match,Full match,Full match,0.15,147.05318,1.146,1171896090,23,98.7,94.8,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;Biosynthesis of cofactors;2-Oxocarboxylic acid metabolism;Protein digestion and absorption;Central carbon metabolism in cancer;D-Amino acid metabolism;Aminoacyl-tRNA biosynthesis;Cyanoamino acid metabolism;Other,DDA for preferred ion,602576875.4,497248612.7,333902479.2,1171896090,655433370.9,886745024.7,574516796.7,939888432.6,522764080.6,523372546.6,557217616.6,0,0,0,0,128,0,0,0,0,0,0,0,16
DL-Carbidopa,C10 H14 N2 O4,Full match,Invalid mass,Partial match,Full match,-0.02,226.09535,7.57,1159091671,24,,,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of cofactors;Other,DDA for preferred ion,296856630.4,1159091671,1103375942,1101375243,277620167.4,343090102.8,882899621,1086193946,961638007,1045269849,67820963.14,64,0,64,0,128,0,0,64,64,64,128,16,32
Adenosine,C10 H13 N5 O4,Full match,Full match,Full match,Full match,0.01,267.09676,6.086,1152326006,32,99.9,10,Metabolic pathways;ABC transporters;Other,DDA for preferred ion,7961141.119,647420268.7,613175222.5,1152326006,153407001.2,186051840.4,525758452.4,60441321.41,821615467.7,829545130.1,755940589.5,16,64,64,64,128,64,64,64,16,0,64,64,16
L-Phenylalanine,C9 H11 N O2,Full match,Full match,Full match,Full match,0.2,165.07901,6.845,1142999795,63,97.9,81.7,"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;2-Oxocarboxylic acid metabolism;Phenylpropanoid biosynthesis;Protein digestion and absorption;Biosynthesis of phenylpropanoids;Central carbon metabolism in cancer;D-Amino acid metabolism;Aminoacyl-tRNA biosynthesis;Phenylalanine, tyrosine and tryptophan biosynthesis;Tropane, piperidine and pyridine alkaloid biosynthesis;Biosynthesis of various plant secondary metabolites;Cyanoamino acid metabolism;Other",DDA for preferred ion,1026682426,17707384.78,17754906.73,11344181.72,26881124.58,36940646.21,14503270,41707383.87,201643473.8,1142999795,92552629.54,64,16,16,16,16,16,16,16,16,64,0,0,32
L-Iditol,C6 H14 O6,Full match,Full match,Full match,Full match,0.1,182.07906,1.174,1113135697,26,88.9,81.6,Metabolic pathways;ABC transporters;Other,DDA for preferred ion,32725855.72,961964058.2,666561028.9,29896025.32,33395689.7,34603911.74,1029209088,1113135697,26513627.87,1025941581,29557190.36,128,0,0,128,64,128,128,0,0,128,0,128,32
Isoleucine,C6 H13 N O2,Full match,Full match,Partial match,Not the top hit,-0.22,131.0946,3.916,1083152870,29,99.7,10,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;2-Oxocarboxylic acid metabolism;Protein digestion and absorption;Central carbon metabolism in cancer;Aminoacyl-tRNA biosynthesis;Tropane, piperidine and pyridine alkaloid biosynthesis;Cyanoamino acid metabolism;Other",DDA for preferred ion,598472223,474245844.2,405734711,299405508.1,602726902.4,690581257.1,425204660.4,1083152870,3407404.451,9023292.215,1538905.937,0,64,0,0,128,64,64,64,0,16,16,16,16
methoxyresorcinol,C7 H8 O3,Full match,Not the top hit,No results,Full match,-0.07,140.04733,9.93,1074872485,99,,,Microbial metabolism in diverse environments;Other,DDA for preferred ion,582567.6317,7348471.269,1173314.752,6203298.626,614122.5862,1185520.871,7064030.415,4361081.41,1074872485,9355430.69,984413795.7,128,128,16,16,16,16,16,128,128,64,128,0,16
DL-Carnitine,C7 H15 N O3,Full match,Full match,No results,Full match,0.19,161.10522,1.122,1060131791,3,99.4,92.5,Other,DDA for preferred ion,9637438.535,1060131791,756974997.9,407891999.1,12893917.96,10665770.03,846557165.4,975636374.6,382768014.7,1057461702,383521723.6,128,0,0,0,0,128,128,0,0,0,0,0,16
3-hydroxy-3-methylpentanedioic acid,C6 H10 O5,No match,Invalid mass,No match,No match,105068.12,179.07941,1.191,1030719010,136,63.5,66,Metabolic pathways;Biosynthesis of secondary metabolites;Other,DDA for preferred ion,845474519.2,31660254.13,9173679.824,763356708.3,612272460,1030719010,35154317.62,9320555.52,672475183.5,4697906.668,554420680.8,64,128,16,64,128,64,64,64,16,0,16,0,16
[Similar to: Butyryl trihexyl citrate; ΔMass: -305.2970 Da],C6 H11 N O7,Full match,Invalid mass,No results,No results,-0.12,209.05353,2.739,972581721.9,17,,,,DDA for preferred ion,749589617,314124152.6,132865269.8,972581721.9,730045800.2,849257203.1,215515881.7,232727398.6,326896.3194,6443182.545,12216957.39,64,0,0,64,128,64,64,0,0,32,16,16,32
D-Raffinose,C18 H32 O16,No match,Invalid mass,No results,No results,33771.6,521.19563,1.405,921060009.8,64,74.6,54.3,,DDA for preferred ion,829888624.8,57565947.82,75073781.2,336910396.5,886707231.9,921060009.8,31394567.46,58431042.33,284592928.8,64698298.23,219423312.7,0,0,0,0,128,0,0,128,0,0,0,0,32
Proline,C5 H9 N O2,Full match,Full match,Full match,Full match,-0.43,115.06328,1.318,880947057.5,40,99.9,10,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;ABC transporters;Protein digestion and absorption;Central carbon metabolism in cancer;D-Amino acid metabolism;Aminoacyl-tRNA biosynthesis;Other,DDA for preferred ion,740088477.4,163866357.2,216613461.5,231194434.7,789911298.8,880947057.5,115747221.8,332545681,161004273.7,210962261.1,143259130.8,0,0,0,0,128,0,0,0,0,0,0,0,16
[Similar to: Butyryl trihexyl citrate; ΔMass: -305.2970 Da],C6 H11 N O7,Full match,Invalid mass,No results,No results,-0.1,209.05353,2.691,866289828,28,,,,DDA for preferred ion,749589617,2584537.053,1649921.556,10466036.24,7584304.276,5178917.388,4359846.653,6167949.245,866289828,304101284,783591342,64,16,16,16,16,16,16,16,16,64,0,64,32
D-(+)-Maltose,C12 H22 O11,No match,Invalid mass,No results,No results,64252.78,364.09813,1.323,801581805.6,16,100,10,,DDA for preferred ion,622403087.4,194864346.3,261739894.5,801581805.6,455178715.3,643759246.1,84430138.26,278036972.7,696283049.6,98423540.98,663026411.7,0,0,0,0,128,0,0,128,64,0,0,0,32
"[Similar to: [(1S,3R,13S,14S,17S,18R,19R,20S,21S,23R,24R,25S)-18,19,21-tris(acetyloxy)-24,25-dihydroxy-3,13,14,25-tetramethyl-6,15,22-trioxo-2,5,16-trioxa-11-azapentacyclo[15.7.1.0Âa,Â?â°.0Âl,Â?Âl.0â·,ÂaÂ?]pentacosa-7(12),8,10-trien-20-yl]methyl acetate; ΔMass: -36.0466 Da]",C40 H26 Cl N9 O,Full match,Invalid mass,No results,No results,1.59,683.19597,20.8,757091962.4,56,,,,DDA for preferred ion,9726488.365,9190163.078,8047975.456,13880320.43,14263722.97,44537968.44,757091962.4,25651275.6,2662665.357,8434190.965,400819078.5,16,16,16,16,128,16,16,0,16,32,128,16,16
[Similar to: AB-CHMINACA metabolite M7; ΔMass: 39.9895 Da],C16 H29 N O12,Full match,Invalid mass,No results,No results,-0.05,427.16895,1.362,756433558.5,4,,,,DDA for preferred ion,662427563.8,3628410.086,1880121.766,227680891.5,643515210,756433558.5,2324156.858,2067347.156,95927320.41,692677.8532,19295734.18,0,128,16,0,16,0,0,16,16,0,16,128,32
NP-012042,C10 H12 O4,No match,Invalid mass,No results,No match,-91855.95,178.06304,20.081,731605866.3,50,65.9,47.3,"Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",DDA for preferred ion,545526.6526,735646.7537,1305258.609,731605866.3,2010639.381,579670.5985,684908.224,475658.8936,391645597.1,624321.5747,379807277.5,32,16,16,0,32,128,32,16,32,0,16,0,32
[Similar to: 3-[1-(dimethylamino)-1H-pyrrol-2-yl]-2-(2-furylcarbonyl)acrylonitrile; ΔMass: 200.0995 Da],C19 H29 N5 O8,Full match,Invalid mass,No results,No results,-2.88,455.2003,6.409,712635905.4,5,,,,DDA for preferred ion,600652860,42141459.42,2701014.481,82058441.79,574620479.1,712635905.4,33219465.59,5641939.251,22136885.16,3658971.578,6254547.838,0,128,128,128,16,0,0,128,128,128,16,128,32
DL-Tryptophan,C11 H12 N2 O2,Full match,Full match,Full match,Full match,0.02,204.08988,8.453,707162830.2,37,99.6,98.9,"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;Biosynthesis of cofactors;2-Oxocarboxylic acid metabolism;Protein digestion and absorption;Biosynthesis of phenylpropanoids;Central carbon metabolism in cancer;Aminoacyl-tRNA biosynthesis;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",DDA for preferred ion,322798979.2,304870039.8,231136782.6,101662100.6,330454074.3,392782887.8,287785096.6,707162830.2,133061050.1,9956688.188,644883.1165,64,64,64,64,16,64,64,64,0,64,16,16,32
Isoleucine,C6 H13 N O2,Full match,Full match,Partial match,Not the top hit,-0.26,131.09459,3.837,703674377.3,63,99.8,10,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;ABC transporters;2-Oxocarboxylic acid metabolism;Protein digestion and absorption;Central carbon metabolism in cancer;Aminoacyl-tRNA biosynthesis;Tropane, piperidine and pyridine alkaloid biosynthesis;Cyanoamino acid metabolism;Other",DDA for preferred ion,7475678.793,5831398.786,5726398.956,18156871.08,10219539.07,11967812.14,4261904.32,35714334.12,179022694.6,703674377.3,76678778.9,16,16,16,16,16,16,16,16,16,0,0,0,16
L-Pyroglutamic acid,C5 H7 N O3,Full match,Full match,Full match,Partial match,-0.18,129.04257,3.078,703193745.4,87,99.5,10,Metabolic pathways;Biosynthesis of secondary metabolites;D-Amino acid metabolism;Other,DDA for preferred ion,22270508.84,9687403.272,12213304.89,703193745.4,501289274.8,612164340.4,8423362.452,16658248.46,4698286.379,635631.3788,2590626.169,16,128,128,0,128,0,0,128,128,16,16,16,128
9-O-acetylneuraminic acid,C11 H19 N O9,Full match,Invalid mass,Partial match,Full match,0.21,309.10605,1.288,700618923.3,166,,,Metabolic pathways;Other,DDA for preferred ion,689483123.6,26087245.55,22281338.63,134458063.9,679759477.5,700618923.3,16746792.93,110099644.6,134261921,31405565.37,93487566.69,64,128,128,0,128,0,0,128,64,0,128,0,32
D-(+)-Maltose,C12 H22 O11,No match,Invalid mass,No results,No results,64252.77,364.09812,1.285,696283049.6,8,99.8,10,,DDA for preferred ion,162004363.6,194864346.3,261739894.5,487315456.9,184938267.1,184518363.7,42813952.69,278036972.7,696283049.6,98423540.98,663026411.7,128,64,64,128,128,0,128,128,0,64,64,64,32
