FeatureID,Name,Formula,MW,Area: 2,Area: 10,Area: 14,Area: 19,Area: 40,Area: 41,Area: 46,Area: 47,Area: 57,Area: 59,Area: 60,Area: B,name4plot,C,H,N,O,S,P,Cl,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment
Feature0269,Citric acid,C6 H8 O7,192.02696,1414006569,18353706.89,5249703.767,51025485.35,23793018.37,6685672.121,15108284.09,461060593.3,1539752182,571926322.2,1385809330,229366.333,Citric acid-peak1,6,8,0,7,0,0,0,1.3333333333333333,1.1666666666666667,1,31.799999999999997,3,-4,4,-0.2,-4,Other,25.13524472603733,28.777645407442435,1.1449120834551485,0.19523681960346573,0.3227460032035257,0.47144573242818677,Upregulated
Feature0268,1-[(3-Carboxypropyl)amino]-1-deoxy-beta-D-fructofuranose,C10 H19 N O7,265.11614,502369597.5,79698117.86,23169906.2,1441632291,555393728.8,536760591.2,26406342.01,33511708.23,1095664071,100516511.3,989159664.9,124542.1197,1-[(3-Carboxypropyl)amino]-1-deoxy-beta-D-fructofuranose-peak2,10,19,1,7,0,0,0,1.9,0.7,-0.20000000000000015,66,2,-5,-3,-0.4545454545454546,-6,Amino Sugar,28.5339466022518,29.993394486156067,1.0511477751132083,0.07196550415867516,0.017547940845591154,0.06987973721182482,Upregulated
Feature0267,Adenosine,C10 H13 N5 O4,267.09675,171950044,743269264,696101538.9,1175248996,155975869.1,188386905.4,616581587.1,1357108263,845637758.7,925647307.9,778356683.2,298650.9187,Adenosine-peak2,10,13,5,4,0,0,0,1.3,0.4,1,31.799999999999997,7,3,-2,0,-2,Phenol,27.2058436666524,29.5266551340152,1.0853056238872512,0.11810136523057375,0.0035010206046173376,0.027908135676806778,Upregulated
Feature0266,DL-Carbidopa,C10 H14 N2 O4,226.09535,296704218.5,1159091671,1103375942,1101375243,276582992.2,343090102.8,882899621,1086193946,961638007,1352782325,803965985.4,321550.9151,DL-Carbidopa-peak2,10,14,2,4,0,0,0,1.4,0.4,0,60.3,5,1,-0.25,0.16666666666666666,-1,Phenol,28.142018660144767,29.530938303485666,1.0493539450781444,0.06950137827860263,0.020198288161525264,0.07318600515669545,Upregulated
Feature0265,methoxyresorcinol,C7 H8 O3,140.04735,611513.5352,7449786.748,8153301.295,1328496974,2529981.849,1253515.598,7311472.835,4501771.277,1074872485,9697784.924,984413795.7,1434514.421,methoxyresorcinol-peak2,7,8,0,3,0,0,0,1.1428571428571428,0.42857142857142855,-0.2857142857142856,68.44285714285714,4,1,0.25,0.4545454545454546,1,Phenol,19.3519891060348,30.470677987888934,1.574550182977668,0.6549397387875718,4.2854749465672215e-5,0.003818145333534741,Upregulated
Feature0264,Choline,C5 H13 N O,103.09967,1258592902,730362497,770699118.2,346675206.1,1228856029,1327208320,822407853.3,1130348199,315737652.6,917177209.4,289742797.9,118222.4358,Choline,5,13,1,1,0,0,0,2.6,0.2,-1.5999999999999996,105.89999999999998,0,-1,-0.6666666666666666,-0.42857142857142855,-2,Other,30.196188445255967,27.951766836849533,0.9256720227297744,-0.11142697591225931,0.012331868276512612,0.05460795505950957,Downregulated
Feature0263,3-hydroxy-3-methylpentanedioic acid,C6 H10 O5,162.05285,1052393347,37699282.43,6691492.787,910969149.9,798053697.2,1266241191,13710344.87,19288284.53,805564655,9114557.041,665504032.8,612498.9898,3-hydroxy-3-methylpentanedioic acid,6,10,0,5,0,0,0,1.6666666666666667,0.8333333333333334,0,60.3,2,-3,-3,-0.14285714285714285,-3,Carbohydrate,29.342536674154534,29.4734769321167,1.0044624723286961,0.006423664622073038,0.7422420574786992,0.8350223146635366,Upregulated
Feature0262,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,192.07866,801393.4383,593936.1114,693410.2379,1261449757,918919.0132,610581.8145,555218.437,624575.9897,1159624125,619974.5323,1247678745,372753.6115,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole-peak5",11,12,0,3,0,0,0,1.0909090909090908,0.2727272727272727,-0.5454545454545459,75.84545454545456,6,3,0.375,0.47368421052631576,3,Phenol,20.094445363620967,29.945080587894132,1.4902168258949202,0.575522257455967,3.2678999195256702e-6,9.11744077547662e-4,Upregulated
Feature0261,lactosamine,C12 H23 N O10,341.13223,1241391359,22211282.11,33292305.31,244343124.2,1204503847,1239607570,7929260.382,34195143.3,223559758.3,21321236.42,163742657,198208.0092,lactosamine,12,23,1,10,0,0,0,1.9166666666666667,0.8333333333333334,0,60.3,2,-8,-9,-0.6666666666666666,-9,Carbohydrate,29.5559727498181,27.5602980240578,0.9324781240444004,-0.10085821477724381,0.00683315980698028,0.0399687690511022,Downregulated
Feature0260,"bis-beta-D-fructofuranose 1,2':2,3'-dianhydride",C12 H20 O10,324.10571,1194768561,21130064.97,28225625,241167282.8,1166139855,1201971210,7261480.84,32704524.58,220555487.3,14015788.63,156862319.8,132935.8948,"bis-beta-D-fructofuranose 1,2':2,3'-dianhydride-peak2",12,20,0,10,0,0,0,1.6666666666666667,0.8333333333333334,0,60.3,3,-7,-3.5,-0.2857142857142857,-7,Carbohydrate,29.469571229227633,27.5334899240614,0.9343023591993749,-0.09803858400344843,0.006640082525639758,0.0399687690511022,Downregulated
Feature0259,L-Glutamic acid,C5 H9 N O4,147.05318,602576875.4,497248612.7,333902479.2,1171896090,655433370.9,886745024.7,574516796.7,939888432.6,522764080.6,523372546.6,557217616.6,377826.0532,L-Glutamic acid,5,9,1,4,0,0,0,1.8,0.8,0.3999999999999999,48.9,2,-2,-Inf,-0.5,-3,Carbohydrate,29.286613750248133,29.116633483059335,0.9941959740160347,-0.008397833770250886,0.5528710564347102,0.6855601099790407,Downregulated
Feature0258,DL-Carbidopa,C10 H14 N2 O4,226.09535,296856630.4,1159091671,1103375942,1101375243,277620167.4,343090102.8,882899621,1086193946,961638007,1045269849,67820963.14,205179.3044,DL-Carbidopa-peak1,10,14,2,4,0,0,0,1.4,0.4,0,60.3,5,1,-0.25,0.16666666666666666,-1,Phenol,28.05071303549453,28.37707833860327,1.0116348309112773,0.016688615421312822,0.7719117335868135,0.8448397206807227,Upregulated
Feature0257,Adenosine,C10 H13 N5 O4,267.09676,7961141.119,647420268.7,613175222.5,1152326006,153407001.2,186051840.4,525758452.4,60441321.41,821615467.7,829545130.1,755940589.5,226883.2077,Adenosine-peak1,10,13,5,4,0,0,0,1.3,0.4,1,31.799999999999997,7,3,-2,0,-2,Phenol,25.5115395119865,29.576494881757633,1.1593379093355471,0.21330112637073215,0.09329640218120609,0.19761999097578903,Upregulated
Feature0256,L-Phenylalanine,C9 H11 N O2,165.07901,1026682426,17707384.78,17754906.73,11344181.72,26881124.58,36940646.21,14503270,41707383.87,201643473.8,1142999795,92552629.54,123507.2297,L-Phenylalanine-peak1,9,11,1,2,0,0,0,1.2222222222222223,0.2222222222222222,-0.44444444444444464,72.96666666666667,5,3,0.3333333333333333,0.42857142857142855,2,Phenol,25.664220248164632,25.8653670372601,1.0078376349310614,0.011263235913884707,0.938065682983346,0.9496663262180881,Upregulated
Feature0255,L-Iditol,C6 H14 O6,182.07906,32725855.72,961964058.2,666561028.9,29896025.32,33395689.7,34603911.74,1029209088,1113135697,26513627.87,1025941581,29557190.36,163712.4014,L-Iditol,6,14,0,6,0,0,0,2.3333333333333335,1,-0.33333333333333304,69.79999999999998,0,-6,-Inf,-1,-6,Carbohydrate,24.439885319221332,24.685614179891967,1.0100544195466161,0.014433024358254434,0.6285331692052568,0.7591374641050505,Upregulated
Feature0254,Isoleucine,C6 H13 N O2,131.0946,598472223,474245844.2,405734711,299405508.1,602726902.4,690581257.1,425204660.4,1083152870,3407404.451,9023292.215,1538905.937,238120.8703,Isoleucine-peak6,6,13,1,2,0,0,0,2.1666666666666665,0.3333333333333333,-1,88.8,1,-1,-0.6666666666666666,-0.25,-2,Protein,28.644218068730634,23.391251145307933,0.8166133594284745,-0.2922749252871264,0.11543890022947502,0.22699809870891666,Downregulated
Feature0253,methoxyresorcinol,C7 H8 O3,140.04733,582567.6317,7348471.269,1173314.752,6203298.626,614122.5862,1185520.871,7064030.415,4361081.41,1074872485,9355430.69,984413795.7,1298796.598,methoxyresorcinol-peak1,7,8,0,3,0,0,0,1.1428571428571428,0.42857142857142855,-0.2857142857142856,68.44285714285714,4,1,0.25,0.4545454545454546,1,Phenol,19.3612140030882,27.742043762295665,1.4328669554435318,0.5189046587049501,0.0852901213325428,0.19190277299822128,Upregulated
Feature0252,DL-Carnitine,C7 H15 N O3,161.10522,9637438.535,1060131791,756974997.9,407891999.1,12893917.96,10665770.03,846557165.4,975636374.6,382768014.7,1057461702,383521723.6,154070.1291,DL-Carnitine,7,15,1,3,0,0,0,2.142857142857143,0.42857142857142855,-0.8571428571428568,84.72857142857141,1,-2,-1,-0.3333333333333333,-3,Protein,22.9481010760515,28.421189534384,1.2384985337215626,0.30859216055530353,0.0020043814259004702,0.02150855453177812,Upregulated
Feature0251,[Similar to: Butyryl trihexyl citrate; ΔMass: -305.2970 Da],C6 H11 N O7,209.05353,749589617,314124152.6,132865269.8,972581721.9,730045800.2,849257203.1,215515881.7,232727398.6,326896.3194,6443182.545,12216957.39,54409.81371,[Similar to: Butyryl trihexyl citrate; ΔMass: -305.2970 Da]-peak2,6,11,1,7,0,0,0,1.8333333333333333,1.1666666666666667,1,31.799999999999997,2,-5,3,-1.6666666666666667,-6,Carbohydrate,28.847803211488866,23.844799408443865,0.8265724510678679,-0.2747868141292879,0.2466383244273022,0.39532438988310803,Downregulated
Feature0250,Proline,C5 H9 N O2,115.06328,740088477.4,163866357.2,216613461.5,231194434.7,789911298.8,880947057.5,115747221.8,332545681,161004273.7,210962261.1,143259130.8,694260.1783,Proline,5,9,1,2,0,0,0,1.8,0.4,-0.4000000000000003,71.7,2,0,-0.5,0,-1,Protein,29.2064074965763,27.22943820453383,0.9323104256395033,-0.10111769476794125,0.008042127032838213,0.04314910465695887,Downregulated
Feature0249,[Similar to: Butyryl trihexyl citrate; ΔMass: -305.2970 Da],C6 H11 N O7,209.05353,749589617,2584537.053,1649921.556,10466036.24,7584304.276,5178917.388,4359846.653,6167949.245,866289828,304101284,783591342,55062.23915,[Similar to: Butyryl trihexyl citrate; ΔMass: -305.2970 Da]-peak1,6,11,1,7,0,0,0,1.8333333333333333,1.1666666666666667,1,31.799999999999997,2,-5,3,-1.6666666666666667,-6,Carbohydrate,23.99954837692493,27.720065182448266,1.1550244507559373,0.20792339243004743,0.3513703304745378,0.49511273839593967,Upregulated
Feature0248,[Similar to: AB-CHMINACA metabolite M7; ΔMass: 39.9895 Da],C16 H29 N O12,427.16895,662427563.8,3628410.086,1880121.766,227680891.5,643515210,756433558.5,2324156.858,2067347.156,95927320.41,692677.8532,19295734.18,103645.5293,[Similar to: AB-CHMINACA metabolite M7; ΔMass: 39.9895 Da],16,29,1,12,0,0,0,1.8125,0.75,-0.125,63.8625,3,-9,-3.3333333333333335,-0.4444444444444444,-10,Carbohydrate,28.4811349930069,26.393436220977232,0.9266988912997228,-0.10982744923642603,0.07559631671685382,0.17874044376273066,Downregulated
Feature0247,DL-Tryptophan,C11 H12 N2 O2,204.08988,322798979.2,304870039.8,231136782.6,101662100.6,330454074.3,392782887.8,287785096.6,707162830.2,133061050.1,9956688.188,644883.1165,235042.4274,DL-Tryptophan,11,12,2,2,0,0,0,1.0909090909090908,0.18181818181818185,-0.18181818181818168,65.48181818181817,7,5,0.42857142857142855,0.5,3,Phenol,27.721705761379432,24.2284843258223,0.87398966479098406,-0.19431187539370212,0.24796332698761256,0.39532438988310803,Downregulated
Feature0246,Isoleucine,C6 H13 N O2,131.09459,7475678.793,5831398.786,5726398.956,18156871.08,10219539.07,11967812.14,4261904.32,35714334.12,179022694.6,703674377.3,76678778.9,263851.1982,Isoleucine-peak5,6,13,1,2,0,0,0,2.1666666666666665,0.3333333333333333,-1,88.8,1,-1,-0.6666666666666666,-0.25,-2,Protein,22.332548221679566,26.193830429086134,1.1728993113136184,0.23007916911794488,0.10084658553566035,0.20997162212275552,Upregulated
Feature0245,L-Pyroglutamic acid,C5 H7 N O3,129.04257,22270508.84,9687403.272,12213304.89,703193745.4,501289274.8,612164340.4,8423362.452,16658248.46,4698286.379,635631.3788,2590626.169,220390.7053,L-Pyroglutamic acid-peak2,5,7,1,3,0,0,0,1.4,0.6,0.3999999999999999,48.9,3,0,-1,0.2,-1,Phenol,26.616763473535034,24.58572682182457,0.9236933275629128,-0.1145141482695264,0.4706179032756431,0.606393458629287,Downregulated
Feature0244,9-O-acetylneuraminic acid,C11 H19 N O9,309.10605,689483123.6,26087245.55,22281338.63,134458063.9,679759477.5,700618923.3,16746792.93,110099644.6,134261921,31405565.37,93487566.69,146254.5213,9-O-acetylneuraminic acid,11,19,1,9,0,0,0,1.7272727272727273,0.8181818181818182,0.18181818181818168,55.11818181818182,3,-6,-7,-0.4545454545454546,-7,Carbohydrate,28.669156723768065,26.768034262556235,0.9336875346725594,-0.0989882725759547,0.01154456647461489,0.05280219748225499,Downregulated
Feature0243,Isoleucine,C6 H13 N O2,131.0946,4546665.498,474245844.2,405734711,299405508.1,602726902.4,690581257.1,425204660.4,55822609.66,3455552.991,9184624.663,2486249.184,238769.0126,Isoleucine-peak4,6,13,1,2,0,0,0,2.1666666666666665,0.3333333333333333,-1,88.8,1,-1,-0.6666666666666666,-0.25,-2,Protein,26.002313413250832,23.710591140069535,0.9118646777015836,-0.13310835305685986,0.4722439200500714,0.606393458629287,Downregulated
Feature0242,methyl N-acetylneuraminate,C12 H21 N O9,323.12166,30594649.83,2298103.696,2726050.699,17694361.44,496183265.4,656655264.7,2097908.878,2943676.18,6907848.529,2509829.793,3333517.586,291478.3063,methyl N-acetylneuraminate-peak3,12,21,1,9,0,0,0,1.75,0.75,0,60.3,3,-6,-3.5,-0.38461538461538464,-7,Carbohydrate,27.048013701218533,23.274884431129035,0.8605025377549437,-0.2167486478850172,0.08830155779318256,0.19559899728497837,Downregulated
Feature0241,"1-{[(3S,4S,5R)-2,3,4-Trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}-2-pyrrolidinecarboxylic acid (non-preferred name)",C11 H19 N O7,277.11615,534915672.6,325487765.3,96494163.04,656250129.8,482559252,578265116.6,84389851.72,62240844.58,564725141.7,275871330.3,401158896.7,224823.6809,"1-{[(3S,4S,5R)-2,3,4-Trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}-2-pyrrolidinecarboxylic acid (non-preferred name)",11,19,1,7,0,0,0,1.7272727272727273,0.6363636363636364,-0.18181818181818168,65.48181818181817,3,-4,-1.6666666666666667,-0.2307692307692308,-5,Amino Sugar,28.617383210348134,28.826929970820665,1.007322359243411,0.010525442688915781,0.4191310061388313,0.565857837118416,Upregulated
Feature0240,"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid",C22 H26 O7,402.1679,256300.8884,262116.3609,580133.8115,633309591.3,1186209.35,262879.3887,290674.2275,292591.6259,562782673.9,255802.4188,620469719.7,480005.627,"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid-peak4",22,26,0,7,0,0,0,1.181818181818182,0.3181818181818182,-0.5454545454545459,75.84545454545456,10,3,0.2,0.35135135135135137,3,Phenol,20.267245516793167,28.045250782610434,1.3837721933832852,0.4686064555992358,0.0038889321133611715,0.028552948937572813,Upregulated
Feature0239,"3',4'-Dimethoxyacetophenone",C10 H12 O3,180.07864,112358.174,389306311.7,179447171,259501.7357,109757.5682,115519.0185,486749658.7,54551628.35,91659.79689,625563644.6,88226.95533,258235.0683,"3',4'-Dimethoxyacetophenone",10,12,0,3,0,0,0,1.2,0.3,-0.5999999999999996,77.39999999999999,5,2,0.2857142857142857,0.4117647058823529,2,Phenol,17.799012940185268,16.262828897616266,0.9136927397192504,-0.13021900335612274,0.1566842640785035,0.2790796762482476,Downregulated
Feature0238,"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate",C11 H15 N O7,273.08486,220690735.3,30845287.32,33018001,24610646.05,23253424.34,1115213.288,20263694.33,36506981.97,545589546.9,619038530.8,487483308.6,421356.2482,"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate-peak3",11,15,1,7,0,0,0,1.3636363636363635,0.6363636363636364,0.18181818181818168,55.11818181818182,5,-2,-1,0.07692307692307693,-3,Phenol,23.15238837869637,27.5397728538141,1.1895002970473134,0.25035563203932537,0.22287517458348421,0.37013198636185773,Upregulated
Feature0237,"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate",C11 H15 N O7,273.08488,15193439.32,513657587.3,588948954.2,572112901.2,211992360.4,256911602.2,488385015.8,591610130.9,29026333.21,40271221.98,12586109.72,429175.9322,"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate-peak2",11,15,1,7,0,0,0,1.3636363636363635,0.6363636363636364,0.18181818181818168,55.11818181818182,5,-2,-1,0.07692307692307693,-3,Phenol,25.920801463183565,25.738687538481333,0.9929742170603445,-0.010171836753141336,0.9209585509104172,0.9446596900882588,Downregulated
Feature0236,"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate",C11 H15 N O7,273.08486,13710040.44,513657587.3,588948954.2,572112901.2,211992360.4,256911602.2,488385015.8,33214731.24,25869637.49,35740653.52,12080517.7,347185.7544,"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate-peak1",11,15,1,7,0,0,0,1.3636363636363635,0.6363636363636364,0.18181818181818168,55.11818181818182,5,-2,-1,0.07692307692307693,-3,Phenol,25.752244105989732,25.686604243649402,0.9974511012682944,-0.0036819780505450254,0.972074152987645,0.9755708226027084,Downregulated
Feature0235,"1,2-di-O-methyl-4-[(2R)-2,4-dihydrobutyramido]-4,6-dideoxy-alpha-D-mannopyranoside",C12 H23 N O7,293.14749,491646150.8,103939021.9,4538185.351,84647912.58,455884089.6,577869652.7,12599402.94,10363606.26,4527814.953,4703081.141,13016415.43,263840.1536,"1,2-di-O-methyl-4-[(2R)-2,4-dihydrobutyramido]-4,6-dideoxy-alpha-D-mannopyranoside",12,23,1,7,0,0,0,1.9166666666666667,0.5833333333333334,-0.5,74.55,2,-5,-1.5,-0.3333333333333333,-6,Amino Sugar,27.959771759666666,24.167253453765,0.8643580377371836,-0.21029905996197226,0.059895815095437045,0.1492047536752405,Downregulated
Feature0234,Isoleucine,C6 H13 N O2,131.0946,262487841.5,224127603.6,134631419.2,95542487.67,256959057.3,325628227.3,209857723.4,555798124.3,1061712.049,1303466.67,386820.4444,53079.8121,Isoleucine-peak3,6,13,1,2,0,0,0,2.1666666666666665,0.3333333333333333,-1,88.8,1,-1,-0.6666666666666666,-0.25,-2,Protein,27.10048582109903,21.791907602071,0.80411501645867,-0.31452622307665334,0.1219841414733935,0.23799703126627123,Downregulated
Feature0233,DL-Stachydrine,C7 H13 N O2,143.09464,2953497.736,65203253.84,132332103.5,4632637.237,3510198.058,4009808.443,105374261.1,549446801.7,3969688.1,103333771.8,4131250.19,65861.81652,DL-Stachydrine,7,13,1,2,0,0,0,1.8571428571428572,0.2857142857142857,-0.8571428571428568,84.72857142857141,2,0,-0.25,0,-1,Lipid,20.818943356248035,22.378581460192734,1.0749143737631925,0.10422174124050308,0.05818794483780238,0.14625618567339518,Upregulated
Feature0232,L-Tyrosine,C9 H11 N O3,181.07392,4686035.809,270127508.6,189117348.4,7376551.601,348656323.8,445441513.2,214830217.5,547800984.8,2099826.276,1498551.186,778008.9444,64421.49027,L-Tyrosine-peak4,9,11,1,3,0,0,0,1.2222222222222223,0.3333333333333333,-0.22222222222222232,66.63333333333333,5,2,0.2,0.38461538461538464,1,Phenol,25.486113040176434,21.278730733121098,0.8349147121641186,-0.2602992633153377,0.1570448357382612,0.2790796762482476,Downregulated
Feature0231,methyl N-acetylneuraminate,C12 H21 N O9,323.12166,539870182.4,2052936.064,1329564.612,178746879.1,34395714.15,32405052.95,1280639.014,1608761.985,68148121.98,1448806.63,13893241.94,260382.6485,methyl N-acetylneuraminate-peak2,12,21,1,9,0,0,0,1.75,0.75,0,60.3,3,-6,-3.5,-0.38461538461538464,-7,Carbohydrate,25.6389729186977,26.1794503806807,1.0210803086261246,0.03009633957542605,0.7678989408936752,0.8448397206807227,Upregulated
Feature0230,L-Pyroglutamic acid,C5 H7 N O3,129.04256,466695090.1,518740.1257,517727.4775,18561659.55,18237395.63,15829918.61,1048045.284,15196486.54,529958851.6,9584111.938,464542815.6,139770.5054,L-Pyroglutamic acid-peak1,5,7,1,3,0,0,0,1.4,0.6,0.3999999999999999,48.9,3,0,-1,0.2,-1,Phenol,24.729491798000534,27.739025581309868,1.1216981654088283,0.16568451743484136,0.33670292505910043,0.4860780100421108,Upregulated
Feature0229,L-Saccharopine,C11 H20 N2 O6,276.13216,4646747.079,521488308.2,363788501.2,32226366.04,6649745.741,6156437.36,199916067.8,90744102.83,17297842.19,524871677.7,35879668.63,62587.03754,L-Saccharopine,11,20,2,6,0,0,0,1.818181818181818,0.5454545454545454,-0.18181818181818168,65.48181818181817,3,-3,-1.6666666666666667,-0.3333333333333333,-5,Protein,21.5011007825544,24.7776944056238,1.152391901056897,0.20463142646940286,0.0223531320492524,0.07669435502827422,Upregulated
Feature0228,N-Methyl-Nâ€²-piperazinoacetohydrazide,C7 H16 N4 O,172.13244,5107038.521,84566.9988,88463.79228,332720.1237,337373.6463,90807.28879,79123.59428,99532.74814,504586564.4,141887.4136,478639900.5,59917.69005,N-Methyl-Nâ€²-piperazinoacetohydrazide-peak2,7,16,4,1,0,0,0,2.2857142857142856,0.14285714285714285,-0.2857142857142856,68.44285714285714,2,1,-1.5,-1,-3,Lipid,21.5856865157605,24.393839714333268,1.130093300322991,0.17644188623046356,0.44862844282598907,0.5960349311830997,Upregulated
