Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: Metabolika Search,Annot. Source: ChemSpider Search,Annot. DeltaMass [ppm],Calc. MW,RT [min],Area (Max.),# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,KEGG Pathways,MS2,Area: 2,Area: 10,Area: 14,Area: 19,Area: 23,Area: 40,Area: 41,Area: 46,Area: 47,Area: 57,Area: 59,Area: 60,Area: B,Gap Fill Status: 10_HILIC_neg_MS2.raw (F2),Gap Fill Status: 14_HILIC_neg_MS2.raw (F3),Gap Fill Status: 19_HILIC_neg_MS2.raw (F4),Gap Fill Status: 23_HILIC_neg_MS2.raw (F5),Gap Fill Status: 40_HILIC_neg_MS2.raw (F6),Gap Fill Status: 41_HILIC_neg_MS2.raw (F7),Gap Fill Status: 46_HILIC_neg_MS2.raw (F8),Gap Fill Status: 47_HILIC_neg_MS2.raw (F9),Gap Fill Status: 57_HILIC_neg_MS2.raw (F10),Gap Fill Status: 59_HILIC_neg_MS2.raw (F11),Gap Fill Status: 60_HILIC_neg_MS2.raw (F12),Gap Fill Status: B_HILIC_neg_MS2.raw (F13)
D-(+)-Glucose,C6 H12 O6,Full match,Full match,Full match,Full match,-0.26,180.06334,9.376,1492348385,125,98.7,98.3,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;ABC transporters;Galactose metabolism;Biosynthesis of plant secondary metabolites;Phosphotransferase system (PTS);Taste transduction;Biosynthesis of phenylpropanoids;Biosynthesis of terpenoids and steroids;Biosynthesis of plant hormones;Carbohydrate digestion and absorption;Fructose and mannose metabolism;Central carbon metabolism in cancer;Carbon metabolism;Biosynthesis of cofactors;Starch and sucrose metabolism;Bacterial chemotaxis;Other,DDA for preferred ion,1072246512,33611686.81,89298825.13,735848691,53541598.85,1104029568,1492348385,60955100.81,393645711.2,625603416.1,62606479.16,446348035.8,0,128,128,128,128,0,0,128,128,128,128,128,32
Xylitol,C5 H12 O5,Full match,Full match,Full match,Full match,0.25,152.06851,7.083,1298909139,8,,,Metabolic pathways;ABC transporters;Other,DDA for preferred ion,9938000.329,304100674.9,574347440.7,8636942.056,19347711.23,7292182.496,9248847.704,348030170.6,1298909139,6236534.648,913826504,5980904.991,128,64,0,128,128,128,128,0,0,128,0,128,32
[Similar to: N-{2-[(4-Chlorobenzyl)thio]ethyl}-2-furamide; ΔMass: -197.0760 Da],,No results,Invalid mass,No results,No results,,97.9674,15.023,1167925260,192,,,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;ABC transporters;Other,DDA for preferred ion,1050514157,848126708.2,937999268.7,737650309.5,1089255733,1044040800,1124522648,922614413,1167925260,271873850.1,666517918.6,254861198.9,0,0,0,0,0,0,0,0,0,64,0,64,16
"3-[2-(1,3-Benzodioxol-5-yl)-7-methoxy-1-benzofuran-5-yl]-3-hydroxypropyl hexopyranoside",C25 H28 O11,No match,Invalid mass,No results,No match,11.88,504.16915,13.77,1120810712,13,80.4,69.2,Metabolic pathways;ABC transporters;Galactose metabolism;Carbohydrate digestion and absorption,DDA for preferred ion,720144160.5,916764.8705,1398157.473,73816697.06,6319706.962,937971851.6,1120810712,726776.9034,690049.366,49091256.62,1162176.079,83591458.1,64,16,16,128,128,64,0,128,128,128,128,128,32
"α,α-Trehalose",C12 H22 O11,Not the top hit,Full match,Partial match,Partial match,0.46,342.11637,11.13,1103766409,34,96,87.3,Metabolic pathways;Biosynthesis of secondary metabolites;ABC transporters;Galactose metabolism;Phosphotransferase system (PTS);Taste transduction;Carbohydrate digestion and absorption;Starch and sucrose metabolism;Bacterial chemotaxis,DDA for preferred ion,731599715.9,703467.0058,885946.0557,1010241907,784150.5248,850880328.4,1103766409,754391.5873,3196302.034,1017620644,1072390.964,924680996.2,0,128,128,0,128,0,0,128,128,0,128,0,16
"[Similar to: α,α-Trehalose; ΔMass: -126.0762 Da]",C6 H13 Cl O6,Full match,Invalid mass,No match,No match,-0.2,216.04002,7.859,1035603244,73,,,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of plant secondary metabolites;Biosynthesis of terpenoids and steroids;Biosynthesis of plant hormones;Other,DDA for preferred ion,1035603244,2830919.545,2063907.111,140891807,2508382.891,300695817.3,378646398.5,1799822.946,3071271.851,245902016.3,5279058.193,311284994.8,128,128,128,128,128,128,0,128,128,128,128,128,32
"1,5-Anhydro-D-fructose",C6 H10 O5,Full match,Invalid mass,Partial match,Full match,-0.38,162.05276,11.972,1010477192,137,,,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Fructose and mannose metabolism;Other,DDA for preferred ion,867707514.9,291446.9242,554424.0909,28971425.28,636563.7939,1010477192,876800976.8,721328.4846,1262049.972,23352548.83,888161.9383,20491535.68,0,16,16,128,16,0,0,16,128,128,16,128,16
,C10 H5 N2 O6 P,Full match,No results,No results,No results,0.5,279.98866,9.221,947594674.2,0,,,,DDA for preferred ion,48947028.43,28431201.01,92842800.01,947594674.2,26107570.68,128048678.8,284811319.2,41677897.86,313363669.6,607942811.5,27816493.33,443971291.8,16,128,128,0,128,16,128,128,128,0,128,128,32
"3-[2-(1,3-Benzodioxol-5-yl)-7-methoxy-1-benzofuran-5-yl]-3-hydroxypropyl hexopyranoside",C25 H28 O11,No match,Invalid mass,No results,No results,91262.94,550.17457,13.773,910547641.7,8,82.2,70,,DDA for preferred ion,583825504,548788.7149,541919.8096,60046120.48,4671457.437,768280183.1,910547641.7,581593.6867,491163.4883,40650661.37,823323.2721,68628637.19,0,16,16,128,128,0,64,128,128,128,128,128,32
"N',N''-{Methylenebis[(4-oxo-1,5-cyclohexadien-1-yl-3-ylidene)(E)methylylidene]}bis(4-methoxybenzohydrazide)",C31 H28 N4 O6,Full match,Invalid mass,No results,Full match,-2.38,552.19957,1.277,900187871.4,5,,,,DDA for preferred ion,7114437.788,43824.19923,39089.99393,900187871.4,40996.73007,1205786.678,36620.03899,36278.01953,46651.61852,484578896.4,45048.67083,501228404.6,128,32,32,64,32,128,32,32,32,0,32,0,32
2-Aminobutyl hydrogen sulfate,C4 H11 N O4 S,Full match,Invalid mass,No results,Full match,-0.23,169.04084,3.803,897124925,5,,,,DDA for preferred ion,8459307.288,58895445.61,129623982.8,897124925,164407074.2,8358926.821,8682257.187,100431559.9,458387554.2,683148568.1,141290436,698530184.1,128,128,128,0,128,128,128,128,0,0,128,0,32
"[Similar to: 4-[(1S,3aS,4R,6aR)-3a-Hydroxy-4-(4-hydroxy-3-methoxyphenyl)tetrahydro-1H,3H-furo[3,4-c]furan-1-yl]-2-methoxyphenyl β-D-glucopyranoside; ΔMass: 1.9945 Da]",C30 H26 N4 O6,Full match,Invalid mass,No results,No match,-2.51,538.18389,1.272,867634107.1,28,,,,DDA for preferred ion,834106.1911,97133.62869,101920.2995,162208555.2,92590.6202,92251.65807,92825.7216,85519.93677,124618.9125,794001737.8,100449.0163,867634107.1,128,32,32,0,32,32,32,32,32,0,32,0,32
D-(+)-Maltose,C12 H22 O11,Full match,Full match,Partial match,Full match,0.63,342.11643,11.852,854430696.6,73,96.7,100,Metabolic pathways;Biosynthesis of secondary metabolites;ABC transporters;Galactose metabolism;Phosphotransferase system (PTS);Taste transduction;Carbohydrate digestion and absorption;Starch and sucrose metabolism;Bacterial chemotaxis,DDA for preferred ion,382503893.7,4335741.549,2292013.791,70628270.09,1942019.426,854430696.6,274467285.5,2572229.694,5721413.07,65336089.04,3111804.427,40440908.99,128,16,128,16,16,0,16,128,128,16,128,16,32
6-Deoxy-alpha-D-arabino-hexopyranos-3-ulose,C6 H10 O5,Full match,Invalid mass,Partial match,Full match,-0.4,162.05276,11.742,812698843.3,128,,,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Fructose and mannose metabolism;Other,DDA for preferred ion,621911607.5,635192.7273,809863.2279,24324302.1,1533147.977,734921160.5,812698843.3,946108.9466,1187325.836,30615787.09,1245851.869,19467750.26,64,16,128,128,128,0,0,16,128,128,16,128,32
"[Similar to: (7Z)-7-{3-[(2-Chloro-5-nitrophenyl)amino]-5-oxo-1-(2,4,6-trichlorophenyl)-1,5-dihydro-4H-pyrazol-4-ylidene}-2,3-diphenyl-1(7H)-indolizinone; ΔMass: -517.0843 Da]",C3 H5 N2 P S3,Full match,Invalid mass,No results,No results,-2.33,195.93479,15.041,793324865.6,136,,,,DDA for preferred ion,715746466.4,546790662.7,625064273,472788471.8,727403504.1,717547577,772664113.3,623586887.2,793324865.6,143129674.4,438499745.3,130553906.5,64,64,64,64,64,64,64,64,64,0,64,0,32
ethyl 4-[2-(4-methylbenzoyl)hydrazino]-2-(trifluoromethyl)pyrimidine-5-carboxylate,C16 H15 F3 N4 O3,No match,Invalid mass,No results,No match,8.02,368.11258,9.278,772212467.9,10,85.6,9.3,,DDA for preferred ion,513229492.3,728456.4411,982025.7726,768795352.5,1313448.899,490190161.2,772212467.9,1203647.184,85445585.62,198356770,731929.9483,54582047.08,128,16,128,0,16,128,0,16,128,128,32,128,32
[Similar to: 13(S)-HOTrE; ΔMass: 110.8925 Da],C12 H23 N O14,Full match,Invalid mass,No results,No results,0.42,405.11203,11.782,765280914.2,129,,,,DDA for preferred ion,70434876.33,2187743.357,1914509.196,145646111.4,6531687.091,572416689.7,765280914.2,2308386.815,6382446.371,143521060.7,6603139.612,81871513,128,16,128,128,128,0,0,16,128,128,16,128,32
2-Methoxy-6-methyl-4H-pyran-4-one,C7 H8 O3,Full match,Invalid mass,No results,Full match,0.4,140.0474,1.345,756334164.2,43,,,Microbial metabolism in diverse environments;Other,DDA for preferred ion,7908583.55,8206565.677,10447768.55,756334164.2,19048174.14,3997346.666,1111684.87,11169680.6,7528705.961,271622962.8,14063681.95,227809977.8,128,128,128,0,128,128,128,128,128,0,128,0,32
,,No results,No results,No results,No results,,197.90219,12.835,755536935.6,0,,,,DDA for preferred ion,428780556.2,10991326.71,9095984.549,213624434.1,58797701.31,606034247.8,755536935.6,20337628.99,106489748.3,136850392.2,57861668.2,82531391.95,0,128,128,0,128,0,0,128,128,0,128,128,128
Methylmalonic acid,C4 H6 O4,Full match,Full match,Partial match,Partial match,0.5,118.02667,3.433,718796539.6,80,98.6,9.9,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Biosynthesis of plant secondary metabolites;Biosynthesis of phenylpropanoids;Biosynthesis of terpenoids and steroids;Biosynthesis of plant hormones;Central carbon metabolism in cancer;Carbon metabolism;Other,DDA for preferred ion,115631498,41462098.24,105630910.4,718796539.6,136922231.5,132272953.1,159751242.7,20910843.43,33785492.08,420608.627,275594.7686,470256.8243,0,128,0,0,0,0,0,128,128,16,16,16,128
[Similar to: D-(+)-Maltose; ΔMass: 35.9769 Da],C13 H19 Cl N4 O7,Full match,Invalid mass,No results,No results,-2.96,378.09311,11.923,708270376.3,75,,,,DDA for preferred ion,708270376.3,1209682.57,2782507.702,92379942.53,2757801.777,273674171.5,655678715.9,1876353.43,3661356.952,72270511.9,2130436.646,59840657.29,0,16,16,128,16,128,0,16,128,128,16,128,32
"[Similar to: 16-Acetoxy-3-{[hexopyranosyl-(1->6)hexopyranosyl-(1->4)-2,6-dideoxy-3-O-methylhexopyranosyl]oxy}-14-hydroxycard-20(22)-enolide; ΔMass: -594.3404 Da]",C12 H18 O9,Full match,Invalid mass,No results,No match,0.07,306.0951,4.817,664436604.4,144,,,,DDA for preferred ion,453552777.2,598612.8839,653949.9914,156759412.9,826745.6006,518998992.6,664436604.4,400306.0458,543727.928,61458907.53,998336.9811,18463454.85,64,16,16,128,16,0,0,16,16,128,16,128,32
,,No results,No results,No results,No results,,244.97527,4.342,663822872,0,,,,DDA for preferred ion,469695620.9,393431.6315,484741.5324,187826747.8,505059800.5,481359595.5,663822872,363635.7246,815008.2705,1139414.121,540270.1728,1357636.511,0,32,32,128,0,0,0,32,16,16,16,16,32
Methylmalonic acid,C4 H6 O4,Full match,Full match,Partial match,Partial match,0.49,118.02667,3.681,652418587.4,63,98.5,9.9,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Biosynthesis of plant secondary metabolites;Biosynthesis of phenylpropanoids;Biosynthesis of terpenoids and steroids;Biosynthesis of plant hormones;Central carbon metabolism in cancer;Carbon metabolism;Other,DDA for preferred ion,413016.2342,287748.2296,476782.4558,2520663.764,871093.6604,443368.7611,684449.6781,312871.7199,429516.0839,606950659.9,84449107.48,652418587.4,16,16,16,16,16,16,16,16,16,0,128,0,16
L-(+)-Lactic acid,C3 H6 O3,Full match,Full match,Full match,Full match,0.18,90.03171,4.34,641858382.8,10,99.9,10,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Galactose metabolism;Fructose and mannose metabolism;Central carbon metabolism in cancer;Carbon metabolism;Other,DDA for preferred ion,420094949.1,4781965.323,5512134.319,228613699,629781932.8,641858382.8,569864324.2,5345095.779,5614182.715,7222948.085,5640868.463,6442576.804,0,16,16,128,0,0,0,16,16,16,16,16,16
[Similar to: L-(-)-Arabitol; ΔMass: 46.0055 Da],C6 H14 O7,Full match,Invalid mass,No results,No results,0.02,198.07396,7.072,633644240.1,9,,,,DDA for preferred ion,3640194.106,134226345.9,264812674.8,3575287.142,8484752.97,3336577.418,3972179.61,159042369.4,633644240.1,2974459.777,432559340.5,2684452.65,128,0,64,128,128,128,128,64,64,128,64,128,32
"3-[2-(1,3-Benzodioxol-5-yl)-7-methoxy-1-benzofuran-5-yl]-3-hydroxypropyl hexopyranoside",C25 H28 O11,No match,Invalid mass,No results,No results,91262.98,550.1746,13.603,602239866.8,13,77.3,67.8,,DDA for preferred ion,523159673.5,6912301.538,16443696.9,100361807.1,30141983.66,543781946.7,602239866.8,1341470.569,3455554.137,69321690.23,11127800.85,98921694.44,0,128,128,128,128,0,0,128,128,128,128,128,32
,,No results,No results,No results,No results,,260.84673,15.012,574059759.2,0,,,,DDA for preferred ion,159482233,507892066.6,520839781.1,160817636.1,526670362,136683082.8,132006467.7,574059759.2,514183361,28853232.12,348565117.3,27971487.95,0,0,0,0,0,0,0,0,0,128,0,128,32
beta-D-Ethyl glucuronide,C8 H14 O7,Full match,Invalid mass,No results,Full match,-0.25,222.0739,11.74,572179993.6,141,,,,DDA for preferred ion,470808109.3,180888.6802,414959.774,16071525.53,780128.5365,548577034.6,572179993.6,229926.9138,1047974.518,23542977.81,260351.2202,15703379.67,0,16,128,128,128,64,64,16,128,128,128,128,32
,,No results,No results,No results,No results,,113.99297,8.792,487667532.5,0,,,,DDA for preferred ion,252036953,263874206.8,312669133.9,383724172.9,487667532.5,312151799.4,358392530.9,327810257.5,435172252.8,320667349.2,379985432.6,281444732.3,0,0,0,0,0,0,0,0,0,0,0,0,128
[Similar to: Lamiide; ΔMass: -206.1024 Da],C6 H13 Cl O6,Full match,Invalid mass,No match,No match,-0.13,216.04004,7.759,471075801.3,104,,,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of plant secondary metabolites;Biosynthesis of terpenoids and steroids;Biosynthesis of plant hormones;Other,DDA for preferred ion,400975155.1,1414474.454,1213439.828,154988100.4,1522288.585,471075801.3,138974729.1,1799832.238,1794500.718,243071443,2715967.742,287499220.5,0,128,128,128,128,128,128,128,128,128,128,128,32
Perillic acid,C10 H14 O2,Full match,Full match,No results,Full match,-0.42,166.09931,1.352,453957912,2,86,9.3,Metabolic pathways;Biosynthesis of secondary metabolites;Other,DDA for preferred ion,1645617.916,48185.60089,50547.63354,106703817.8,57452.0218,268487.6309,74711.41573,50422.86652,50731.53687,453957912,50993.91032,422001745,128,32,32,0,32,128,32,32,32,0,32,0,32
,,No results,No results,No results,No results,,188.04921,4.333,441300256.9,0,,,,DDA for preferred ion,266149422.3,285529.2674,596508.2234,57089471.37,330247856.3,308754355,441300256.9,263892.6389,292230.2699,712582.0603,316137.8731,428027.9246,128,32,16,128,0,0,0,32,32,16,32,32,32
"3-Methoxy-4-(methoxycarbonyl)-5-methylphenyl 4-[(2,4-dimethoxy-6-methylbenzoyl)oxy]-2-methoxy-6-methylbenzoate",C29 H30 O10,Full match,Invalid mass,No results,Full match,-0.02,538.18389,1.398,439557771.3,21,,,,DDA for preferred ion,909646.7409,65566.72532,68878.81548,208488067,88569.59247,159451.8926,73276.3327,66025.21106,76232.11412,439557771.3,77664.73943,426432037.2,128,32,32,0,32,16,32,32,32,0,32,0,32
[Similar to: (±)17(18)-DiHETE; ΔMass: 230.9345 Da],C19 H29 N5 O15,Full match,Invalid mass,No results,No results,-2.48,567.16461,13.769,392842882.2,76,,,,DDA for preferred ion,318877626.8,145207.3292,211860.8873,49323497.42,2781459.737,392842882.2,344686860,157717.547,497146.1642,32043948.15,453529.882,46345313.72,0,16,16,128,128,0,0,16,16,128,16,128,32
"[Similar to: 16-Acetoxy-3-{[hexopyranosyl-(1->6)hexopyranosyl-(1->4)-2,6-dideoxy-3-O-methylhexopyranosyl]oxy}-14-hydroxycard-20(22)-enolide; ΔMass: -548.3349 Da]",C13 H20 O11,Full match,Invalid mass,No results,No results,0.02,352.10057,4.814,388046717.8,157,,,,DDA for preferred ion,263196098.3,255099.9673,350064.2442,92824822.36,348280.1947,301946037.6,388046717.8,180893.3721,197573.0874,34912233.09,544294.4686,11546931.96,0,16,16,128,16,64,64,32,32,128,16,128,32
"N-Acetyl-2,7-anhydro-Î±-neuraminic acid",C11 H17 N O8,Full match,Invalid mass,No results,Full match,0.19,291.09547,11.457,385396200.4,12,,,,DDA for preferred ion,174450293.1,206584678.9,265184138,341624206.3,348523933.5,176562430.3,156450808.1,278480995.3,385396200.4,346090091.7,329561833.8,318421837.8,128,128,128,128,0,128,128,128,128,128,128,128,32
3-Allyl-2-hydroxybenzoic acid,C10 H10 O3,Full match,Full match,No results,Partial match,-0.17,178.06296,1.331,383683026.1,8,89.5,9.5,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of phenylpropanoids;Other,DDA for preferred ion,1073838.622,521627.005,372528.0603,69989835.8,775146.3364,612427.3602,552359.4526,142640.1512,383466.1778,383683026.1,671542.8815,278119459.4,128,128,128,0,128,128,128,128,128,0,128,0,32
[Similar to: 5(S)-HpEPE; ΔMass: 70.8976 Da],C12 H23 N O14,Full match,Invalid mass,No results,No results,0.44,405.11203,12.216,374832222.6,68,,,,DDA for preferred ion,45606833.41,113728076.1,137503035.9,374832222.6,60903534.63,64998104.8,48575670.77,32438228.47,95107765.44,322625337.8,84434138.98,329141922.9,128,128,0,0,128,128,128,128,128,0,128,0,32
3-Ethoxy-4-hydroxyphenylacetic acid,C10 H12 O4,Full match,Invalid mass,Partial match,Full match,0.09,196.07358,1.378,367757439.8,4,,,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Other,DDA for preferred ion,907268.0149,416369.1992,216703.7313,136143526.2,2782512.132,452102.1266,497403.3876,134532.6613,1261191.498,367757439.8,732165.0557,365055952.9,128,128,128,0,128,128,128,16,128,0,128,0,32
Methyl acetoacetate,C5 H8 O3,Full match,Full match,Partial match,Not the top hit,0.41,116.04739,2.843,339009351.9,31,95.9,9.8,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of cofactors;Other,DDA for preferred ion,592676.9492,99046649.57,255650765.9,2368521.607,339009351.9,2117641.951,845627.5506,1345838.487,2750627.975,1125514.277,106523353.8,1154067.457,128,128,0,128,0,128,128,128,128,128,128,128,16
