FeatureID,Name,Formula,ReClass,MW,KEGG Pathways,name4plot,C,H,N,O,S,P,Cl,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment,isolate
Feature0262,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,Other,192.07866,Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Phenylpropanoid biosynthesis;Other,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole-peak5",11,12,0,3,0,0,0,1.090909091,0.272727273,-0.545454545,75.84545455,6,3,0.375,0.473684211,3,Phenol,20.09444536,29.94508059,1.490216826,0.575522257,3.27E-06,9.12E-04,Upregulated,1246
Feature0222,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,Other,192.07866,Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Phenylpropanoid biosynthesis;Other,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole-peak4",11,12,0,3,0,0,0,1.090909091,0.272727273,-0.545454545,75.84545455,6,3,0.375,0.473684211,3,Phenol,21.11804175,26.66314695,1.262576676,0.336371005,0.009102539,0.045082908,Upregulated,1246
Feature0198,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,Other,192.07866,Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Phenylpropanoid biosynthesis;Other,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole-peak3",11,12,0,3,0,0,0,1.090909091,0.272727273,-0.545454545,75.84545455,6,3,0.375,0.473684211,3,Phenol,20.03419273,26.6898681,1.3322158,0.413827798,0.003333398,0.027890974,Upregulated,1246
Feature0171,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,Other,192.07866,Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Phenylpropanoid biosynthesis;Other,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole-peak2",11,12,0,3,0,0,0,1.090909091,0.272727273,-0.545454545,75.84545455,6,3,0.375,0.473684211,3,Phenol,20.89289777,26.6156524,1.273909091,0.349262327,3.67E-04,0.007044985,Upregulated,1246
Feature0047,Butyl glyoxylate,C6 H10 O3,Other,130.06295,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Degradation of aromatic compounds;Other,Butyl glyoxylate,6,10,0,3,0,0,0,1.666666667,0.5,-0.666666667,79.3,2,-1,-0.333333333,0.111111111,-1,Protein,19.42171145,26.77699643,1.378714564,0.463323806,3.74E-04,0.005217341,Upregulated,1154
Feature0047,Butyl glyoxylate,C6 H10 O3,Other,130.06295,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Degradation of aromatic compounds;Other,Butyl glyoxylate,6,10,0,3,0,0,0,1.666666667,0.5,-0.666666667,79.3,2,-1,-0.333333333,0.111111111,-1,Protein,19.42171145,26.04820384,1.341189931,0.423513558,2.32E-04,0.008361868,Upregulated,1177
Feature0189,Methyl piperonyl ketone,C10 H10 O3,Other,178.06304,"Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",Methyl piperonyl ketone,10,10,0,3,0,0,0,1,0.3,-0.4,71.7,6,3,0.428571429,0.529411765,3,Phenol,20.50225563,26.59243144,1.297049062,0.375233052,4.29E-04,0.007044985,Upregulated,1246
Feature0223,Tetrolic Acid,C4 H4 O2,Other,84.02114,Metabolic pathways;Other,Tetrolic Acid-peak4,4,4,0,2,0,0,0,1,0.5,0,60.3,3,1,0.5,0.666666667,1,Phenol,27.55281247,22.12653286,0.803058957,-0.316422186,3.02E-04,0.005197324,Downregulated,1154
Feature0073,"1-(2-Furyl)-1,2-ethanediol",C6 H8 O3,Phenols,128.04731,Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Other,"1-(2-Furyl)-1,2-ethanediol",6,8,0,3,0,0,0,1.333333333,0.5,-0.333333333,69.8,3,0,0,0.333333333,0,Phenol,20.57256162,26.98736575,1.311813582,0.391562717,4.04E-05,0.003759612,Upregulated,1154
Feature0073,"1-(2-Furyl)-1,2-ethanediol",C6 H8 O3,Phenols,128.04731,Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Other,"1-(2-Furyl)-1,2-ethanediol",6,8,0,3,0,0,0,1.333333333,0.5,-0.333333333,69.8,3,0,0,0.333333333,0,Phenol,20.57256162,26.04485919,1.265999814,0.340277193,4.25E-04,0.008361868,Upregulated,1177
Feature0085,"1-Ethoxy-4-methoxy-2,3,6a,9a-tetrahydrocyclopenta[c]furo[3',2':4,5]furo[2,3-h]chromen-11(1H)-one",C19 H18 O6,Phenols,342.11042,Biosynthesis of secondary metabolites;Other,"1-Ethoxy-4-methoxy-2,3,6a,9a-tetrahydrocyclopenta[c]furo[3',2':4,5]furo[2,3-h]chromen-11(1H)-one",19,18,0,6,0,0,0,0.947368421,0.315789474,-0.315789474,69.3,11,5,0.384615385,0.5,5,Phenol,20.11291566,25.34241727,1.260007136,0.333431905,0.007319326,0.040041017,Upregulated,1246
Feature0186,"3-Hydroxy-4,5,6-trimethoxytetrahydro-2H-pyran-2-carboxamide",C9 H17 N O6,Phenols,235.10555,NA,"3-Hydroxy-4,5,6-trimethoxytetrahydro-2H-pyran-2-carboxamide",9,17,1,6,0,0,0,1.888888889,0.666666667,-0.222222222,66.63333333,2,-4,-2.5,-0.4,-5,Amino Sugar,18.71512358,26.82931491,1.433563331,0.519605641,0.00438099,0.021443793,Upregulated,1154
Feature0186,"3-Hydroxy-4,5,6-trimethoxytetrahydro-2H-pyran-2-carboxamide",C9 H17 N O6,Phenols,235.10555,NA,"3-Hydroxy-4,5,6-trimethoxytetrahydro-2H-pyran-2-carboxamide",9,17,1,6,0,0,0,1.888888889,0.666666667,-0.222222222,66.63333333,2,-4,-2.5,-0.4,-5,Amino Sugar,18.71512358,24.8131224,1.325832677,0.406898716,0.005708431,0.03587833,Upregulated,1246
Feature0239,"3',4'-Dimethoxyacetophenone",C10 H12 O3,Phenols,180.07864,Metabolic pathways;Biosynthesis of secondary metabolites;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;Biosynthesis of various plant secondary metabolites;Other,"3',4'-Dimethoxyacetophenone",10,12,0,3,0,0,0,1.2,0.3,-0.6,77.4,5,2,0.285714286,0.411764706,2,Phenol,17.79901294,30.80326437,1.730616438,0.791286011,1.78E-06,4.96E-04,Upregulated,1154
Feature0072,Caffeic acid,C9 H8 O4,Phenols,180.04228,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;Biosynthesis of cofactors;2-Oxocarboxylic acid metabolism;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids;Degradation of aromatic compounds;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",Caffeic acid,9,8,0,4,0,0,0,0.888888889,0.444444444,0,60.3,6,2,0.4,0.571428571,2,Phenol,20.13988769,28.4412027,1.412182786,0.497926836,0.002091401,0.016005731,Upregulated,1154
Feature0253,methoxyresorcinol,C7 H8 O3,Phenols,140.04733,Microbial metabolism in diverse environments;Other,methoxyresorcinol-peak1,7,8,0,3,0,0,0,1.142857143,0.428571429,-0.285714286,68.44285714,4,1,0.25,0.454545455,1,Phenol,19.361214,24.12874587,1.24624137,0.317583515,0.002561062,0.017192919,Upregulated,1154
Feature0265,methoxyresorcinol,C7 H8 O3,Phenols,140.04735,Microbial metabolism in diverse environments;Other,methoxyresorcinol-peak2,7,8,0,3,0,0,0,1.142857143,0.428571429,-0.285714286,68.44285714,4,1,0.25,0.454545455,1,Phenol,19.35198911,30.47067799,1.574550183,0.654939739,4.29E-05,0.003818145,Upregulated,1246
Feature0190,(+)-Piperitol,C20 H20 O6,Phenols,356.12607,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of various plant secondary metabolites;Other,(+)-Piperitol-peak2,20,20,0,6,0,0,0,1,0.3,-0.4,71.7,11,5,0.357142857,0.470588235,5,Phenol,20.15791861,26.63563961,1.321348703,0.402011243,0.001176331,0.014265902,Upregulated,1246
Feature0177,(+)-Piperitol,C20 H20 O6,Proteins,356.12608,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of various plant secondary metabolites;Other,(+)-Piperitol-peak1,20,20,0,6,0,0,0,1,0.3,-0.4,71.7,11,5,0.357142857,0.470588235,5,Phenol,20.5671851,26.34843378,1.281090905,0.357372852,3.97E-04,0.007044985,Upregulated,1246
Feature0240,"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid",C22 H26 O7,Proteins,402.1679,NA,"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid-peak4",22,26,0,7,0,0,0,1.181818182,0.318181818,-0.545454545,75.84545455,10,3,0.2,0.351351351,3,Phenol,20.26724552,28.04525078,1.383772193,0.468606456,0.003888932,0.028552949,Upregulated,1246
Feature0188,"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid",C22 H26 O7,Proteins,402.16787,NA,"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid-peak3",22,26,0,7,0,0,0,1.181818182,0.318181818,-0.545454545,75.84545455,10,3,0.2,0.351351351,3,Phenol,20.143534,26.46328421,1.313735922,0.393675304,7.61E-04,0.010617921,Upregulated,1246
Feature0184,"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid",C22 H26 O7,Proteins,402.1679,NA,"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid-peak2",22,26,0,7,0,0,0,1.181818182,0.318181818,-0.545454545,75.84545455,10,3,0.2,0.351351351,3,Phenol,19.75955958,26.63592575,1.348001996,0.430822633,0.003232422,0.027890974,Upregulated,1246
Feature0197,DL-α-AMINOSUBERIC ACID,C8 H15 N O4,Proteins,189.10012,NA,DL-α-AMINOSUBERIC ACID-peak2,8,15,1,4,0,0,0,1.875,0.5,-0.5,74.55,2,-2,-1,-0.2,-3,Protein,20.21605485,26.94391969,1.332798109,0.414458259,2.26E-04,0.005735203,Upregulated,1246
