Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: Metabolika Search,Annot. Source: ChemSpider Search,Annot. DeltaMass [ppm],Calc. MW,RT [min],Area (Max.),MS2,Area: 2,Area: 10,Area: 14,Area: 19,Area: 40,Area: 41,Area: 46,Area: 47,Area: 57,Area: 59,Area: 60,Area: B,Group Area: CTRL1,Group Area: F1154_1,Group Area: F1177_1,Group Area: F1246_1,Group Area: CTRL2,Group Area: CTRL3,Group Area: F1154_2,Group Area: F1177_3,Group Area: F1246_2,Group Area: F1154_3,Group Area: F1246_3,Gap Fill Status: 2plus_RP_pos_MS2.raw (F14),Gap Fill Status: 10plus_RP_pos_MS2.raw (F15),Gap Fill Status: 14plus_RP_pos_MS2.raw (F16),Gap Fill Status: 19plus_RP_pos_MS2.raw (F17),Gap Fill Status: 40plus_RP_pos_MS2.raw (F19),Gap Fill Status: 41plus_RP_pos_MS2.raw (F20),Gap Fill Status: 46plus_RP_pos_MS2.raw (F21),Gap Fill Status: 47plus_RP_pos_MS2.raw (F22),Gap Fill Status: 57plus_RP_pos_MS2.raw (F23),Gap Fill Status: 59plus_RP_pos_MS2.raw (F24),Gap Fill Status: 60plus_RP_pos_MS2.raw (F25),Gap Fill Status: Bplus_RP_pos_MS2.raw (F26)
Betaine,C5 H11 N O2,Full match,Full match,Partial match,Partial match,-0.28,117.07895,1.185,2252386478,DDA for preferred ion,1932171556,1399168738,2002960831,2195957216,1922636748,2159050538,506181853.5,1849146123,2252386478,1274603634,1898401604,277672.4408,1932171556,1399168738,2002960831,2195957216,1922636748,2159050538,506181853.5,1849146123,2252386478,1274603634,1898401604,0,0,0,0,0,0,0,0,0,0,0,128
"N,N-dimethyl-5-nitro-6-[3-(trifluoromethyl)phenoxy]pyrimidin-4-amine",C13 H11 F3 N4 O3,No match,Full match,No results,Partial match,-3.63,328.07713,5.999,2226743846,DDA for preferred ion,1572517838,1137790.03,1069272.77,301392339.8,2211563477,2226743846,5620131.576,5995801.643,183072342.9,1746872.402,25401323.74,220677.6337,1572517838,1137790.03,1069272.77,301392339.8,2211563477,2226743846,5620131.576,5995801.643,183072342.9,1746872.402,25401323.74,16,128,128,0,0,0,16,16,128,128,16,32
,C30 H32 O10,Full match,No results,No results,Partial match,0.22,552.19967,19.155,2091823089,DDA for preferred ion,801339.7713,764300.7706,795643.4129,2091823089,1442045.221,802660.1892,849278.6099,828862.5083,1831460665,866730.3238,2085742045,1537081.377,801339.7713,764300.7706,795643.4129,2091823089,1442045.221,802660.1892,849278.6099,828862.5083,1831460665,866730.3238,2085742045,32,32,32,0,128,32,16,32,0,16,0,32
L-Phenylalanine,C9 H11 N O2,Full match,Full match,Full match,Partial match,0.18,165.07901,6.897,1801302787,DDA for preferred ion,1114276985,819605334.9,579010543.8,396138389,1096953852,1313901615,699857469.8,1801302787,189165072.4,41795883.55,3463392.157,345664.0812,1114276985,819605334.9,579010543.8,396138389,1096953852,1313901615,699857469.8,1801302787,189165072.4,41795883.55,3463392.157,0,0,0,0,0,0,0,0,0,16,16,16
"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,Full match,Full match,No results,Partial match,0.09,192.07866,19.374,1661935952,DDA for preferred ion,351486.3383,532220.9311,719590.199,1196298798,2351960.839,620492.3733,391500.384,967328.4151,1381709804,952632.6253,1661935952,664340.0482,351486.3383,532220.9311,719590.199,1196298798,2351960.839,620492.3733,391500.384,967328.4151,1381709804,952632.6253,1661935952,32,16,128,0,128,16,32,16,0,16,0,32
L-alpha-Glycerylphosphorylcholine,C8 H20 N O6 P,Full match,Invalid mass,No results,Partial match,0.02,257.10283,1.149,1632046153,DDA for preferred ion,1049806155,1488491986,1053173317,1513789617,958507404.1,980587971.8,861982582,755759749.2,1382905160,1632046153,836587745,29374.38688,1049806155,1488491986,1053173317,1513789617,958507404.1,980587971.8,861982582,755759749.2,1382905160,1632046153,836587745,0,0,0,0,0,0,0,0,0,0,0,32
"3,4-Dihydroxyphenylpropionic acid",C9 H10 O4,No match,Invalid mass,No match,Partial match,-98927.49,164.04738,19.382,1575127438,DDA for preferred ion,937711.1333,1052108.877,1350463.011,1196126733,2093212.156,1025457.594,1177252.409,1241697.493,1329197578,1964760.82,1575127438,1818750.644,937711.1333,1052108.877,1350463.011,1196126733,2093212.156,1025457.594,1177252.409,1241697.493,1329197578,1964760.82,1575127438,32,16,16,0,128,32,16,16,0,32,0,32
1-[(3-Carboxypropyl)amino]-1-deoxy-beta-D-fructofuranose,C10 H19 N O7,Full match,Invalid mass,No results,Partial match,-0.04,265.11614,1.247,1441632291,DDA for preferred ion,502369597.5,79698117.86,23169906.2,1441632291,555393728.8,536760591.2,26406342.01,33511708.23,1095664071,100516511.3,989159664.9,124542.1197,502369597.5,79698117.86,23169906.2,1441632291,555393728.8,536760591.2,26406342.01,33511708.23,1095664071,100516511.3,989159664.9,0,128,128,0,0,0,128,128,0,128,0,32
[Similar to: Trimethoprim impurity C; ΔMass: -48.0613 Da],C7 H10 N6 O5,Full match,Invalid mass,No results,Partial match,1.08,258.07155,2.642,1380141304,DDA for preferred ion,1197034751,583303239,918523151.3,1355948934,1239326695,1380141304,13620946.64,162809097.3,1129815271,432633712.3,69244509.53,81186.37517,1197034751,583303239,918523151.3,1355948934,1239326695,1380141304,13620946.64,162809097.3,1129815271,432633712.3,69244509.53,0,0,0,0,0,0,128,0,64,64,16,32
Adenosine,C10 H13 N5 O4,Full match,Full match,Full match,Partial match,-0.01,267.09675,6.068,1357108263,DDA for preferred ion,171950044,743269264,696101538.9,1175248996,155975869.1,188386905.4,616581587.1,1357108263,845637758.7,925647307.9,778356683.2,298650.9187,171950044,743269264,696101538.9,1175248996,155975869.1,188386905.4,616581587.1,1357108263,845637758.7,925647307.9,778356683.2,0,0,0,0,0,0,0,0,64,0,0,16
DL-Carbidopa,C10 H14 N2 O4,Full match,Not the top hit,Partial match,Partial match,-0.05,226.09535,7.55,1352782325,DDA for preferred ion,297245783.7,1160396533,1102901533,1099965706,274591234.6,338821654.6,881341428.1,1085665192,959430045.6,1352782325,803965985.4,325032.8326,297245783.7,1160396533,1102901533,1099965706,274591234.6,338821654.6,881341428.1,1085665192,959430045.6,1352782325,803965985.4,0,64,0,64,64,64,0,0,0,0,0,16
methoxyresorcinol,C7 H8 O3,Full match,Not the top hit,No results,Partial match,0.04,140.04735,9.955,1328496974,DDA for preferred ion,607373.5869,7443856.726,8146555.891,1328496974,2526197.608,1249161.622,7311472.835,4497777,1074745449,9697784.924,984328358.5,1430823.172,607373.5869,7443856.726,8146555.891,1328496974,2526197.608,1249161.622,7311472.835,4497777,1074745449,9697784.924,984328358.5,128,128,128,0,128,16,128,128,0,128,64,16
Choline,C5 H13 N O,Full match,Full match,No results,Partial match,-0.43,103.09967,1.052,1327208320,DDA for preferred ion,1258592902,730362497,770699118.2,346675206.1,1228856029,1327208320,822407853.3,1130348199,315737652.6,917177209.4,289742797.9,120683.6109,1258592902,730362497,770699118.2,346675206.1,1228856029,1327208320,822407853.3,1130348199,315737652.6,917177209.4,289742797.9,0,0,0,0,0,0,0,0,0,0,0,16
"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,Full match,Full match,No results,Partial match,0.09,192.07866,19.153,1261449757,DDA for preferred ion,801393.4383,593936.1114,693410.2379,1261449757,918919.0132,610581.8145,555218.437,624575.9897,1159624125,619974.5323,1247678745,372753.6115,801393.4383,593936.1114,693410.2379,1261449757,918919.0132,610581.8145,555218.437,624575.9897,1159624125,619974.5323,1247678745,16,16,128,0,128,16,16,16,0,128,0,32
"(2Z,4Z)-6-Amino-2,4-diimino-5-nitro-1,3(2H,4H)-pyrimidinediol",C4 H6 N6 O4,Full match,Invalid mass,No results,Partial match,1.62,202.04538,1.176,1225549314,DDA for preferred ion,936370582,20899907.46,56314297.06,1174255636,1043552246,1225549314,27101709.26,114314433.8,968451974,20115398.39,902632833.3,82519.46704,936370582,20899907.46,56314297.06,1174255636,1043552246,1225549314,27101709.26,114314433.8,968451974,20115398.39,902632833.3,0,128,0,0,0,0,128,64,0,128,0,32
"bis-beta-D-fructofuranose 1,2':2,3'-dianhydride",C12 H20 O10,Full match,Invalid mass,No results,Partial match,0.17,324.1057,1.304,1201971210,DDA for preferred ion,1194768561,21189835.21,28284200.5,233204001.3,1166139855,1201971210,7082328.398,35149096.47,196789414.2,18076606.81,161961985.2,134888.5386,1194768561,21189835.21,28284200.5,233204001.3,1166139855,1201971210,7082328.398,35149096.47,196789414.2,18076606.81,161961985.2,0,128,128,0,0,0,128,128,0,128,0,32
[Similar to: Trimethoprim impurity C; ΔMass: -48.0613 Da],C7 H10 N6 O5,Full match,Invalid mass,No results,Partial match,1.05,258.07154,2.614,1197034751,DDA for preferred ion,1197034751,35335005.85,28772267.29,108874521,74989262.49,75457611.17,13504795.97,162809097.3,1129815271,432633712.3,1035235575,74708.13434,1197034751,35335005.85,28772267.29,108874521,74989262.49,75457611.17,13504795.97,162809097.3,1129815271,432633712.3,1035235575,64,16,16,16,16,16,128,64,0,0,0,32
"(2Z,4Z)-6-Amino-2,4-diimino-5-nitro-1,3(2H,4H)-pyrimidinediol",C4 H6 N6 O4,Full match,Invalid mass,No results,Partial match,1.7,202.0454,1.149,1174255636,DDA for preferred ion,936370582,33444961.72,56314297.06,1174255636,16318640.89,75378457.08,28150637.32,114314433.8,968451974,12379023.18,751599852.9,65575.0982,936370582,33444961.72,56314297.06,1174255636,16318640.89,75378457.08,28150637.32,114314433.8,968451974,12379023.18,751599852.9,64,16,64,64,16,16,128,0,64,128,128,16
Adenosine,C10 H13 N5 O4,Full match,Full match,Full match,Partial match,0.01,267.09676,6.086,1152326006,DDA for preferred ion,7961141.119,647420268.7,613175222.5,1152326006,153407001.2,186051840.4,525758452.4,60441321.41,821615467.7,829545130.1,755940589.5,226883.2077,7961141.119,647420268.7,613175222.5,1152326006,153407001.2,186051840.4,525758452.4,60441321.41,821615467.7,829545130.1,755940589.5,16,64,64,64,64,64,64,16,0,64,64,16
L-Phenylalanine,C9 H11 N O2,Full match,Full match,Full match,Partial match,0.2,165.07901,6.845,1142999795,DDA for preferred ion,1026682426,17409160.39,17456322.75,11139449.51,26366795.5,36213510.01,14247310.04,40916233.77,201643473.8,1142999795,92529350.45,122254.9798,1026682426,17409160.39,17456322.75,11139449.51,26366795.5,36213510.01,14247310.04,40916233.77,201643473.8,1142999795,92529350.45,64,16,16,16,16,16,16,16,64,0,128,32
L-Glutamic acid,C5 H9 N O4,Full match,Full match,Full match,Partial match,0.16,147.05318,1.146,1141392480,DDA for preferred ion,566717837.7,431682611.9,319637014.3,1141392480,621356311.5,801787853.9,499661785.5,909900302,459571099.8,935112897.3,452181562.1,288352.2684,566717837.7,431682611.9,319637014.3,1141392480,621356311.5,801787853.9,499661785.5,909900302,459571099.8,935112897.3,452181562.1,0,0,0,0,0,0,0,0,0,0,0,16
L-Iditol,C6 H14 O6,Full match,Full match,Full match,Partial match,0.1,182.07906,1.174,1113135697,DDA for preferred ion,32725855.72,961964058.2,666561028.9,29896025.32,33395689.7,34603911.74,1029209088,1113135697,26513627.87,1025941581,29557190.36,163712.4014,32725855.72,961964058.2,666561028.9,29896025.32,33395689.7,34603911.74,1029209088,1113135697,26513627.87,1025941581,29557190.36,128,0,0,128,128,128,0,0,128,0,128,32
DL-Carbidopa,C10 H14 N2 O4,Full match,Invalid mass,Partial match,Partial match,-0.02,226.09535,7.57,1103562608,DDA for preferred ion,292953637.2,1103562608,1049543444,1049746355,273337567.2,342781123.4,845775223.3,1036922106,918893740.2,969406341.2,66918176.08,164948.3633,292953637.2,1103562608,1049543444,1049746355,273337567.2,342781123.4,845775223.3,1036922106,918893740.2,969406341.2,66918176.08,64,0,64,0,0,0,64,64,64,128,16,32
Isoleucine,C6 H13 N O2,Full match,Full match,Partial match,Partial match,-0.22,131.0946,3.916,1083152870,DDA for preferred ion,598472223,474245844.2,405734711,299405508.1,602726902.4,690581257.1,425204660.4,1083152870,3407404.451,9023292.215,1538905.937,238120.8703,598472223,474245844.2,405734711,299405508.1,602726902.4,690581257.1,425204660.4,1083152870,3407404.451,9023292.215,1538905.937,0,64,0,0,64,64,64,0,16,16,16,16
DL-Carnitine,C7 H15 N O3,Full match,Full match,No results,Partial match,0.19,161.10522,1.122,1060131791,DDA for preferred ion,9637438.535,1060131791,756974997.9,407891999.1,12893917.96,10665770.03,846557165.4,975636374.6,382768014.7,1057461702,383521723.6,155044.3168,9637438.535,1060131791,756974997.9,407891999.1,12893917.96,10665770.03,846557165.4,975636374.6,382768014.7,1057461702,383521723.6,128,0,0,0,128,128,0,0,0,0,0,16
3-hydroxy-3-methylpentanedioic acid,C6 H10 O5,No match,Invalid mass,No match,Partial match,105068.12,179.07941,1.192,1030719010,DDA for preferred ion,845474519.2,31223058.33,8982675.922,763356708.3,612272460,1030719010,33943450.28,9469996.915,672475183.5,3642068.643,554420680.8,307439.0263,845474519.2,31223058.33,8982675.922,763356708.3,612272460,1030719010,33943450.28,9469996.915,672475183.5,3642068.643,554420680.8,0,128,16,64,0,0,128,16,0,16,0,16
methoxyresorcinol,C7 H8 O3,Full match,Not the top hit,No results,Partial match,-0.07,140.04733,9.93,992563721,DDA for preferred ion,443566.3653,7149367.179,946833.7579,5470175.518,487064.383,1039333.518,6943650.926,4226971.12,992563721,9058681.838,902814352.8,1174860.685,443566.3653,7149367.179,946833.7579,5470175.518,487064.383,1039333.518,6943650.926,4226971.12,992563721,9058681.838,902814352.8,128,128,16,16,16,16,128,128,64,128,0,16
[Similar to: Butyryl trihexyl citrate; ΔMass: -305.2970 Da],C6 H11 N O7,Full match,Invalid mass,No results,Partial match,-0.15,209.05352,2.746,972581721.9,DDA for preferred ion,49274097.73,314124152.6,132865269.8,972581721.9,730045800.2,849257203.1,215515881.7,232727398.6,15268417.02,6469997.607,12226703.68,54741.69576,49274097.73,314124152.6,132865269.8,972581721.9,730045800.2,849257203.1,215515881.7,232727398.6,15268417.02,6469997.607,12226703.68,16,0,0,0,0,0,0,0,16,16,16,32
D-Raffinose,C18 H32 O16,No match,Invalid mass,No results,Partial match,33771.6,521.19563,1.405,921060009.8,DDA for preferred ion,829888624.8,53023447.66,75073781.2,336910396.5,886707231.9,921060009.8,32675189.23,58431042.33,284592928.8,48757032.99,219423312.7,44757.61906,829888624.8,53023447.66,75073781.2,336910396.5,886707231.9,921060009.8,32675189.23,58431042.33,284592928.8,48757032.99,219423312.7,0,128,0,0,0,0,128,0,0,128,0,32
Proline,C5 H9 N O2,Full match,Full match,Full match,Partial match,-0.43,115.06328,1.318,880947057.5,DDA for preferred ion,740088477.4,163866357.2,216613461.5,231194434.7,789911298.8,880947057.5,115747221.8,332545681,161004273.7,210962261.1,143259130.8,694260.1783,740088477.4,163866357.2,216613461.5,231194434.7,789911298.8,880947057.5,115747221.8,332545681,161004273.7,210962261.1,143259130.8,0,0,0,0,0,0,0,0,0,0,0,16
[Similar to: Butyryl trihexyl citrate; ΔMass: -305.2971 Da],C6 H11 N O7,Full match,Invalid mass,No results,Partial match,-0.17,209.05352,2.699,866289828,DDA for preferred ion,749589617,11854339.32,2811829.681,12166944.09,15543524.02,4447270.998,10758494.19,232727398.6,866289828,304101284,783591342,55290.92011,749589617,11854339.32,2811829.681,12166944.09,15543524.02,4447270.998,10758494.19,232727398.6,866289828,304101284,783591342,0,16,128,16,16,16,16,64,0,0,0,32
D-(+)-Maltose,C12 H22 O11,No match,Invalid mass,No results,Partial match,64252.78,364.09813,1.323,801581805.6,DDA for preferred ion,622403087.4,194864346.3,261739894.5,801581805.6,455178715.3,643759246.1,84430138.26,278036972.7,696283049.6,98423540.98,663026411.7,86543.51162,622403087.4,194864346.3,261739894.5,801581805.6,455178715.3,643759246.1,84430138.26,278036972.7,696283049.6,98423540.98,663026411.7,0,0,0,0,0,0,128,64,0,0,0,32
Isoleucine,C6 H13 N O2,Full match,Full match,Partial match,Partial match,-0.26,131.09459,3.837,703674377.3,DDA for preferred ion,7600391.705,5940583.052,5830159.615,18466774.96,10360246.38,2341905.89,4341702.137,36302479.41,179022694.6,703674377.3,74745432.45,268791.4194,7600391.705,5940583.052,5830159.615,18466774.96,10360246.38,2341905.89,4341702.137,36302479.41,179022694.6,703674377.3,74745432.45,16,16,16,16,16,16,16,16,0,0,128,16
D-(+)-Maltose,C12 H22 O11,No match,Invalid mass,No results,Partial match,64252.77,364.09812,1.285,696283049.6,DDA for preferred ion,162004363.6,194864346.3,261739894.5,487315456.9,184938267.1,184518363.7,42813952.69,278036972.7,696283049.6,98423540.98,663026411.7,47669.62553,162004363.6,194864346.3,261739894.5,487315456.9,184938267.1,184518363.7,42813952.69,278036972.7,696283049.6,98423540.98,663026411.7,128,64,64,128,0,128,128,0,64,64,64,32
[Similar to: AB-CHMINACA metabolite M7; ΔMass: 39.9895 Da],C16 H29 N O12,Full match,Invalid mass,No results,Partial match,-0.06,427.16895,1.362,692208180.5,DDA for preferred ion,610798677.3,3327969.6,1506661.206,207164729.6,594673898.4,692208180.5,1177663.394,1205314.139,86905356.03,553699.742,18786421.05,48777.22764,610798677.3,3327969.6,1506661.206,207164729.6,594673898.4,692208180.5,1177663.394,1205314.139,86905356.03,553699.742,18786421.05,0,128,16,0,0,0,16,16,128,16,128,32
Isoleucine,C6 H13 N O2,Full match,Full match,Partial match,Partial match,-0.23,131.0946,3.943,690581257.1,DDA for preferred ion,4546665.498,474245844.2,405734711,299405508.1,602726902.4,690581257.1,425204660.4,55822609.66,3455552.991,9184624.663,2486249.184,238769.0126,4546665.498,474245844.2,405734711,299405508.1,602726902.4,690581257.1,425204660.4,55822609.66,3455552.991,9184624.663,2486249.184,16,0,64,64,0,0,0,16,16,16,16,16
D-Raffinose,C18 H32 O16,No match,Invalid mass,No results,Partial match,43600.48,526.15105,1.798,682879586.9,DDA for preferred ion,682879586.9,20676761.69,23555949.08,249251777.9,534952063.8,568459554.2,13262398.24,15600981.52,240569261.2,20022408.8,205922072.6,134889.077,682879586.9,20676761.69,23555949.08,249251777.9,534952063.8,568459554.2,13262398.24,15600981.52,240569261.2,20022408.8,205922072.6,0,128,128,128,0,64,128,128,128,128,0,32
"N,N-dimethyl-5-nitro-6-[3-(trifluoromethyl)phenoxy]pyrimidin-4-amine",C13 H11 F3 N4 O3,No match,Full match,No results,Partial match,-3.63,328.07713,6.194,681278853.9,DDA for preferred ion,681278853.9,2344353.601,2536598.645,313713056.2,558584493.7,303832012.8,2938233.996,2323958.649,95118889.15,737212.9699,30694272.42,103191.7165,681278853.9,2344353.601,2536598.645,313713056.2,558584493.7,303832012.8,2938233.996,2323958.649,95118889.15,737212.9699,30694272.42,16,16,16,0,16,0,16,16,128,128,128,32
9-O-acetylneuraminic acid,C11 H19 N O9,Full match,Invalid mass,Partial match,Partial match,0.18,309.10604,1.291,673397169.7,DDA for preferred ion,666205960.7,19140262.85,16826752.25,107095154.1,652214042.3,673397169.7,12908791.92,74731583.16,94936641.07,6111356.069,76188487.63,110202.1724,666205960.7,19140262.85,16826752.25,107095154.1,652214042.3,673397169.7,12908791.92,74731583.16,94936641.07,6111356.069,76188487.63,64,128,128,128,0,0,128,128,128,16,128,32
NP-012042,C10 H12 O4,No match,Invalid mass,No results,Partial match,-91855.95,178.06304,20.081,663570575.3,DDA for preferred ion,276297.0394,392688.8788,835585.4382,663570575.3,1757139.291,293590.1838,390959.1116,240910.5832,355586128.3,343916.633,346038854.2,808497.5865,276297.0394,392688.8788,835585.4382,663570575.3,1757139.291,293590.1838,390959.1116,240910.5832,355586128.3,343916.633,346038854.2,32,16,16,0,128,32,16,32,0,16,0,32
methyl N-acetylneuraminate,C12 H21 N O9,Full match,Invalid mass,No results,Partial match,0.09,323.12166,6.036,656655264.7,DDA for preferred ion,24731475.28,2556722.699,3032337.27,17675422.11,513299765.1,656655264.7,1816746.104,3254953.797,6940221.478,2792272.641,3804967.468,324280.0591,24731475.28,2556722.699,3032337.27,17675422.11,513299765.1,656655264.7,1816746.104,3254953.797,6940221.478,2792272.641,3804967.468,16,16,16,16,128,0,16,16,16,16,16,32
DL-Tryptophan,C11 H12 N2 O2,No match,Invalid mass,No results,Partial match,-83426.74,187.06332,8.464,649995922.3,DDA for preferred ion,293535287.9,279421882.4,212577449.1,192938372.1,300458166.7,358218053.3,264416391.8,649995922.3,3257926.582,9674641.969,520217.6527,157964.9586,293535287.9,279421882.4,212577449.1,192938372.1,300458166.7,358218053.3,264416391.8,649995922.3,3257926.582,9674641.969,520217.6527,0,0,0,128,0,0,0,0,16,16,16,32
"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid",C22 H26 O7,Not the top hit,Full match,No results,Partial match,0.13,402.1679,19.618,633309591.3,DDA for preferred ion,256300.8884,262116.3609,580133.8115,633309591.3,1186209.35,262879.3887,290674.2275,292591.6259,562782673.9,255802.4188,620469719.7,480005.627,256300.8884,262116.3609,580133.8115,633309591.3,1186209.35,262879.3887,290674.2275,292591.6259,562782673.9,255802.4188,620469719.7,32,32,16,0,128,32,32,32,0,32,0,32
"3',4'-Dimethoxyacetophenone",C10 H12 O3,Full match,Full match,No results,Partial match,-0.05,180.07864,12.271,625563644.6,DDA for preferred ion,113926.1039,389306311.7,179447171,263123.0167,111289.2072,117131.0571,486749658.7,54040767.84,92938.88614,625563644.6,89458.14014,261838.6732,113926.1039,389306311.7,179447171,263123.0167,111289.2072,117131.0571,486749658.7,54040767.84,92938.88614,625563644.6,89458.14014,32,0,0,16,32,32,0,128,32,0,32,16
