Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: Metabolika Search,Annot. Source: ChemSpider Search,Annot. DeltaMass [ppm],Calc. MW,RT [min],Area (Max.),mzCloud Best Match,mzCloud Best Match Confidence,mzCloud Best Sim. Match,mzCloud Library Match: Autoprocessed,mzCloud Library Match: Reference,MS2,Area: 2,Area: 10,Area: 14,Area: 19,Area: 23,Area: 40,Area: 41,Area: 46,Area: 47,Area: 57,Area: 59,Area: 60,Area: B,Group Area: CTRL1,Group Area: F1154_1,Group Area: F1177_1,Group Area: F1246_1,Group Area: F1177_2,Group Area: CTRL2,Group Area: CTRL3,Group Area: F1154_2,Group Area: F1177_3,Group Area: F1246_2,Group Area: F1154_3,Group Area: F1246_3,Gap Fill Status: 2plus_RP_pos_MS2.raw (F14),Gap Fill Status: 10plus_RP_pos_MS2.raw (F15),Gap Fill Status: 14plus_RP_pos_MS2.raw (F16),Gap Fill Status: 19plus_RP_pos_MS2.raw (F17),Gap Fill Status: 23plus_RP_pos_MS2.raw (F18),Gap Fill Status: 40plus_RP_pos_MS2.raw (F19),Gap Fill Status: 41plus_RP_pos_MS2.raw (F20),Gap Fill Status: 46plus_RP_pos_MS2.raw (F21),Gap Fill Status: 47plus_RP_pos_MS2.raw (F22),Gap Fill Status: 57plus_RP_pos_MS2.raw (F23),Gap Fill Status: 59plus_RP_pos_MS2.raw (F24),Gap Fill Status: 60plus_RP_pos_MS2.raw (F25),Gap Fill Status: Bplus_RP_pos_MS2.raw (F26)
Betaine,C5 H11 N O2,Full match,Full match,Partial match,Partial match,-0.28,117.07895,1.185,2252386478,99.4,10,97,Multiple matches found,Multiple matches found,DDA for preferred ion,1932171556,1399168738,2002960831,2195957216,372689542.6,1922636748,2159050538,506181853.5,1849146123,2252386478,1274603634,1898401604,277672.4408,1932171556,1399168738,2002960831,2195957216,372689542.6,1922636748,2159050538,506181853.5,1849146123,2252386478,1274603634,1898401604,0,0,0,0,0,0,0,0,0,0,0,0,128
"N,N-dimethyl-5-nitro-6-[3-(trifluoromethyl)phenoxy]pyrimidin-4-amine",C13 H11 F3 N4 O3,No match,Full match,No results,No match,-3.63,328.07713,5.999,2226743846,76.4,8.8,91.7,Multiple matches found,Multiple matches found,DDA for preferred ion,1572517838,1137790.03,1069272.77,301392339.8,202430.2694,2211563477,2226743846,5620131.576,5995801.643,183072342.9,1746872.402,25401323.74,220677.6337,1572517838,1137790.03,1069272.77,301392339.8,202430.2694,2211563477,2226743846,5620131.576,5995801.643,183072342.9,1746872.402,25401323.74,16,128,128,0,16,0,0,16,16,128,128,16,32
,C30 H32 O10,Full match,No results,No results,No match,0.22,552.19967,19.155,2091823089,,,,No matches found,No matches found,DDA for preferred ion,805509.1262,768277.4123,799783.1297,2091823089,799178.472,1446382.912,806836.4141,853498.0929,833131.6292,1831880232,870619.2174,2085742045,1545078.781,805509.1262,768277.4123,799783.1297,2091823089,799178.472,1446382.912,806836.4141,853498.0929,833131.6292,1831880232,870619.2174,2085742045,32,32,32,0,32,128,32,16,32,0,16,0,32
L-Phenylalanine,C9 H11 N O2,Full match,Full match,Full match,Full match,0.19,165.07901,6.897,1801302787,98.1,82.4,97.2,Multiple matches found,Multiple matches found,DDA for preferred ion,1112107575,819605334.9,579010543.8,396138389,14621775.88,1096953852,1312459322,699857469.8,1801302787,189118774.2,41563789.98,3237259.529,342698.6654,1112107575,819605334.9,579010543.8,396138389,14621775.88,1096953852,1312459322,699857469.8,1801302787,189118774.2,41563789.98,3237259.529,0,0,0,0,128,0,0,0,0,0,16,16,16
"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,Full match,Full match,No results,Full match,0.09,192.07866,19.374,1661935952,73,70.1,98.6,Multiple matches found,Multiple matches found,DDA for preferred ion,351486.3383,532220.9311,719590.199,1196298798,515743.5294,2351960.839,620492.3733,391500.384,967328.4151,1381709804,952632.6253,1661935952,664340.0482,351486.3383,532220.9311,719590.199,1196298798,515743.5294,2351960.839,620492.3733,391500.384,967328.4151,1381709804,952632.6253,1661935952,32,16,128,0,16,128,16,32,16,0,16,0,32
L-alpha-Glycerylphosphorylcholine,C8 H20 N O6 P,Full match,Invalid mass,No results,Full match,0.02,257.10283,1.149,1632046153,,,75.1,Multiple matches found,Single match found,DDA for preferred ion,1049806155,1488491986,1053173317,1513789617,81659195.34,958507404.1,980587971.8,861982582,755759749.2,1382905160,1632046153,836587745,29374.38688,1049806155,1488491986,1053173317,1513789617,81659195.34,958507404.1,980587971.8,861982582,755759749.2,1382905160,1632046153,836587745,0,0,0,0,0,0,0,0,0,0,0,0,32
"3,4-Dihydroxyphenylpropionic acid",C9 H10 O4,No match,Invalid mass,No match,No match,-98927.48,164.04738,19.382,1575127438,80.5,9,99.2,Multiple matches found,Multiple matches found,DDA for preferred ion,973469.815,1186286.123,1385557.284,1186657324,1036752.873,2131221.399,1064934.493,1215954.303,1280370.483,1326629405,2029825.391,1575127438,1988408.624,973469.815,1186286.123,1385557.284,1186657324,1036752.873,2131221.399,1064934.493,1215954.303,1280370.483,1326629405,2029825.391,1575127438,32,16,16,0,32,128,32,16,16,0,32,0,32
1-[(3-Carboxypropyl)amino]-1-deoxy-beta-D-fructofuranose,C10 H19 N O7,Full match,Invalid mass,No results,Full match,-0.04,265.11614,1.247,1441632291,,,74.9,Single match found,Multiple matches found,DDA for preferred ion,502369597.5,79698117.86,23169906.2,1441632291,161067.2984,555393728.8,536760591.2,26406342.01,33511708.23,1095664071,100516511.3,989159664.9,124542.1197,502369597.5,79698117.86,23169906.2,1441632291,161067.2984,555393728.8,536760591.2,26406342.01,33511708.23,1095664071,100516511.3,989159664.9,0,128,128,0,16,0,0,128,128,0,128,0,32
[Similar to: Trimethoprim impurity C; ΔMass: -48.0613 Da],C7 H10 N6 O5,Full match,Invalid mass,No results,No results,1.08,258.07155,2.642,1380141304,,,99.6,No matches found,Multiple matches found,DDA for preferred ion,1197034751,583303239,918523151.3,1355948934,27720406.34,1239326695,1380141304,13620946.64,162809097.3,1129815271,432633712.3,69244509.53,81186.37517,1197034751,583303239,918523151.3,1355948934,27720406.34,1239326695,1380141304,13620946.64,162809097.3,1129815271,432633712.3,69244509.53,0,0,0,0,128,0,0,128,0,64,64,16,32
Adenosine,C10 H13 N5 O4,Full match,Full match,Full match,Full match,-0.01,267.09675,6.068,1357108263,99.9,10,98,Multiple matches found,Multiple matches found,DDA for preferred ion,171942307.1,743269264,695452045,1175248996,35713865.92,155975869.1,188386905.4,615946527.3,1357108263,845601876.1,926640603.2,778300465.2,296606.4708,171942307.1,743269264,695452045,1175248996,35713865.92,155975869.1,188386905.4,615946527.3,1357108263,845601876.1,926640603.2,778300465.2,0,0,0,0,128,0,0,0,0,64,0,0,16
DL-Carbidopa,C10 H14 N2 O4,Full match,Not the top hit,Partial match,Full match,-0.05,226.09535,7.55,1352782325,,,91.9,Multiple matches found,Multiple matches found,DDA for preferred ion,297245783.7,1160396533,1102901533,1099965706,25368980.01,274591234.6,338821654.6,881341428.1,1085665192,959430045.6,1352782325,803965985.4,325032.8326,297245783.7,1160396533,1102901533,1099965706,25368980.01,274591234.6,338821654.6,881341428.1,1085665192,959430045.6,1352782325,803965985.4,0,64,0,64,128,64,64,0,0,0,0,0,16
Choline,C5 H13 N O,Full match,Full match,No results,Partial match,-0.43,103.09967,1.052,1327208320,99.6,10,66.5,Multiple matches found,Multiple matches found,DDA for preferred ion,1258592902,730362497,770699118.2,346675206.1,31557910.65,1228856029,1327208320,822407853.3,1130348199,315737652.6,917177209.4,289742797.9,120683.6109,1258592902,730362497,770699118.2,346675206.1,31557910.65,1228856029,1327208320,822407853.3,1130348199,315737652.6,917177209.4,289742797.9,0,0,0,0,128,0,0,0,0,0,0,0,16
"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,Full match,Full match,No results,Full match,0.09,192.07866,19.153,1261449757,72.8,70,97.4,Multiple matches found,Multiple matches found,DDA for preferred ion,801393.4383,593936.1114,693410.2379,1261449757,398035.4559,918919.0132,610581.8145,555218.437,624575.9897,1159624125,619974.5323,1247678745,372753.6115,801393.4383,593936.1114,693410.2379,1261449757,398035.4559,918919.0132,610581.8145,555218.437,624575.9897,1159624125,619974.5323,1247678745,16,16,128,0,16,128,16,16,16,0,128,0,32
"(2Z,4Z)-6-Amino-2,4-diimino-5-nitro-1,3(2H,4H)-pyrimidinediol",C4 H6 N6 O4,Full match,Invalid mass,No results,Full match,1.62,202.04538,1.176,1225549314,,,98.1,Multiple matches found,Multiple matches found,DDA for preferred ion,936370582,20899907.46,56314297.06,1174255636,23621661.31,1043552246,1225549314,27101709.26,114314433.8,968451974,20115398.39,902632833.3,82519.46704,936370582,20899907.46,56314297.06,1174255636,23621661.31,1043552246,1225549314,27101709.26,114314433.8,968451974,20115398.39,902632833.3,0,128,0,0,128,0,0,128,64,0,128,0,32
methoxyresorcinol,C7 H8 O3,Full match,Not the top hit,No results,Full match,0.04,140.04735,9.955,1221573846,,,97.1,Multiple matches found,Multiple matches found,DDA for preferred ion,467172.6015,7243034.17,7918120.141,1221573846,946286.5605,2398042.766,1101712.527,7138189.226,4362509.205,992563721,9401036.072,902814352.8,1305817.569,467172.6015,7243034.17,7918120.141,1221573846,946286.5605,2398042.766,1101712.527,7138189.226,4362509.205,992563721,9401036.072,902814352.8,128,128,128,0,16,128,16,128,128,0,128,64,16
"bis-beta-D-fructofuranose 1,2':2,3'-dianhydride",C12 H20 O10,Full match,Invalid mass,No results,Full match,0.17,324.1057,1.304,1201971210,,,97.9,Multiple matches found,Multiple matches found,DDA for preferred ion,1194768561,21189835.21,28284200.5,233204001.3,309227.095,1166139855,1201971210,7082328.398,35149096.47,196789414.2,18076606.81,161961985.2,134888.5386,1194768561,21189835.21,28284200.5,233204001.3,309227.095,1166139855,1201971210,7082328.398,35149096.47,196789414.2,18076606.81,161961985.2,0,128,128,0,128,0,0,128,128,0,128,0,32
[Similar to: Trimethoprim impurity C; ΔMass: -48.0613 Da],C7 H10 N6 O5,Full match,Invalid mass,No results,No results,1.05,258.07154,2.614,1197034751,,,99.8,No matches found,Multiple matches found,DDA for preferred ion,1197034751,35335005.85,28772267.29,108874521,1367269.756,74989262.49,75457611.17,13504795.97,162809097.3,1129815271,432633712.3,1035235575,74708.13434,1197034751,35335005.85,28772267.29,108874521,1367269.756,74989262.49,75457611.17,13504795.97,162809097.3,1129815271,432633712.3,1035235575,64,16,16,16,16,16,16,128,64,0,0,0,32
"(2Z,4Z)-6-Amino-2,4-diimino-5-nitro-1,3(2H,4H)-pyrimidinediol",C4 H6 N6 O4,Full match,Invalid mass,No results,Full match,1.7,202.0454,1.149,1174255636,,,79.5,Multiple matches found,Multiple matches found,DDA for preferred ion,936370582,33444961.72,56314297.06,1174255636,22832234.73,16318640.89,75378457.08,28150637.32,114314433.8,968451974,12379023.18,751599852.9,65575.0982,936370582,33444961.72,56314297.06,1174255636,22832234.73,16318640.89,75378457.08,28150637.32,114314433.8,968451974,12379023.18,751599852.9,64,16,64,64,128,16,16,128,0,64,128,128,16
Adenosine,C10 H13 N5 O4,Full match,Full match,Full match,Full match,0.01,267.09676,6.086,1152326006,99.9,10,95.9,Multiple matches found,Multiple matches found,DDA for preferred ion,7961141.119,647420268.7,613175222.5,1152326006,26530358.61,153407001.2,186051840.4,525758452.4,60441321.41,821615467.7,829545130.1,755940589.5,226883.2077,7961141.119,647420268.7,613175222.5,1152326006,26530358.61,153407001.2,186051840.4,525758452.4,60441321.41,821615467.7,829545130.1,755940589.5,16,64,64,64,128,64,64,64,16,0,64,64,16
L-Glutamic acid,C5 H9 N O4,Full match,Full match,Full match,Full match,0.15,147.05318,1.146,1127590072,98.7,94.8,82.1,Multiple matches found,Single match found,DDA for preferred ion,691095638,409774695.7,257300014,1127590072,5625391.279,580973501.7,729330770.9,496292252.3,904957484.4,282799981.8,930922252.7,429651963,237188.9148,691095638,409774695.7,257300014,1127590072,5625391.279,580973501.7,729330770.9,496292252.3,904957484.4,282799981.8,930922252.7,429651963,0,0,0,0,128,0,0,0,0,0,0,0,16
L-Iditol,C6 H14 O6,Full match,Full match,Full match,Full match,0.1,182.07906,1.174,1113135697,88.9,81.6,78.9,Multiple matches found,Single match found,DDA for preferred ion,32727186.22,961964058.2,669024339.9,29897049.35,40389839.45,33396702.23,34603911.74,1029209088,1113135697,26514089.47,1025941581,29558284.01,163733.2807,32727186.22,961964058.2,669024339.9,29897049.35,40389839.45,33396702.23,34603911.74,1029209088,1113135697,26514089.47,1025941581,29558284.01,128,0,0,128,128,128,128,0,0,128,0,128,32
DL-Carbidopa,C10 H14 N2 O4,Full match,Invalid mass,Partial match,Full match,-0.02,226.09535,7.57,1103562608,,,91.5,Multiple matches found,Multiple matches found,DDA for preferred ion,292953637.2,1103562608,1049543444,1049746355,24661990.95,273337567.2,342781123.4,845775223.3,1036922106,918893740.2,969406341.2,66918176.08,164948.3633,292953637.2,1103562608,1049543444,1049746355,24661990.95,273337567.2,342781123.4,845775223.3,1036922106,918893740.2,969406341.2,66918176.08,64,0,64,0,128,0,0,64,64,64,128,16,32
Isoleucine,C6 H13 N O2,Full match,Full match,Partial match,Not the top hit,-0.22,131.0946,3.916,1083152870,99.7,10,97.1,Multiple matches found,Multiple matches found,DDA for preferred ion,598472223,474245844.2,405734711,299405508.1,11336133.44,602726902.4,690581257.1,425204660.4,1083152870,3407404.451,9023292.215,1538905.937,238120.8703,598472223,474245844.2,405734711,299405508.1,11336133.44,602726902.4,690581257.1,425204660.4,1083152870,3407404.451,9023292.215,1538905.937,0,64,0,0,128,64,64,64,0,16,16,16,16
DL-Carnitine,C7 H15 N O3,Full match,Full match,No results,Full match,0.19,161.10522,1.122,1060131791,99.4,92.5,,No matches found,Multiple matches found,DDA for preferred ion,9637438.535,1060131791,756974997.9,407891999.1,32653077.9,12893917.96,10665770.03,846557165.4,975636374.6,382768014.7,1057461702,383521723.6,155044.3168,9637438.535,1060131791,756974997.9,407891999.1,32653077.9,12893917.96,10665770.03,846557165.4,975636374.6,382768014.7,1057461702,383521723.6,128,0,0,0,128,128,128,0,0,0,0,0,16
L-Phenylalanine,C9 H11 N O2,Full match,Full match,Full match,Full match,0.2,165.07901,6.845,1057793180,97.9,81.7,96,Multiple matches found,Multiple matches found,DDA for preferred ion,1024324977,14689081.7,14706793.74,10084112.35,495592.7184,25333346.9,35815190.29,12607341.95,38968203.19,188305872.5,1057793180,86812314.77,61679.73469,1024324977,14689081.7,14706793.74,10084112.35,495592.7184,25333346.9,35815190.29,12607341.95,38968203.19,188305872.5,1057793180,86812314.77,64,16,16,16,16,16,16,16,16,64,0,128,32
3-hydroxy-3-methylpentanedioic acid,C6 H10 O5,No match,Invalid mass,No match,No match,105068.12,179.07941,1.192,1030719010,63.7,66.1,96.4,Multiple matches found,Multiple matches found,DDA for preferred ion,845474519.2,31223058.33,8982675.922,763356708.3,3451434.733,612272460,1030719010,33943450.28,9469996.915,672475183.5,3642068.643,554420680.8,307439.0263,845474519.2,31223058.33,8982675.922,763356708.3,3451434.733,612272460,1030719010,33943450.28,9469996.915,672475183.5,3642068.643,554420680.8,0,128,16,64,128,0,0,128,16,0,16,0,16
methoxyresorcinol,C7 H8 O3,Full match,Not the top hit,No results,Full match,-0.07,140.04733,9.93,992563721,,,97.3,Multiple matches found,Multiple matches found,DDA for preferred ion,443566.3653,7149367.179,946833.7579,5470175.518,720730.843,487064.383,1039333.518,6943650.926,4226971.12,992563721,9058681.838,902814352.8,1174860.685,443566.3653,7149367.179,946833.7579,5470175.518,720730.843,487064.383,1039333.518,6943650.926,4226971.12,992563721,9058681.838,902814352.8,128,128,16,16,16,16,16,128,128,64,128,0,16
[Similar to: Butyryl trihexyl citrate; ΔMass: -305.2970 Da],C6 H11 N O7,Full match,Invalid mass,No results,No results,-0.15,209.05352,2.746,972581721.9,,,80.8,Multiple matches found,Multiple matches found,DDA for preferred ion,49274097.73,314124152.6,132865269.8,972581721.9,749333.6831,730045800.2,849257203.1,215515881.7,232727398.6,15268417.02,6469997.607,12226703.68,54741.69576,49274097.73,314124152.6,132865269.8,972581721.9,749333.6831,730045800.2,849257203.1,215515881.7,232727398.6,15268417.02,6469997.607,12226703.68,16,0,0,0,128,0,0,0,0,16,16,16,32
D-Raffinose,C18 H32 O16,No match,Invalid mass,No results,No results,33771.6,521.19563,1.405,968912721.3,74.6,54.3,94.4,Multiple matches found,Multiple matches found,DDA for preferred ion,871622601.5,56067471.92,78394398.38,345353109.4,342490.8532,938281418.5,968912721.3,35316331.92,54562242.3,292011705.2,52104201.7,226437253.1,74565.02535,871622601.5,56067471.92,78394398.38,345353109.4,342490.8532,938281418.5,968912721.3,35316331.92,54562242.3,292011705.2,52104201.7,226437253.1,0,128,0,0,128,0,0,128,128,0,128,0,32
Proline,C5 H9 N O2,Full match,Full match,Full match,Full match,-0.43,115.06328,1.318,880947057.5,99.9,10,99.6,Multiple matches found,Multiple matches found,DDA for preferred ion,740088477.4,163866357.2,216613461.5,231194434.7,10666785.78,789911298.8,880947057.5,115747221.8,332545681,161004273.7,210962261.1,143259130.8,694260.1783,740088477.4,163866357.2,216613461.5,231194434.7,10666785.78,789911298.8,880947057.5,115747221.8,332545681,161004273.7,210962261.1,143259130.8,0,0,0,0,128,0,0,0,0,0,0,0,16
[Similar to: Butyryl trihexyl citrate; ΔMass: -305.2971 Da],C6 H11 N O7,Full match,Invalid mass,No results,No results,-0.17,209.05352,2.699,866289828,,,81.9,Multiple matches found,Multiple matches found,DDA for preferred ion,749589617,11854339.32,2811829.681,12166944.09,122960.6145,15543524.02,4447270.998,10758494.19,232727398.6,866289828,304101284,783591342,55290.92011,749589617,11854339.32,2811829.681,12166944.09,122960.6145,15543524.02,4447270.998,10758494.19,232727398.6,866289828,304101284,783591342,0,16,128,16,16,16,16,16,64,0,0,0,32
D-(+)-Maltose,C12 H22 O11,No match,Invalid mass,No results,No results,64252.78,364.09813,1.323,801581805.6,100,10,,Multiple matches found,Multiple matches found,DDA for preferred ion,622403087.4,194864346.3,261739894.5,801581805.6,9351023.692,455178715.3,643759246.1,84430138.26,278036972.7,696283049.6,98423540.98,663026411.7,86543.51162,622403087.4,194864346.3,261739894.5,801581805.6,9351023.692,455178715.3,643759246.1,84430138.26,278036972.7,696283049.6,98423540.98,663026411.7,0,0,0,0,128,0,0,128,64,0,0,0,32
Isoleucine,C6 H13 N O2,Full match,Full match,Partial match,Not the top hit,-0.26,131.09459,3.837,703674377.3,99.8,10,97.5,Multiple matches found,Multiple matches found,DDA for preferred ion,7600391.705,5940583.052,5830159.615,18466774.96,258789.9963,10360246.38,2341905.89,4341702.137,36302479.41,179022694.6,703674377.3,74745432.45,268791.4194,7600391.705,5940583.052,5830159.615,18466774.96,258789.9963,10360246.38,2341905.89,4341702.137,36302479.41,179022694.6,703674377.3,74745432.45,16,16,16,16,16,16,16,16,16,0,0,128,16
D-(+)-Maltose,C12 H22 O11,No match,Invalid mass,No results,No results,64252.77,364.09812,1.285,696283049.6,99.8,10,,Multiple matches found,Multiple matches found,DDA for preferred ion,162004363.6,194864346.3,261739894.5,487315456.9,6010320.419,184938267.1,184518363.7,42813952.69,278036972.7,696283049.6,98423540.98,663026411.7,47669.62553,162004363.6,194864346.3,261739894.5,487315456.9,6010320.419,184938267.1,184518363.7,42813952.69,278036972.7,696283049.6,98423540.98,663026411.7,128,64,64,128,128,0,128,128,0,64,64,64,32
[Similar to: AB-CHMINACA metabolite M7; ΔMass: 39.9895 Da],C16 H29 N O12,Full match,Invalid mass,No results,No results,-0.06,427.16895,1.362,692208180.5,,,68.3,No matches found,Multiple matches found,DDA for preferred ion,610798677.3,3327969.6,1506661.206,207164729.6,27301.39302,594673898.4,692208180.5,1177663.394,1205314.139,86905356.03,553699.742,18786421.05,48777.22764,610798677.3,3327969.6,1506661.206,207164729.6,27301.39302,594673898.4,692208180.5,1177663.394,1205314.139,86905356.03,553699.742,18786421.05,0,128,16,0,32,0,0,16,16,128,16,128,32
Isoleucine,C6 H13 N O2,Full match,Full match,Partial match,Not the top hit,-0.23,131.0946,3.943,690581257.1,99.8,10,96.7,Multiple matches found,Multiple matches found,DDA for preferred ion,4546665.498,474245844.2,405734711,299405508.1,11331703.31,602726902.4,690581257.1,425204660.4,55822609.66,3455552.991,9184624.663,2486249.184,238769.0126,4546665.498,474245844.2,405734711,299405508.1,11331703.31,602726902.4,690581257.1,425204660.4,55822609.66,3455552.991,9184624.663,2486249.184,16,0,64,64,128,0,0,0,16,16,16,16,16
