FeatureID,Name,KEGGPathways,Comment,isolate
Feature0216,L-Glutamine,Other,Upregulated,1154
Feature0210,[Similar to: NP-015005; ΔMass: -441.3129 Da],NA,Downregulated,1154
Feature0200,"pentane-1,2,3,4,5-pentol",Metabolic pathways,Upregulated,1154
Feature0200,"pentane-1,2,3,4,5-pentol",ABC transporters,Upregulated,1154
Feature0200,"pentane-1,2,3,4,5-pentol",Other,Upregulated,1154
Feature0186,"3-Hydroxy-4,5,6-trimethoxytetrahydro-2H-pyran-2-carboxamide",NA,Upregulated,1154
Feature0141,4-Phenylbutyric acid,Metabolic pathways,Upregulated,1154
Feature0141,4-Phenylbutyric acid,Microbial metabolism in diverse environments,Upregulated,1154
Feature0141,4-Phenylbutyric acid,Phenylpropanoid biosynthesis,Upregulated,1154
Feature0141,4-Phenylbutyric acid,Degradation of aromatic compounds,Upregulated,1154
Feature0141,4-Phenylbutyric acid,Other,Upregulated,1154
Feature0138,Adipic acid,Metabolic pathways,Upregulated,1154
Feature0138,Adipic acid,Biosynthesis of secondary metabolites,Upregulated,1154
Feature0138,Adipic acid,Microbial metabolism in diverse environments,Upregulated,1154
Feature0138,Adipic acid,Biosynthesis of amino acids,Upregulated,1154
Feature0138,Adipic acid,Biosynthesis of cofactors,Upregulated,1154
Feature0138,Adipic acid,2-Oxocarboxylic acid metabolism,Upregulated,1154
Feature0138,Adipic acid,Degradation of aromatic compounds,Upregulated,1154
Feature0138,Adipic acid,Other,Upregulated,1154
Feature0133,methyl N-acetylneuraminate,NA,Downregulated,1154
Feature0089,[Similar to: NP-017684; ΔMass: -74.2514 Da],NA,Downregulated,1154
Feature0077,NP-016455,NA,Downregulated,1154
Feature0073,"1-(2-Furyl)-1,2-ethanediol",Metabolic pathways,Upregulated,1154
Feature0073,"1-(2-Furyl)-1,2-ethanediol",Microbial metabolism in diverse environments,Upregulated,1154
Feature0073,"1-(2-Furyl)-1,2-ethanediol",Degradation of aromatic compounds,Upregulated,1154
Feature0073,"1-(2-Furyl)-1,2-ethanediol",Other,Upregulated,1154
Feature0072,Caffeic acid,Metabolic pathways,Upregulated,1154
Feature0072,Caffeic acid,Biosynthesis of secondary metabolites,Upregulated,1154
Feature0072,Caffeic acid,Microbial metabolism in diverse environments,Upregulated,1154
Feature0072,Caffeic acid,Biosynthesis of amino acids,Upregulated,1154
Feature0072,Caffeic acid,Biosynthesis of plant secondary metabolites,Upregulated,1154
Feature0072,Caffeic acid,Biosynthesis of cofactors,Upregulated,1154
Feature0072,Caffeic acid,2-Oxocarboxylic acid metabolism,Upregulated,1154
Feature0072,Caffeic acid,Phenylpropanoid biosynthesis,Upregulated,1154
Feature0072,Caffeic acid,Biosynthesis of phenylpropanoids,Upregulated,1154
Feature0072,Caffeic acid,Degradation of aromatic compounds,Upregulated,1154
Feature0072,Caffeic acid,"Phenylalanine, tyrosine and tryptophan biosynthesis",Upregulated,1154
Feature0072,Caffeic acid,Other,Upregulated,1154
Feature0053,"beta-D-Galactopyranosyl-(1->4)-3,6-anhydro-alpha-L-galactopyranosyl-(1->3)-beta-D-galactopyranose",Metabolic pathways,Downregulated,1154
Feature0053,"beta-D-Galactopyranosyl-(1->4)-3,6-anhydro-alpha-L-galactopyranosyl-(1->3)-beta-D-galactopyranose",ABC transporters,Downregulated,1154
Feature0053,"beta-D-Galactopyranosyl-(1->4)-3,6-anhydro-alpha-L-galactopyranosyl-(1->3)-beta-D-galactopyranose",Other,Downregulated,1154
Feature0047,Butyl glyoxylate,Metabolic pathways,Upregulated,1154
Feature0047,Butyl glyoxylate,Biosynthesis of secondary metabolites,Upregulated,1154
Feature0047,Butyl glyoxylate,Microbial metabolism in diverse environments,Upregulated,1154
Feature0047,Butyl glyoxylate,Biosynthesis of amino acids,Upregulated,1154
Feature0047,Butyl glyoxylate,2-Oxocarboxylic acid metabolism,Upregulated,1154
Feature0047,Butyl glyoxylate,Degradation of aromatic compounds,Upregulated,1154
Feature0047,Butyl glyoxylate,Other,Upregulated,1154
Feature0040,3-O-(2-Acetamido-2-deoxy-beta-D-glucopyranosyl)-D-galactitol,NA,Downregulated,1154
Feature0031,pro-his,NA,Upregulated,1154
Feature0022,"2-[9-(Hydroxyimino)-3,6-diazatricyclo[4.3.1.1~3,8~]undec-1-yl]ethyl acetate",NA,Upregulated,1154
Feature0019,RV0540000,NA,Upregulated,1154
Feature0012,[Similar to: 4-[4-chloro-2-nitro-5-(1H-pyrrol-1-yl)phenyl]morpholine; ΔMass: 182.0794 Da],NA,Downregulated,1154
Feature0011,[Similar to: Dimethyl phosphate; ΔMass: 60.0212 Da],NA,Upregulated,1154
Feature0004,Tiglic acid,NA,Upregulated,1154
Feature0252,DL-Carnitine,Other,Upregulated,1177
Feature0248,[Similar to: AB-CHMINACA metabolite M7; ΔMass: 39.9895 Da],NA,Downregulated,1177
Feature0216,L-Glutamine,Metabolic pathways,Upregulated,1177
Feature0216,L-Glutamine,Microbial metabolism in diverse environments,Upregulated,1177
Feature0216,L-Glutamine,Biosynthesis of amino acids,Upregulated,1177
Feature0216,L-Glutamine,Biosynthesis of plant secondary metabolites,Upregulated,1177
Feature0216,L-Glutamine,ABC transporters,Upregulated,1177
Feature0216,L-Glutamine,Biosynthesis of cofactors,Upregulated,1177
Feature0216,L-Glutamine,Protein digestion and absorption,Upregulated,1177
Feature0216,L-Glutamine,Central carbon metabolism in cancer,Upregulated,1177
Feature0216,L-Glutamine,D-Amino acid metabolism,Upregulated,1177
Feature0216,L-Glutamine,Aminoacyl-tRNA biosynthesis,Upregulated,1177
Feature0216,L-Glutamine,Other,Upregulated,1177
Feature0213,NP-019445,Metabolic pathways,Upregulated,1177
Feature0213,NP-019445,Biosynthesis of secondary metabolites,Upregulated,1177
Feature0213,NP-019445,Phenylpropanoid biosynthesis,Upregulated,1177
Feature0213,NP-019445,Biosynthesis of phenylpropanoids,Upregulated,1177
Feature0210,[Similar to: NP-015005; ΔMass: -441.3129 Da],NA,Downregulated,1177
Feature0200,"pentane-1,2,3,4,5-pentol",Metabolic pathways,Upregulated,1177
Feature0200,"pentane-1,2,3,4,5-pentol",ABC transporters,Upregulated,1177
Feature0200,"pentane-1,2,3,4,5-pentol",Other,Upregulated,1177
Feature0174,Penicillic acid,Metabolic pathways,Upregulated,1177
Feature0174,Penicillic acid,Microbial metabolism in diverse environments,Upregulated,1177
Feature0174,Penicillic acid,Degradation of aromatic compounds,Upregulated,1177
Feature0174,Penicillic acid,Other,Upregulated,1177
Feature0138,Adipic acid,Metabolic pathways,Upregulated,1177
Feature0138,Adipic acid,Biosynthesis of secondary metabolites,Upregulated,1177
Feature0138,Adipic acid,Microbial metabolism in diverse environments,Upregulated,1177
Feature0138,Adipic acid,Biosynthesis of amino acids,Upregulated,1177
Feature0138,Adipic acid,Biosynthesis of cofactors,Upregulated,1177
Feature0138,Adipic acid,2-Oxocarboxylic acid metabolism,Upregulated,1177
Feature0138,Adipic acid,Degradation of aromatic compounds,Upregulated,1177
Feature0138,Adipic acid,Other,Upregulated,1177
Feature0077,NP-016455,NA,Downregulated,1177
Feature0073,"1-(2-Furyl)-1,2-ethanediol",Metabolic pathways,Upregulated,1177
Feature0073,"1-(2-Furyl)-1,2-ethanediol",Microbial metabolism in diverse environments,Upregulated,1177
Feature0073,"1-(2-Furyl)-1,2-ethanediol",Degradation of aromatic compounds,Upregulated,1177
Feature0073,"1-(2-Furyl)-1,2-ethanediol",Other,Upregulated,1177
Feature0047,Butyl glyoxylate,Metabolic pathways,Upregulated,1177
Feature0047,Butyl glyoxylate,Biosynthesis of secondary metabolites,Upregulated,1177
Feature0047,Butyl glyoxylate,Microbial metabolism in diverse environments,Upregulated,1177
Feature0047,Butyl glyoxylate,Biosynthesis of amino acids,Upregulated,1177
Feature0047,Butyl glyoxylate,2-Oxocarboxylic acid metabolism,Upregulated,1177
Feature0047,Butyl glyoxylate,Degradation of aromatic compounds,Upregulated,1177
Feature0047,Butyl glyoxylate,Other,Upregulated,1177
Feature0040,3-O-(2-Acetamido-2-deoxy-beta-D-glucopyranosyl)-D-galactitol,NA,Downregulated,1177
Feature0039,"(6R)-5-Acetamido-3,5-dideoxy-6-[(1R,2R)-1,2-dihydroxy-3-(lactoyloxy)propyl]-alpha-L-threo-hex-2-ulopyranosonic acid",NA,Downregulated,1177
Feature0031,pro-his,NA,Upregulated,1177
Feature0022,"2-[9-(Hydroxyimino)-3,6-diazatricyclo[4.3.1.1~3,8~]undec-1-yl]ethyl acetate",NA,Upregulated,1177
Feature0012,[Similar to: 4-[4-chloro-2-nitro-5-(1H-pyrrol-1-yl)phenyl]morpholine; ΔMass: 182.0794 Da],NA,Downregulated,1177
Feature0011,[Similar to: Dimethyl phosphate; ΔMass: 60.0212 Da],NA,Upregulated,1177
Feature0278,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Biosynthesis of secondary metabolites,Upregulated,1246
Feature0278,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Microbial metabolism in diverse environments,Upregulated,1246
Feature0278,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Phenylpropanoid biosynthesis,Upregulated,1246
Feature0278,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Other,Upregulated,1246
Feature0276,Choline O-Sulfate,ABC transporters,Upregulated,1246
Feature0274,NA,NA,Upregulated,1246
Feature0271,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Biosynthesis of secondary metabolites,Upregulated,1246
Feature0271,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Microbial metabolism in diverse environments,Upregulated,1246
Feature0271,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Phenylpropanoid biosynthesis,Upregulated,1246
Feature0271,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Other,Upregulated,1246
Feature0265,methoxyresorcinol,Microbial metabolism in diverse environments,Upregulated,1246
Feature0265,methoxyresorcinol,Other,Upregulated,1246
Feature0262,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Biosynthesis of secondary metabolites,Upregulated,1246
Feature0262,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Microbial metabolism in diverse environments,Upregulated,1246
Feature0262,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Phenylpropanoid biosynthesis,Upregulated,1246
Feature0262,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Other,Upregulated,1246
Feature0252,DL-Carnitine,Other,Upregulated,1246
Feature0240,"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid",NA,Upregulated,1246
Feature0225,"3-Methoxy-4-(methoxycarbonyl)-5-methylphenyl 4-[(2,4-dimethoxy-6-methylbenzoyl)oxy]-2-methoxy-6-methylbenzoate",NA,Upregulated,1246
Feature0222,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Biosynthesis of secondary metabolites,Upregulated,1246
Feature0222,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Microbial metabolism in diverse environments,Upregulated,1246
Feature0222,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Phenylpropanoid biosynthesis,Upregulated,1246
Feature0222,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Other,Upregulated,1246
Feature0216,L-Glutamine,Metabolic pathways,Upregulated,1246
Feature0216,L-Glutamine,Microbial metabolism in diverse environments,Upregulated,1246
Feature0216,L-Glutamine,Biosynthesis of amino acids,Upregulated,1246
Feature0216,L-Glutamine,Biosynthesis of plant secondary metabolites,Upregulated,1246
Feature0216,L-Glutamine,ABC transporters,Upregulated,1246
Feature0216,L-Glutamine,Biosynthesis of cofactors,Upregulated,1246
Feature0216,L-Glutamine,Protein digestion and absorption,Upregulated,1246
Feature0216,L-Glutamine,Central carbon metabolism in cancer,Upregulated,1246
Feature0216,L-Glutamine,D-Amino acid metabolism,Upregulated,1246
Feature0216,L-Glutamine,Aminoacyl-tRNA biosynthesis,Upregulated,1246
Feature0216,L-Glutamine,Other,Upregulated,1246
Feature0209,N~2~-Acetyl-L-ornithine,Metabolic pathways,Downregulated,1246
Feature0209,N~2~-Acetyl-L-ornithine,Biosynthesis of secondary metabolites,Downregulated,1246
Feature0209,N~2~-Acetyl-L-ornithine,Biosynthesis of amino acids,Downregulated,1246
Feature0209,N~2~-Acetyl-L-ornithine,2-Oxocarboxylic acid metabolism,Downregulated,1246
Feature0209,N~2~-Acetyl-L-ornithine,Other,Downregulated,1246
Feature0207,Adenine,Metabolic pathways,Downregulated,1246
Feature0207,Adenine,Biosynthesis of secondary metabolites,Downregulated,1246
Feature0207,Adenine,Other,Downregulated,1246
Feature0198,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Biosynthesis of secondary metabolites,Upregulated,1246
Feature0198,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Microbial metabolism in diverse environments,Upregulated,1246
Feature0198,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Phenylpropanoid biosynthesis,Upregulated,1246
Feature0198,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Other,Upregulated,1246
Feature0197,DL-α-AMINOSUBERIC ACID,NA,Upregulated,1246
Feature0190,(+)-Piperitol,Metabolic pathways,Upregulated,1246
Feature0190,(+)-Piperitol,Biosynthesis of secondary metabolites,Upregulated,1246
Feature0190,(+)-Piperitol,Biosynthesis of various plant secondary metabolites,Upregulated,1246
Feature0190,(+)-Piperitol,Other,Upregulated,1246
Feature0189,Methyl piperonyl ketone,Metabolic pathways,Upregulated,1246
Feature0189,Methyl piperonyl ketone,Biosynthesis of secondary metabolites,Upregulated,1246
Feature0189,Methyl piperonyl ketone,2-Oxocarboxylic acid metabolism,Upregulated,1246
Feature0189,Methyl piperonyl ketone,Phenylpropanoid biosynthesis,Upregulated,1246
Feature0189,Methyl piperonyl ketone,Biosynthesis of phenylpropanoids,Upregulated,1246
Feature0189,Methyl piperonyl ketone,"Phenylalanine, tyrosine and tryptophan biosynthesis",Upregulated,1246
Feature0189,Methyl piperonyl ketone,Other,Upregulated,1246
Feature0188,"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid",NA,Upregulated,1246
Feature0186,"3-Hydroxy-4,5,6-trimethoxytetrahydro-2H-pyran-2-carboxamide",NA,Upregulated,1246
Feature0184,"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid",NA,Upregulated,1246
Feature0182,1-(Dimethylamino)-2-propanyl acetate,NA,Upregulated,1246
Feature0177,(+)-Piperitol,Metabolic pathways,Upregulated,1246
Feature0177,(+)-Piperitol,Biosynthesis of secondary metabolites,Upregulated,1246
Feature0177,(+)-Piperitol,Biosynthesis of various plant secondary metabolites,Upregulated,1246
Feature0177,(+)-Piperitol,Other,Upregulated,1246
Feature0171,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Biosynthesis of secondary metabolites,Upregulated,1246
Feature0171,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Microbial metabolism in diverse environments,Upregulated,1246
Feature0171,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Phenylpropanoid biosynthesis,Upregulated,1246
Feature0171,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Other,Upregulated,1246
Feature0137,"1-(3,4-Dimethoxyphenyl)-4-(4-hydroxy-3-methoxyphenyl)dihydro-1H,3H-furo[3,4-c]furan-3a(4H)-ol",NA,Upregulated,1246
Feature0106,"4-({4-[(2,4-Dihydroxy-3,6-dimethylbenzoyl)oxy]-2-methoxy-3,5,6-trimethylbenzoyl}oxy)-2-methoxy-3,5,6-trimethylbenzoic acid",Biosynthesis of secondary metabolites,Upregulated,1246
Feature0106,"4-({4-[(2,4-Dihydroxy-3,6-dimethylbenzoyl)oxy]-2-methoxy-3,5,6-trimethylbenzoyl}oxy)-2-methoxy-3,5,6-trimethylbenzoic acid",Other,Upregulated,1246
Feature0094,Inosine-5'-monophosphate (IMP),Metabolic pathways,Downregulated,1246
Feature0094,Inosine-5'-monophosphate (IMP),Biosynthesis of secondary metabolites,Downregulated,1246
Feature0094,Inosine-5'-monophosphate (IMP),Biosynthesis of plant secondary metabolites,Downregulated,1246
Feature0094,Inosine-5'-monophosphate (IMP),Biosynthesis of cofactors,Downregulated,1246
Feature0094,Inosine-5'-monophosphate (IMP),Other,Downregulated,1246
Feature0085,"1-Ethoxy-4-methoxy-2,3,6a,9a-tetrahydrocyclopenta[c]furo[3',2':4,5]furo[2,3-h]chromen-11(1H)-one",Biosynthesis of secondary metabolites,Upregulated,1246
Feature0085,"1-Ethoxy-4-methoxy-2,3,6a,9a-tetrahydrocyclopenta[c]furo[3',2':4,5]furo[2,3-h]chromen-11(1H)-one",Other,Upregulated,1246
Feature0077,NP-016455,NA,Downregulated,1246
Feature0075,NP-007065,Microbial metabolism in diverse environments,Upregulated,1246
Feature0075,NP-007065,Other,Upregulated,1246
Feature0039,"(6R)-5-Acetamido-3,5-dideoxy-6-[(1R,2R)-1,2-dihydroxy-3-(lactoyloxy)propyl]-alpha-L-threo-hex-2-ulopyranosonic acid",NA,Downregulated,1246
