FeatureID,Name,KEGGPathways,Comment,isolate,KEGG ID,notes
Feature0138,Adipic acid,Biosynthesis of secondary metabolites,Upregulated,1154,C00966; C06006; C06104; C06762,
Feature0072,Caffeic acid,Biosynthesis of secondary metabolites,Upregulated,1154,C01179; C01197; C05350; C12623,
Feature0047,Butyl glyoxylate,Biosynthesis of secondary metabolites,Upregulated,1154,C00233; C00671; C06102,
Feature0239,"3',4'-Dimethoxyacetophenone",Biosynthesis of plant secondary metabolites,Upregulated,1154,C00590,
Feature0216,L-Glutamine,Central carbon metabolism in cancer,Not real,1154,C00064; C00819; C21029,
Feature0216,L-Glutamine,D-Amino acid metabolism,Not real,1154,C00064; C00819; C21029,
Feature0141,4-Phenylbutyric acid,Degradation of aromatic compounds,Upregulated,1154,C06578,
Feature0138,Adipic acid,Degradation of aromatic compounds,Upregulated,1154,C00966; C06006; C06104; C06762,
Feature0073,"1-(2-Furyl)-1,2-ethanediol",Degradation of aromatic compounds,Upregulated,1154,C11354,
Feature0072,Caffeic acid,Degradation of aromatic compounds,Upregulated,1154,C01179; C01197; C05350; C12623,
Feature0047,Butyl glyoxylate,Degradation of aromatic compounds,Upregulated,1154,C00233; C00671; C06102,
Feature0261,lactosamine,Metabolic pathways,Not important,1154,C15658,
Feature0223,Tetrolic Acid,Metabolic pathways,Not important,1154,C06144,
Feature0053,"beta-D-Galactopyranosyl-(1->4)-3,6-anhydro-alpha-L-galactopyranosyl-(1->3)-beta-D-galactopyranose",Metabolic pathways,Not important,1154,C00973,
Feature0239,"3',4'-Dimethoxyacetophenone",Metabolic pathways,Not important,1154,C00590,
Feature0229,L-Saccharopine,Metabolic pathways,Not important,1154,C00449,
Feature0216,L-Glutamine,Metabolic pathways,Not important,1154,C00064; C00819; C21029,
Feature0200,"pentane-1,2,3,4,5-pentol",Metabolic pathways,Not important,1154,C00379; C00474; C00532; C01904,
Feature0141,4-Phenylbutyric acid,Metabolic pathways,Not important,1154,C06578,
Feature0138,Adipic acid,Metabolic pathways,Not important,1154,C00966; C06006; C06104; C06762,
Feature0073,"1-(2-Furyl)-1,2-ethanediol",Metabolic pathways,Not important,1154,C11354,
Feature0072,Caffeic acid,Metabolic pathways,Not important,1154,C01179; C01197; C05350; C12623,
Feature0047,Butyl glyoxylate,Metabolic pathways,Not important,1154,C00233; C00671; C06102,
Feature0253,methoxyresorcinol,Microbial metabolism in diverse environments,Upregulated,1154, ,
Feature0216,L-Glutamine,Microbial metabolism in diverse environments,Upregulated,1154,C00064; C00819; C21029,
Feature0141,4-Phenylbutyric acid,Microbial metabolism in diverse environments,Upregulated,1154,C06578,
Feature0138,Adipic acid,Microbial metabolism in diverse environments,Upregulated,1154,C00966; C06006; C06104; C06762,
Feature0073,"1-(2-Furyl)-1,2-ethanediol",Microbial metabolism in diverse environments,Upregulated,1154,C11354,
Feature0072,Caffeic acid,Microbial metabolism in diverse environments,Upregulated,1154,C01179; C01197; C05350; C12623,
Feature0047,Butyl glyoxylate,Microbial metabolism in diverse environments,Upregulated,1154,C00233; C00671; C06102,
Feature0260,"bis-beta-D-fructofuranose 1,2':2,3'-dianhydride",NA,Downregulated,1154, ,
Feature0248,[Similar to: AB-CHMINACA metabolite M7; ΔMass: 39.9895 Da],NA,Downregulated,1154, ,
Feature0210,[Similar to: NP-015005; ΔMass: -441.3129 Da],NA,Downregulated,1154, ,
Feature0133,methyl N-acetylneuraminate,NA,Downregulated,1154, ,
Feature0089,[Similar to: NP-017684; ΔMass: -74.2514 Da],NA,Downregulated,1154, ,
Feature0077,NP-016455,NA,Downregulated,1154, ,
Feature0040,3-O-(2-Acetamido-2-deoxy-beta-D-glucopyranosyl)-D-galactitol,NA,Downregulated,1154, ,
Feature0012,[Similar to: 4-[4-chloro-2-nitro-5-(1H-pyrrol-1-yl)phenyl]morpholine; ΔMass: 182.0794 Da],NA,Downregulated,1154, ,
Feature0186,"3-Hydroxy-4,5,6-trimethoxytetrahydro-2H-pyran-2-carboxamide",NA,Upregulated,1154, ,
Feature0031,pro-his,NA,Upregulated,1154, ,
Feature0022,"2-[9-(Hydroxyimino)-3,6-diazatricyclo[4.3.1.1~3,8~]undec-1-yl]ethyl acetate",NA,Upregulated,1154, ,
Feature0019,RV0540000,NA,Upregulated,1154, ,
Feature0011,[Similar to: Dimethyl phosphate; ΔMass: 60.0212 Da],NA,Upregulated,1154, ,
Feature0004,Tiglic acid,NA,Upregulated,1154, ,
Feature0261,lactosamine,Other,Not important,1154,C15658,
Feature0223,Tetrolic Acid,Other,Not important,1154,C06144,
Feature0053,"beta-D-Galactopyranosyl-(1->4)-3,6-anhydro-alpha-L-galactopyranosyl-(1->3)-beta-D-galactopyranose",Other,Not important,1154,C00973,
Feature0253,methoxyresorcinol,Other,Not important,1154, ,
Feature0252,DL-Carnitine,Other,Not important,1154, ,
Feature0239,"3',4'-Dimethoxyacetophenone",Other,Not important,1154,C00590,
Feature0229,L-Saccharopine,Other,Not important,1154,C00449,
Feature0216,L-Glutamine,Other,Not important,1154,C00064; C00819; C21029,
Feature0200,"pentane-1,2,3,4,5-pentol",Other,Not important,1154,C00379; C00474; C00532; C01904,
Feature0141,4-Phenylbutyric acid,Other,Not important,1154,C06578,
Feature0138,Adipic acid,Other,Not important,1154,C00966; C06006; C06104; C06762,
Feature0073,"1-(2-Furyl)-1,2-ethanediol",Other,Not important,1154,C11354,
Feature0072,Caffeic acid,Other,Not important,1154,C01179; C01197; C05350; C12623,
Feature0047,Butyl glyoxylate,Other,Not important,1154,C00233; C00671; C06102,
Feature0072,Caffeic acid,"Phenylalanine, tyrosine and tryptophan biosynthesis",Not real,1154,C01179; C01197; C05350; C12623,
Feature0239,"3',4'-Dimethoxyacetophenone",Biosynthesis of phenylpropanoids,Upregulated,1154,C00590,
Feature0141,4-Phenylbutyric acid,Biosynthesis of phenylpropanoids,Upregulated,1154,C06578,
Feature0072,Caffeic acid,Biosynthesis of phenylpropanoids,Upregulated,1154,C01179; C01197; C05350; C12623,
Feature0216,L-Glutamine,Protein digestion and absorption,Not real,1154,C00064; C00819; C21029,
Feature0138,Adipic acid,2-Oxocarboxylic acid metabolism,Upregulated,1177,C00966; C06006; C06104; C06762,
Feature0047,Butyl glyoxylate,2-Oxocarboxylic acid metabolism,Upregulated,1177,C00233; C00671; C06102,
Feature0216,L-Glutamine,ABC transporters,Upregulated,1177,C00064; C00819; C21029,
Feature0200,"pentane-1,2,3,4,5-pentol",ABC transporters,Upregulated,1177,C00379; C00474; C00532; C01904,
Feature0216,L-Glutamine,Aminoacyl-tRNA biosynthesis,Not real,1177,C00064; C00819; C21029,
Feature0216,L-Glutamine,Biosynthesis of amino acids,Upregulated,1177,C00064; C00819; C21029,
Feature0138,Adipic acid,Biosynthesis of amino acids,Upregulated,1177,C00966; C06006; C06104; C06762,
Feature0047,Butyl glyoxylate,Biosynthesis of amino acids,Upregulated,1177,C00233; C00671; C06102,
Feature0216,L-Glutamine,Biosynthesis of cofactors,Upregulated,1177,C00064; C00819; C21029,
Feature0138,Adipic acid,Biosynthesis of cofactors,Upregulated,1177,C00966; C06006; C06104; C06762,
Feature0213,NP-019445,Biosynthesis of phenylpropanoids,Repeat,1177,C01494; C12204,
Feature0216,L-Glutamine,Biosynthesis of plant secondary metabolites,Upregulated,1177,C00064; C00819; C21029,
Feature0213,NP-019445,Biosynthesis of secondary metabolites,Upregulated,1177,C01494; C12204,
Feature0138,Adipic acid,Biosynthesis of secondary metabolites,Upregulated,1177,C00966; C06006; C06104; C06762,
Feature0047,Butyl glyoxylate,Biosynthesis of secondary metabolites,Upregulated,1177,C00233; C00671; C06102,
Feature0174,Penicillic acid,Degradation of aromatic compounds,Upregulated,1177,C05576; C06720; C06729; C06731; C07123,
Feature0138,Adipic acid,Degradation of aromatic compounds,Upregulated,1177,C00966; C06006; C06104; C06762,
Feature0073,"1-(2-Furyl)-1,2-ethanediol",Degradation of aromatic compounds,Upregulated,1177,C11354,
Feature0047,Butyl glyoxylate,Degradation of aromatic compounds,Upregulated,1177,C00233; C00671; C06102,
Feature0216,L-Glutamine,Metabolic pathways,Not important,1177,C00064; C00819; C21029,
Feature0213,NP-019445,Metabolic pathways,Not important,1177,C01494; C12204,
Feature0200,"pentane-1,2,3,4,5-pentol",Metabolic pathways,Not important,1177,C00379; C00474; C00532; C01904,
Feature0174,Penicillic acid,Metabolic pathways,Not important,1177,C05576; C06720; C06729; C06731; C07123,
Feature0138,Adipic acid,Metabolic pathways,Not important,1177,C00966; C06006; C06104; C06762,
Feature0073,"1-(2-Furyl)-1,2-ethanediol",Metabolic pathways,Not important,1177,C11354,
Feature0047,Butyl glyoxylate,Metabolic pathways,Not important,1177,C00233; C00671; C06102,
Feature0216,L-Glutamine,Microbial metabolism in diverse environments,Upregulated,1177,C00064; C00819; C21029,
Feature0174,Penicillic acid,Microbial metabolism in diverse environments,Upregulated,1177,C05576; C06720; C06729; C06731; C07123,
Feature0138,Adipic acid,Microbial metabolism in diverse environments,Upregulated,1177,C00966; C06006; C06104; C06762,
Feature0073,"1-(2-Furyl)-1,2-ethanediol",Microbial metabolism in diverse environments,Upregulated,1177,C11354,
Feature0047,Butyl glyoxylate,Microbial metabolism in diverse environments,Upregulated,1177,C00233; C00671; C06102,
Feature0248,[Similar to: AB-CHMINACA metabolite M7; ΔMass: 39.9895 Da],NA,Downregulated,1177, ,
Feature0210,[Similar to: NP-015005; ΔMass: -441.3129 Da],NA,Downregulated,1177, ,
Feature0077,NP-016455,NA,Downregulated,1177, ,
Feature0040,3-O-(2-Acetamido-2-deoxy-beta-D-glucopyranosyl)-D-galactitol,NA,Downregulated,1177, ,
Feature0039,"(6R)-5-Acetamido-3,5-dideoxy-6-[(1R,2R)-1,2-dihydroxy-3-(lactoyloxy)propyl]-alpha-L-threo-hex-2-ulopyranosonic acid",NA,Downregulated,1177, ,
Feature0012,[Similar to: 4-[4-chloro-2-nitro-5-(1H-pyrrol-1-yl)phenyl]morpholine; ΔMass: 182.0794 Da],NA,Downregulated,1177, ,
Feature0031,pro-his,NA,Upregulated,1177, ,
Feature0022,"2-[9-(Hydroxyimino)-3,6-diazatricyclo[4.3.1.1~3,8~]undec-1-yl]ethyl acetate",NA,Upregulated,1177, ,
Feature0011,[Similar to: Dimethyl phosphate; ΔMass: 60.0212 Da],NA,Upregulated,1177, ,
Feature0252,DL-Carnitine,Other,Not important,1177, ,
Feature0216,L-Glutamine,Other,Not important,1177,C00064; C00819; C21029,
Feature0200,"pentane-1,2,3,4,5-pentol",Other,Not important,1177,C00379; C00474; C00532; C01904,
Feature0174,Penicillic acid,Other,Not important,1177,C05576; C06720; C06729; C06731; C07123,
Feature0138,Adipic acid,Other,Not important,1177,C00966; C06006; C06104; C06762,
Feature0073,"1-(2-Furyl)-1,2-ethanediol",Other,Not important,1177,C11354,
Feature0047,Butyl glyoxylate,Other,Not important,1177,C00233; C00671; C06102,
Feature0213,NP-019445,Biosynthesis of phenylpropanoids,Upregulated,1177,C01494; C12204,
Feature0216,L-Glutamine,Protein digestion and absorption,Not real,1177,C00064; C00819; C21029,
Feature0209,N~2~-Acetyl-L-ornithine,2-Oxocarboxylic acid metabolism,Downregulated,1246,C00437,
Feature0189,Methyl piperonyl ketone,2-Oxocarboxylic acid metabolism,Upregulated,1246,C02666; C20327,
Feature0276,Choline O-Sulfate,ABC transporters,Upregulated,1246, ,
Feature0216,L-Glutamine,ABC transporters,Upregulated,1246,C00064; C00819; C21029,
Feature0216,L-Glutamine,Aminoacyl-tRNA biosynthesis,Not real,1246,C00064; C00819; C21029,
Feature0209,N~2~-Acetyl-L-ornithine,Biosynthesis of amino acids,Downregulated,1246,C00437,
Feature0216,L-Glutamine,Biosynthesis of amino acids,Upregulated,1246,C00064; C00819; C21029,
Feature0094,Inosine-5'-monophosphate (IMP),Biosynthesis of cofactors,Upregulated,1246,C00130,
Feature0216,L-Glutamine,Biosynthesis of cofactors,Upregulated,1246,C00064; C00819; C21029,
Feature0189,Methyl piperonyl ketone,Biosynthesis of phenylpropanoids,Upregulated,1246,C02666; C20327,
Feature0094,Inosine-5'-monophosphate (IMP),Biosynthesis of plant secondary metabolites,Downregulated,1246,C00130,
Feature0216,L-Glutamine,Biosynthesis of plant secondary metabolites,Upregulated,1246,C00064; C00819; C21029,
Feature0209,N~2~-Acetyl-L-ornithine,Biosynthesis of secondary metabolites,Downregulated,1246,C00437,
Feature0207,Adenine,Biosynthesis of secondary metabolites,Downregulated,1246,C00147,
Feature0094,Inosine-5'-monophosphate (IMP),Biosynthesis of secondary metabolites,Downregulated,1246,C00130,
Feature0278,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Biosynthesis of secondary metabolites,Upregulated,1246, ,
Feature0271,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Biosynthesis of secondary metabolites,Upregulated,1246, ,
Feature0262,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Biosynthesis of secondary metabolites,Upregulated,1246, ,
Feature0222,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Biosynthesis of secondary metabolites,Upregulated,1246, ,
Feature0198,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Biosynthesis of secondary metabolites,Upregulated,1246, ,
Feature0190,(+)-Piperitol,Biosynthesis of secondary metabolites,Upregulated,1246,C20453; C21191,
Feature0189,Methyl piperonyl ketone,Biosynthesis of secondary metabolites,Upregulated,1246,C02666; C20327,
Feature0177,(+)-Piperitol,Biosynthesis of secondary metabolites,Upregulated,1246,C20453; C21191,
Feature0171,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Biosynthesis of secondary metabolites,Upregulated,1246, ,
Feature0106,"4-({4-[(2,4-Dihydroxy-3,6-dimethylbenzoyl)oxy]-2-methoxy-3,5,6-trimethylbenzoyl}oxy)-2-methoxy-3,5,6-trimethylbenzoic acid",Biosynthesis of secondary metabolites,Upregulated,1246, ,
Feature0085,"1-Ethoxy-4-methoxy-2,3,6a,9a-tetrahydrocyclopenta[c]furo[3',2':4,5]furo[2,3-h]chromen-11(1H)-one",Biosynthesis of secondary metabolites,Upregulated,1246, ,
Feature0190,(+)-Piperitol,Biosynthesis of plant secondary metabolites,Upregulated,1246,C20453; C21191,
Feature0177,(+)-Piperitol,Biosynthesis of plant secondary metabolites,Upregulated,1246,C20453; C21191,
Feature0216,L-Glutamine,Central carbon metabolism in cancer,Not real,1246,C00064; C00819; C21029,
Feature0216,L-Glutamine,D-Amino acid metabolism,Not real,1246,C00064; C00819; C21029,
Feature0209,N~2~-Acetyl-L-ornithine,Metabolic pathways,Not important,1246,C00437,
Feature0207,Adenine,Metabolic pathways,Not important,1246,C00147,
Feature0094,Inosine-5'-monophosphate (IMP),Metabolic pathways,Not important,1246,C00130,
Feature0216,L-Glutamine,Metabolic pathways,Not important,1246,C00064; C00819; C21029,
Feature0190,(+)-Piperitol,Metabolic pathways,Not important,1246,C20453; C21191,
Feature0189,Methyl piperonyl ketone,Metabolic pathways,Not important,1246,C02666; C20327,
Feature0177,(+)-Piperitol,Metabolic pathways,Not important,1246,C20453; C21191,
Feature0278,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Microbial metabolism in diverse environments,Upregulated,1246, ,
Feature0271,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Microbial metabolism in diverse environments,Upregulated,1246, ,
Feature0265,methoxyresorcinol,Microbial metabolism in diverse environments,Upregulated,1246, ,
Feature0262,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Microbial metabolism in diverse environments,Upregulated,1246, ,
Feature0222,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Microbial metabolism in diverse environments,Upregulated,1246, ,
Feature0216,L-Glutamine,Microbial metabolism in diverse environments,Upregulated,1246,C00064; C00819; C21029,
Feature0198,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Microbial metabolism in diverse environments,Upregulated,1246, ,
Feature0171,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Microbial metabolism in diverse environments,Upregulated,1246, ,
Feature0075,NP-007065,Microbial metabolism in diverse environments,Upregulated,1246, ,
Feature0077,NP-016455,NA,Downregulated,1246, ,
Feature0039,"(6R)-5-Acetamido-3,5-dideoxy-6-[(1R,2R)-1,2-dihydroxy-3-(lactoyloxy)propyl]-alpha-L-threo-hex-2-ulopyranosonic acid",NA,Downregulated,1246, ,
Feature0274,NA,NA,Upregulated,1246, ,
Feature0240,"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid",NA,Upregulated,1246, ,
Feature0225,"3-Methoxy-4-(methoxycarbonyl)-5-methylphenyl 4-[(2,4-dimethoxy-6-methylbenzoyl)oxy]-2-methoxy-6-methylbenzoate",NA,Upregulated,1246, ,
Feature0197,DL-α-AMINOSUBERIC ACID,NA,Upregulated,1246, ,
Feature0188,"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid",NA,Upregulated,1246, ,
Feature0186,"3-Hydroxy-4,5,6-trimethoxytetrahydro-2H-pyran-2-carboxamide",NA,Upregulated,1246, ,
Feature0184,"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid",NA,Upregulated,1246, ,
Feature0182,1-(Dimethylamino)-2-propanyl acetate,NA,Upregulated,1246, ,
Feature0137,"1-(3,4-Dimethoxyphenyl)-4-(4-hydroxy-3-methoxyphenyl)dihydro-1H,3H-furo[3,4-c]furan-3a(4H)-ol",NA,Upregulated,1246, ,
Feature0209,N~2~-Acetyl-L-ornithine,Other,Not important,1246,C00437,
Feature0207,Adenine,Other,Not important,1246,C00147,
Feature0094,Inosine-5'-monophosphate (IMP),Other,Not important,1246,C00130,
Feature0278,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Other,Not important,1246, ,
Feature0271,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Other,Not important,1246, ,
Feature0265,methoxyresorcinol,Other,Not important,1246, ,
Feature0262,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Other,Not important,1246, ,
Feature0252,DL-Carnitine,Other,Not important,1246, ,
Feature0222,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Other,Not important,1246, ,
Feature0216,L-Glutamine,Other,Not important,1246,C00064; C00819; C21029,
Feature0198,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Other,Not important,1246, ,
Feature0190,(+)-Piperitol,Other,Not important,1246,C20453; C21191,
Feature0189,Methyl piperonyl ketone,Other,Not important,1246,C02666; C20327,
Feature0177,(+)-Piperitol,Other,Not important,1246,C20453; C21191,
Feature0171,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Other,Not important,1246, ,
Feature0106,"4-({4-[(2,4-Dihydroxy-3,6-dimethylbenzoyl)oxy]-2-methoxy-3,5,6-trimethylbenzoyl}oxy)-2-methoxy-3,5,6-trimethylbenzoic acid",Other,Not important,1246, ,
Feature0085,"1-Ethoxy-4-methoxy-2,3,6a,9a-tetrahydrocyclopenta[c]furo[3',2':4,5]furo[2,3-h]chromen-11(1H)-one",Other,Not important,1246, ,
Feature0075,NP-007065,Other,Not important,1246, ,
Feature0189,Methyl piperonyl ketone,"Phenylalanine, tyrosine and tryptophan biosynthesis",Not real,1246,C02666; C20327,
Feature0278,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Biosynthesis of phenylpropanoids,Upregulated,1246, ,
Feature0271,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Biosynthesis of phenylpropanoids,Duplicate,1246, ,
Feature0262,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Biosynthesis of phenylpropanoids,Duplicate,1246, ,
Feature0222,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Biosynthesis of phenylpropanoids,Duplicate,1246, ,
Feature0198,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Biosynthesis of phenylpropanoids,Duplicate,1246, ,
Feature0189,Methyl piperonyl ketone,Biosynthesis of phenylpropanoids,Repeat,1246,C02666; C20327,
Feature0171,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Biosynthesis of phenylpropanoids,Duplicate,1246, ,
Feature0216,L-Glutamine,Protein digestion and absorption,Not real,1246,C00064; C00819; C21029,
