FeatureID,Name,Class,BiogeochemicalClass,FIShScore,1246,1154,1177
Feature0243,L-Aspartic acid,Carbohydrate,Amino acids & derivatives,,0,0.041277003,0
Feature0244,L-Cystathionine,Amino Sugar,Amino acids & derivatives,,0,0.312029208,0
Feature0247,L-Glutamine,Amino Sugar,Amino acids & derivatives,,0.293959943,0.341045265,0.37246975
Feature0248,L-Histidine,Protein,Amino acids & derivatives,,-0.054693024,0.110136255,0
Feature0249,L-Iditol,Carbohydrate,Amino acids & derivatives,,0,0.289456086,0
Feature0250,L-Lysine,Other,Amino acids & derivatives,,0,0.080953229,0
Feature0252,L-Pyroglutamic acid,Phenol,Amino acids & derivatives,,0,-0.296309151,-0.2705112
Feature0253,L-Saccharopine,Protein,Amino acids & derivatives,,0.186218822,0.400546148,0
Feature0255,L-Threonine,Carbohydrate,Amino acids & derivatives,,-0.044403609,0,0
Feature0257,Lactamide,Other,Amino acids & derivatives,,-0.087409631,0,0
Feature0264,Leu-arg,Lipid,Amino acids & derivatives,,0.310905099,0,0
Feature0267,Leu-Leu,Lipid,Amino acids & derivatives,,0.135889338,0,0
Feature0268,leu-phe,Phenol,Amino acids & derivatives,,0.102108491,0,0
Feature0270,Levulinic acid,Amino Sugar,Carbohydrates,,0,0.215397922,0.22598022
Feature0271,Linamarin,Amino Sugar,Other,,0.097245533,-0.129630193,0
Feature0275,Meconin,Phenol,Benzoic acids,,-0.096902315,0.172251005,0
Feature0276,Mephedrone,Unsaturated HC,Cyclic amines,,-0.110307725,0,0
Feature0278,Methionine,Protein,Amino acids & derivatives,,0,0.134283793,0
Feature0279,Methionine sulfoxide,Amino Sugar,Amino acids & derivatives,90,-0.277493154,-0.091109347,0
Feature0280,methoxyresorcinol,Phenol,Phenols,38.95,0.63269069,0.283951337,0
Feature0281,"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate",Phenol,Cyclic amines,65.29,0.07329056,0.081585336,0
Feature0282,"Methyl 4,6-dideoxy-4-[(2,4-dihydroxybutanoyl)amino]hexopyranoside",Amino Sugar,Cyclic amines,62.93,-0.200126474,0,0
Feature0283,"Methyl 4-hydroxy-2-methoxy-3,6-dimethylbenzoate",Phenol,Benzoic acids,46.36,0.419117563,0,0
Feature0285,methyl N-acetylneuraminate,Carbohydrate,Benzoic acids,56.47,-0.160171728,0,0
Feature0287,Methyl piperonyl ketone,Phenol,Other,63.64,0.457193383,0,0
Feature0288,Methylhippuric acid,Phenol,Aromatic amines,66.13,-0.199159975,0,0
Feature0289,Mevalonolactone,Protein,Phenols,85.45,0.269207335,0,0.40779611
Feature0291,MFCD00025556,Amino Sugar,Nitrated lipids,100,0.10727453,0,0
Feature0294,MFCD00634809,Phenol,Cyclic amines,31.25,-0.130674135,0,0
Feature0295,MFCD09839908,Phenol,Aromatic amines,25,-0.166431025,0,0
Feature0296,muramic acid,Carbohydrate,Nitrated lipids,70.59,-0.188166046,-0.148293388,0
Feature0297,"N,N'-1,4-Butanediyldiacetamide",Lipid,Nitrated lipids,,0,-0.210274053,0
Feature0298,"N,N-dimethyl-N'-(3-phenyl[1,2,4]triazolo[4,3-b]pyridazin-6-yl)iminoformamide",Unsaturated HC,Cyclic amines,,0.371594116,0.5095323,0.57575604
Feature0299,N-(3-Carboxypropanoyl)-5-hydroxynorvaline,Amino Sugar,Amino acids & derivatives,,0,-0.157474321,-0.2058011
Feature0302,"N-Acetyl-3,4,5,6-tetrahydroxynorleucine",Carbohydrate,Amino acids & derivatives,,0,0,-0.0724464
Feature0303,N-Acetyl-D-galactosamine,Carbohydrate,Amino acids & derivatives,,0,0.190040571,0
Feature0304,N-Acetyl-L-histidine,Phenol,Amino acids & derivatives,,0,0.082775233,0
Feature0305,N-Acetylvaline,Protein,Amino acids & derivatives,,-0.085127771,0,0
Feature0310,"N3,N4-Dimethyl-L-arginine",Lipid,Nitrated lipids,,-0.119302365,0,0
Feature0312,Ne-Acetyllysine,Protein,Other,,0.089880921,0,0
Feature0313,Nicotinamide,Phenol,Cyclic amines,,0,-0.33775437,0
Feature0314,Nicotinic acid,Phenol,Benzoic acids,,-0.031896001,0,0
Feature0315,Nonylbenzene,Lipid,Lipids,,0,0.364612977,0
Feature0316,NP-003553,Lipid,Lipids,47.62,-0.079273004,0,0
Feature0317,NP-007065,Phenol,Phenols,66.2,0.429008046,0,0
Feature0318,NP-011220,Lipid,Amino acids & derivatives,,0,0.051571931,0
Feature0319,NP-013538,Other,Phenols,,0,-0.147520472,-0.180025
Feature0320,NP-014287,Lipid,Carbohydrates,65.31,0.232088038,0.09361917,0
Feature0321,NP-016455,Protein,Cyclic amines,73.68,-0.543310801,-0.436622296,0
Feature0321,NP-016455,Protein,Cyclic amines,74.68,-0.543310801,-0.436622296,0
Feature0322,NP-019445,Phenol,Amino acids & derivatives,76.32,-0.086195382,0,0
Feature0323,NP-019811,Phenol,Cyclic amines,,0,-0.27076246,0
Feature0326,N~2~-Acetyl-L-ornithine,Protein,Carboxylic acids,100,-0.377850883,-0.264896128,0
Feature0326,N~2~-Acetyl-L-ornithine,Protein,Carboxylic acids,101,-0.377850883,-0.264896128,0
Feature0327,O-Ethylthreonine,Protein,Carboxylic acids,75.76,-0.437432669,0,0
Feature0328,"Octahydro-1,6,7,8-indolizinetetrol",Protein,Cyclic amines,,0,0,0.4086376
Feature0329,Penicillic acid,Phenol,Carboxylic acids,71.01,0,0.278119458,0
Feature0330,"pentane-1,2,3,4,5-pentol",Carbohydrate,Other,,0,0.401937894,0.40435484
Feature0331,Phenacetin,Phenol,Phenols,41.84,-0.09571104,0.05394057,0
Feature0331,Phenacetin,Phenol,Phenols,42.84,-0.09571104,0.05394057,0
Feature0332,Phloroglucinol,Phenol,Phenols,,0,-0.175501021,-0.2269446
Feature0333,Pinolenic acid,Lipid,Lipids,,0,0.094494039,0
Feature0334,Pipecolic acid,Protein,Carboxylic acids,52,0.107966034,0.2935168,0
Feature0334,Pipecolic acid,Protein,Carboxylic acids,53,0.107966034,0.2935168,0
Feature0335,Pipecolic acid,Protein,Carboxylic acids,50,-0.311365747,-0.081283671,0
Feature0335,Pipecolic acid,Protein,Carboxylic acids,51,-0.311365747,-0.081283671,0
Feature0337,pro-his,Phenol,Amino acids & derivatives,80.65,0.243575344,0.327812714,0
Feature0337,pro-his,Phenol,Amino acids & derivatives,81.65,0.243575344,0.327812714,0
Feature0338,Proline,Protein,Amino acids & derivatives,66.67,-0.096871559,-0.098600651,0
Feature0340,propionyl adenylate,Phenol,Amino acids & derivatives,,0,-0.196931082,0
Feature0341,Pyridoxamine,Lipid,Aromatic amines,,0,0.053115786,0
Feature0342,Pyridoxine,Phenol,Phenols,38.71,0.125297442,0,0
Feature0343,Pyrogallol,Phenol,Phenols,,0,-0.291824663,0
Feature0344,pyroglutamine,Protein,Aromatic amines,,0,-0.091070181,0
Feature0345,Pyrone,Condensed HC,Phenols,,0,-0.206370095,0
Feature0346,Sorbic acid,Phenol,Carboxylic acids,78.08,0.266646997,0,0.45834936
Feature0346,Sorbic acid,Phenol,Carboxylic acids,79.08,0.266646997,0,0.45834936
Feature0347,Stavudine,Phenol,Cyclic amines,63.64,0.407529647,0,0
Feature0348,tert-Butyl N-[1-(aminocarbonyl)-3-methylbutyl]carbamate,Lipid,Nitrated lipids,89.47,0.114666504,0,0
Feature0349,Tetrolic Acid,Phenol,Carboxylic acids,,0,-0.195015985,-0.198442
Feature0350,Thymine,Phenol,Amino acids & derivatives,40,-0.13650778,0,0
Feature0351,Tiglic acid,Protein,Carboxylic acids,,0,0.294868159,0.30356351
Feature0352,Tn Antigen,Carbohydrate,Amino acids & derivatives,55.1,0.034623367,0.159002025,0
Feature0352,Tn Antigen,Carbohydrate,Amino acids & derivatives,56.1,0.034623367,0.159002025,0
Feature0353,Tolycaine,Phenol,Benzoic acids,50,0.102565076,0,0
Feature0354,Trigonelline,Phenol,Phenols,,0,-0.341479535,0
Feature0357,val-arg,Lipid,Amino acids & derivatives,86.21,0.063378019,0,0
Feature0358,val-his,Lipid,Amino acids & derivatives,,0,0.077048757,0
Feature0363,Υ-Aminobutyric acid (GABA),Protein,Amino acids & derivatives,78.26,-0.034252497,0,0
Feature0364,α-Eleostearic acid,Lipid,Carbohydrates,68.14,0.155907789,0,0.1288094
Feature0364,α-Eleostearic acid,Lipid,Carbohydrates,69.14,0.155907789,0,0.1288094
Feature0365,δ-Valerolactam,Lipid,Cyclic amines,70.45,0.123274642,0.138568561,0
Feature0365,δ-Valerolactam,Lipid,Cyclic amines,71.45,0.123274642,0.138568561,0
