FeatureID,Name,Formula,MW,# ChemSpider Results,# mzCloud Results,KEGG Pathways,Area: 60_CTRL_1246.1,Area: 59_CTRL_1154.1,Area: 57_CTRL_1246.3,Area: 47_CTRL_1177.1,Area: 46_CTRL_1154.2,Area: 41_CTRL_CTRL.1,Area: 40_CTRL_CTRL.3,Area: 19_CTRL_1246.2,Area: 14_CTRL_1177.3,Area: 10_CTRL_1154.3,Area: 2_CTRL_CTRL.2,Gap Status: 60_CTRL_1246.1,Gap Status: 59_CTRL_1154.1,Gap Status: 57_CTRL_1246.3,Gap Status: 47_CTRL_1177.1,Gap Status: 46_CTRL_1154.2,Gap Status: 41_CTRL_CTRL.1,Gap Status: 40_CTRL_CTRL.3,Gap Status: 38_BOCU_1177.2,Gap Status: 14_CTRL_1177.3,Gap Status: 10_CTRL_1154.3,Gap Status: 2_CTRL_CTRL.2,name4plot,C,H,N,O,Cl,S,P,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class
Feature0355,Tris(hydroxymethyl)aminomethane,C4 H11 N O3,121.07387,1,0,NA,674005.054,34847990.85,391292.9121,370792.3817,398291.735,6511564.956,5056713.326,9712781.119,1725054.582,594761.269,30401062.58,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Tris(hydroxymethyl)aminomethane,4,11,1,3,0,0,0,2.75,0.75,-0.5,74.55,0,-3,-Inf,-1.6666666666666667,-4,Other
Feature0354,Trigonelline,C7 H7 N O2,137.04767,42,28,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;Biosynthesis of cofactors;Biosynthesis of phenylpropanoids;Degradation of aromatic compounds;Phenylalanine, tyrosine and tryptophan biosynthesis;Biosynthesis of various plant secondary metabolites;Other",46064910.52,339130.9567,51718600.34,3903291.882,442531.0099,23726286.13,24295771.1,50901307.57,196773.0562,196697.4919,22605635.74,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Trigonelline,7,7,1,2,0,0,0,1,0.2857142857142857,0,60.3,5,3,0.5,0.6,2,Lignin
Feature0353,Tolycaine,C15 H22 N2 O3,278.16307,24,52,NA,16434511.28,3419382.815,36470234.56,11265016.05,3528787.658,14522512.01,11967720.32,36526496.64,27811161.05,2151670.045,12385118.7,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Tolycaine,15,22,2,3,0,0,0,1.4666666666666666,0.2,-0.666666666666667,79.30000000000001,6,3,0.1,0.21739130434782608,1,Lignin
Feature0352,Tn Antigen,C11 H20 N2 O8,308.12198,10,6,NA,2420508.889,7620814.456,3307563.828,58565398.39,3376769.114,1581340.089,1784951.338,3638273.613,13136636.35,4732440.72,1368429.538,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Tn Antigen,11,20,2,8,0,0,0,1.8181818181818181,0.7272727272727273,0.18181818181818166,55.11818181818182,3,-5,-7,-0.6,-7,Carbohydrate
Feature0351,Tiglic acid,C5 H8 O2,100.05241,59,1,NA,1772321.627,14697997.1,2328657.949,25677963.25,10809894.1,612580.6904,927209.7927,2216894.399,21677333.07,11997089.32,1006185.538,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Tiglic acid,5,8,0,2,0,0,0,1.6,0.4,-0.7999999999999998,83.1,2,0,0,0.25,0,Protein
Feature0350,Thymine,C5 H6 N2 O2,126.04289,38,52,Metabolic pathways;Other,3387278.664,23543722.39,5155244.177,22015975.74,13900493.5,37859576.79,31724700.36,5959618.287,7835224.62,15605612.85,33070548.9,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Thymine,5,6,2,2,0,0,0,1.2,0.4,0.7999999999999998,37.5,4,2,0,0.5,0,Lignin
Feature0349,Tetrolic Acid,C4 H4 O2,84.02115,12,0,Metabolic pathways;Other,39266156.44,2950992.257,45877381.72,4073170.358,2002077.2,62746290.33,104175634.8,46684150.33,3521644.45,3114934.562,54908466.05,Full gap,No gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Tetrolic Acid,4,4,0,2,0,0,0,1,0.5,0,60.3,3,1,0.5,0.6666666666666666,1,Lignin
Feature0348,tert-Butyl N-[1-(aminocarbonyl)-3-methylbutyl]carbamate,C11 H22 N2 O3,230.16305,12,54,NA,16279884.24,15994686.15,39933235.51,38730773.53,10573331.77,17673350.22,15172729.18,55184813.47,35322080.74,9538221.14,15221130.38,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,tert-Butyl N-[1-(aminocarbonyl)-3-methylbutyl]carbamate,11,22,2,3,0,0,0,2,0.2727272727272727,-0.9090909090909092,86.2090909090909,2,-1,-0.5,-0.2,-3,Lipid
Feature0347,Stavudine,C10 H12 N2 O4,224.07968,31,4,Metabolic pathways;Biosynthesis of cofactors;Other,23094443.17,135086.3951,20650018.67,173495.4315,127837.1397,153572.7473,124227.0571,27404385.7,91413.62191,115706.2144,110648.9786,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Stavudine,10,12,2,4,0,0,0,1.2,0.4,0.20000000000000018,54.599999999999994,6,2,0,0.3333333333333333,0,Lignin
Feature0346,Sorbic acid,C6 H8 O2,112.05238,61,206,Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Other,9285142.337,17109254.25,10704542.06,68834038.48,1390273.889,939522.4138,540774.418,12551912.39,71554427.04,25196534.76,866153.1403,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Sorbic acid,6,8,0,2,0,0,0,1.3333333333333333,0.3333333333333333,-0.666666666666667,79.30000000000001,3,1,0.25,0.4,1,Lignin
Feature0345,Pyrone,C5 H4 O2,96.02111,7,114,Metabolic pathways;Microbial metabolism in diverse environments;Other,26460623.12,3547294.169,29150252.23,3441823.039,1525981.483,64194803.24,53023615.86,31537560.82,3875117.765,1245538.434,66873223.6,Full gap,No gap,Full gap,No gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Pyrone,5,4,0,2,0,0,0,0.8,0.4,0,60.3,4,2,0.6666666666666666,0.75,2,Condensed HC
Feature0344,pyroglutamine,C5 H8 N2 O2,128.05857,22,1,Metabolic pathways;Cyanoamino acid metabolism;Other,12742326.78,5044334.166,22047645.54,9585422.223,5195486.404,41678790.75,35624312.29,24591202.12,11659065.77,4081557.37,42820405.02,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,pyroglutamine,5,8,2,2,0,0,0,1.6,0.4,0.3999999999999999,48.9,3,1,-1,0,-1,Protein
Feature0343,Pyrogallol,C6 H6 O3,126.03166,32,6,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Other,29649675.29,974331.7091,31899564.66,745245.1381,515620.0319,48371049.54,23349288.12,31896697.29,2448496.692,318563.1165,22630026.57,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Pyrogallol,6,6,0,3,0,0,0,1,0.5,0,60.3,4,1,0.3333333333333333,0.5555555555555556,1,Lignin
Feature0342,Pyridoxine,C8 H11 N O3,169.07391,21,30,Metabolic pathways;Microbial metabolism in diverse environments;Biosynthesis of cofactors;Other,57912043.46,8774005.865,63456272.09,24651770.3,24332238.1,30581786.08,24871255.15,76594864.66,4291693.478,3072573.394,25089839.3,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Pyridoxine,8,11,1,3,0,0,0,1.375,0.375,-0.25,67.425,4,1,0,0.2727272727272727,0,Lignin
Feature0341,PYRIDOXAMINE,C8 H12 N2 O2,168.08991,39,40,Metabolic pathways;Microbial metabolism in diverse environments;Other,75794629.56,102211110.6,76766693.41,94057777.63,98074036.22,78782069.11,76539105.1,98396921.02,100281250.7,92693873.19,77336422.28,Full gap,No gap,No gap,No gap,No gap,Full gap,No gap,No gap,No gap,No gap,No gap,PYRIDOXAMINE,8,12,2,2,0,0,0,1.5,0.25,-0.25,67.425,4,2,0,0.2,0,Lipid
Feature0340,propionyl adenylate,C13 H17 N5 O5,323.12166,3,308,NA,2236505.999,1516125.193,5147073.302,1686939.819,1342894.605,33985171.3,36064848.33,13967134.4,1280267.188,2152698.551,23905828.97,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,propionyl adenylate,13,17,5,5,0,0,0,1.3076923076923077,0.38461538461538464,0.6153846153846154,42.76153846153846,8,3,-0.6666666666666666,0.09090909090909091,-2,Lignin
Feature0339,"Propane, 1,3-diacetoxy-2-acetoxymethyl-2-nitro-",C10 H15 N O8,277.07983,3,0,NA,60407280.02,52801671.85,66481938.59,28537313.26,24919163.42,74521704.16,72967174.03,79578756.83,30913594.84,44972548.88,55412832.97,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,"Propane, 1,3-diacetoxy-2-acetoxymethyl-2-nitro-",10,15,1,8,0,0,0,1.5,0.8,0.3999999999999999,48.9,4,-4,-5,-0.2,-5,Carbohydrate
Feature0338,Proline,C5 H9 N O2,115.06328,32,31,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;ABC transporters;Protein digestion and absorption;Aminoacyl-tRNA biosynthesis;Central carbon metabolism in cancer;D-Amino acid metabolism;Other,144024699.1,211678334.1,161081546,330919776.1,114082077.8,868757169,780619131.3,228606910.2,214582720.9,161977776.7,739390499.3,Full gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,Proline,5,9,1,2,0,0,0,1.8,0.4,-0.40000000000000036,71.7,2,0,-0.5,0,-1,Protein
Feature0337,pro-his,C11 H16 N4 O3,252.12226,9,80,NA,4951341.217,14914061.64,21732819.24,54869280.82,14256238.3,1362821.195,1191868.175,20356069.12,24634919.22,15369258.7,1487006.66,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,pro-his,11,16,4,3,0,0,0,1.4545454545454546,0.2727272727272727,0.18181818181818166,55.11818181818182,6,3,-0.25,0.09090909090909091,-1,Lignin
Feature0336,Piptamine(antibiotic),C23 H41 N,331.32396,7,0,NA,101307631.2,97844066.32,103550849.2,384502.8612,1480084.268,2559436.916,1009250.539,214982.0962,1173106.326,210449.3347,1938389.419,Full gap,No gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Piptamine(antibiotic),23,41,1,0,0,0,0,1.7826086956521738,0,-1.6521739130434785,107.38695652173914,4,4,0.13636363636363635,0.13636363636363635,3,Lipid
Feature0335,Pipecolic acid,C6 H11 N O2,129.07898,57,180,"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of plant secondary metabolites;Tropane, piperidine and pyridine alkaloid biosynthesis;Other",1304467.419,11529060.82,1389289.66,10574871.21,4383900.625,58218088.17,48345471.72,1579476.278,4271279.632,6519986.873,47878766.76,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Pipecolic acid-peak2,6,11,1,2,0,0,0,1.8333333333333333,0.3333333333333333,-0.666666666666667,79.30000000000001,2,0,-0.3333333333333333,0,-1,Protein
Feature0334,Pipecolic acid,C6 H11 N O2,129.07895,57,47,"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of plant secondary metabolites;Tropane, piperidine and pyridine alkaloid biosynthesis;Other",2104577.123,11175078.26,2500005.515,44241587.13,4179125.868,640004.2228,488723.1919,2963652.003,22286421.91,9670294.956,394099.0289,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Pipecolic acid-peak1,6,11,1,2,0,0,0,1.8333333333333333,0.3333333333333333,-0.666666666666667,79.30000000000001,2,0,-0.3333333333333333,0,-1,Protein
Feature0333,Pinolenic acid,C18 H30 O2,278.22458,58,15,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of plant secondary metabolites;Other,3580158.838,4409291.155,4876251.053,25695241.62,4583602.146,3537854.291,4870207.123,5672454.417,83292773.72,4106525.856,3598984.271,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Pinolenic acid,18,30,0,2,0,0,0,1.6666666666666667,0.1111111111111111,-1.4444444444444446,101.46666666666667,4,2,0.125,0.17647058823529413,2,Lipid
Feature0332,Phloroglucinol,C6 H6 O3,126.03166,32,66,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Other,51467359.65,4352656.787,63626727.64,4622581.549,7371588.083,97424375.8,93209775.79,68802444.99,3772527.185,4447962.81,119564432.7,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Phloroglucinol,6,6,0,3,0,0,0,1,0.5,0,60.3,4,1,0.3333333333333333,0.5555555555555556,1,Lignin
Feature0331,Phenacetin,C10 H13 N O2,179.0946,104,25,"Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Other",13548789.84,116143325.4,15489863.59,94448533.07,85724553.06,94885993.38,80293091.57,24779558.92,111673709.4,99356311.14,86930432.51,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,No gap,No gap,Full gap,Full gap,No gap,Phenacetin,10,13,1,2,0,0,0,1.3,0.2,-0.5999999999999996,77.39999999999999,5,3,0.2857142857142857,0.375,2,Lignin
Feature0330,"pentane-1,2,3,4,5-pentol",C5 H12 O5,152.06848,9,3,Metabolic pathways;ABC transporters;Other,4841487.385,234377456.2,4222303.651,261079121.4,164320708.3,4582213.136,3261469.562,4284874.699,254010315.5,164419268.8,4771707.823,Full gap,Full gap,Missing ions,Full gap,Missing ions,Missing ions,Full gap,Full gap,No gap,Full gap,Missing ions,"pentane-1,2,3,4,5-pentol",5,12,0,5,0,0,0,2.4,1,-0.40000000000000036,71.7,0,-5,-Inf,-1,-5,Carbohydrate
Feature0329,Penicillic acid,C8 H10 O4,170.05795,48,60,Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Other,590356.9819,17129352.8,431193.241,202007329.2,3757693.735,508773.3148,635131.9975,748424.32,128985985.4,7680196.916,571921.0469,Full gap,Full gap,No gap,Full gap,No gap,No gap,Full gap,No gap,No gap,Full gap,Full gap,Penicillic acid,8,10,0,4,0,0,0,1.25,0.5,-0.25,67.425,4,0,0,0.3333333333333333,0,Lignin
Feature0328,"Octahydro-1,6,7,8-indolizinetetrol",C8 H15 N O4,189.10014,32,77,NA,412820.0368,1173987.828,350067.6861,35435823.7,4558935.109,389305.3552,141757.1259,270388.8905,65966584.8,20551953,337049.2418,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,"Octahydro-1,6,7,8-indolizinetetrol",8,15,1,4,0,0,0,1.875,0.5,-0.5,74.55,2,-2,-1,-0.2,-3,Protein
Feature0327,O-Ethylthreonine,C6 H13 N O3,147.08956,31,24,Biosynthesis of secondary metabolites;Cyanoamino acid metabolism,210346.2974,4910933.728,217397.5366,1317539.812,202500.3907,13357788.73,9857444.051,415134.1355,32343291.19,7613082.665,10868139.7,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,O-Ethylthreonine,6,13,1,3,0,0,0,2.1666666666666665,0.5,-0.666666666666667,79.30000000000001,1,-2,-1.5,-0.42857142857142855,-3,Protein
Feature0326,N~2~-Acetyl-L-ornithine,C7 H14 N2 O3,174.10047,23,29,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Other,2382368.636,5821622.652,2109928.011,878399.7643,1209718.703,307467044.3,255608768.1,3070730.126,2201579.66,6211330.907,233302422.9,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,N~2~-Acetyl-L-ornithine,7,14,2,3,0,0,0,2,0.42857142857142855,-0.2857142857142856,68.44285714285714,2,-1,-1.5,-0.42857142857142855,-3,Protein
Feature0325,NP-021733,C7 H13 N O2,143.09464,55,31,ABC transporters,288284.4422,198335.1181,309217.1746,205395.0731,262059.1761,400087.7648,313634.2061,450409.9623,185705.2072,197089.6718,300405.7188,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,NP-021733,7,13,1,2,0,0,0,1.8571428571428572,0.2857142857142857,-0.8571428571428568,84.72857142857141,2,0,-0.25,0,-1,Lipid
Feature0324,NP-019988,C10 H10 O4,194.05792,80,6,Metabolic pathways;Biosynthesis of secondary metabolites;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids,725389.5037,4155541.268,433631.2267,12619960.15,46500865.7,925225.7673,918385.2163,951033.3837,3940799.69,2013171.869,315320.524,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,NP-019988,10,10,0,4,0,0,0,1,0.4,-0.20000000000000018,66,6,2,0.3333333333333333,0.5,2,Lignin
Feature0323,NP-019811,C6 H7 N O2,125.04764,21,108,"Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Tropane, piperidine and pyridine alkaloid biosynthesis;Other",2892494.472,2822106.403,3312983.863,2448811.617,2189409.222,93514326.83,76655662.05,332732.4153,1477634.073,870476.7369,80173097.48,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,NP-019811,6,7,1,2,0,0,0,1.1666666666666667,0.3333333333333333,0,60.3,4,2,0.3333333333333333,0.5,1,Lignin
Feature0322,NP-019445,C10 H10 O4,194.05792,80,10,Metabolic pathways;Biosynthesis of secondary metabolites;Phenylpropanoid biosynthesis;Biosynthesis of phenylpropanoids,298376.2627,35205229.57,378375.8359,138087651.1,368485398.7,625628.3388,832934.6638,618836.033,30560023.26,11557381.19,653519.9344,Full gap,Full gap,No gap,Full gap,Missing ions,Missing ions,Full gap,Missing ions,Full gap,Full gap,Missing ions,NP-019445,10,10,0,4,0,0,0,1,0.4,-0.20000000000000018,66,6,2,0.3333333333333333,0.5,2,Lignin
Feature0321,NP-016455,C11 H18 N2 O4,242.12665,7,6,NA,197421.7644,502190.558,497519.554,1188676.073,281377.6165,86479989.79,71111535.02,721528.3349,766646.859,466542.2861,76876229.75,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,NP-016455,11,18,2,4,0,0,0,1.6363636363636365,0.36363636363636365,-0.3636363636363633,70.66363636363636,4,0,-0.4,0,-2,Protein
Feature0320,NP-014287,C18 H32 O3,296.23516,26,20,Metabolic pathways;Other,78476547.45,9191325.299,57215406.64,18133790.89,11004270.6,10533277.63,9817493.875,112152438.9,21159666.47,10496050.1,8713759.954,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,NP-014287,18,32,0,3,0,0,0,1.7777777777777777,0.16666666666666666,-1.4444444444444446,101.46666666666667,3,0,0,0.09090909090909091,0,Lipid
Feature0319,NP-013538,C12 H16 O8,288.08457,11,7,NA,4351729.945,2201883.116,10919020.32,1898040.174,1374869.79,20422916.04,18697013.35,18320994.48,1979603.421,1585420.157,17111682.48,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,NP-013538,12,16,0,8,0,0,0,1.3333333333333333,0.6666666666666666,0,60.3,5,-3,-0.75,0.125,-3,Tannin
Feature0318,NP-011220,C11 H18 N2 O2,210.13681,14,9,NA,105404977.5,164116057,122786384.8,132220984.8,122864993.5,113561894,99682009.8,133240537.3,146213813.9,132210361.6,100299326.7,Full gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,No gap,NP-011220,11,18,2,2,0,0,0,1.6363636363636365,0.18181818181818182,-0.7272727272727275,81.02727272727273,4,2,0,0.125,0,Lipid
Feature0317,NP-007065,C8 H10 O3,154.06301,53,30,Microbial metabolism in diverse environments;Other,62069841.04,2063500.329,61871623.56,2884419.187,1495822.807,517131.7473,164126.5325,83567956.88,5538813.792,1638533.776,623144.2577,Full gap,No gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,NP-007065,8,10,0,3,0,0,0,1.25,0.375,-0.5,74.55,4,1,0.2,0.38461538461538464,1,Lignin
Feature0316,NP-003553,C20 H34 O4,338.24574,42,6,Metabolic pathways;Biosynthesis of secondary metabolites;Other,1207236.657,1987907.113,1515247.909,72871105.33,1960875.877,2259043.964,2538818.539,1644353.721,208846209.6,1985436.135,1773449.209,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,Full gap,No gap,Full gap,Full gap,NP-003553,20,34,0,4,0,0,0,1.7,0.2,-1.2999999999999998,97.35,4,0,0,0.1111111111111111,0,Lipid
