FeatureID,Name,Class,BiogeochemicalClass,FIShScore,Fungi,GFE,Comment,log2FC,pval,pval.adj
Feature0283,"Methyl 4-hydroxy-2-methoxy-3,6-dimethylbenzoate",Phenol,Benzoic acids,46.36,1246,75.84545455,Upregulated,0.419117563,0.002108772,0.010930866
Feature0282,"Methyl 4,6-dideoxy-4-[(2,4-dihydroxybutanoyl)amino]hexopyranoside",Amino Sugar,Cyclic amines,62.93,1246,70.66363636,Downregulated,-0.200126474,0.005926914,0.02156883
Feature0281,"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate",Phenol,Cyclic amines,65.29,1246,55.11818182,Upregulated,0.07329056,0.010821129,0.030617922
Feature0281,"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate",Phenol,Cyclic amines,65.29,1154,55.11818182,Upregulated,0.081585336,0.0028804,0.012821291
Feature0280,methoxyresorcinol,Phenol,Phenols,38.95,1246,68.44285714,Upregulated,0.63269069,0.001211511,0.007494938
Feature0280,methoxyresorcinol,Phenol,Phenols,38.95,1154,68.44285714,Upregulated,0.283951337,0.013796394,0.034586803
Feature0279,Methionine sulfoxide,Amino Sugar,Amino acids & derivatives,90,1246,60.3,Downregulated,-0.277493154,1.82E-04,0.005044472
Feature0279,Methionine sulfoxide,Amino Sugar,Amino acids & derivatives,90,1154,60.3,Downregulated,-0.091109347,0.009506123,0.026913727
Feature0278,Methionine,Protein,Amino acids & derivatives,,1154,71.7,Upregulated,0.134283793,0.011407601,0.030613094
Feature0276,Mephedrone,Unsaturated HC,Cyclic amines,,1246,86.20909091,Downregulated,-0.110307725,0.00853052,0.027075128
Feature0275,Meconin,Phenol,Benzoic acids,,1246,66,Downregulated,-0.096902315,0.018987997,0.04471367
Feature0275,Meconin,Phenol,Benzoic acids,,1154,66,Upregulated,0.172251005,4.47E-04,0.003882178
Feature0271,Linamarin,Amino Sugar,Nitriles,,1246,66,Upregulated,0.097245533,6.74E-04,0.006305688
Feature0271,Linamarin,Amino Sugar,Nitriles,,1154,66,Downregulated,-0.129630193,7.92E-05,0.001718957
Feature0270,Levulinic acid,Amino Sugar,Carbohydrates,,1154,71.7,Upregulated,0.215397922,0.005586797,0.019237557
Feature0270,Levulinic acid,Amino Sugar,Carbohydrates,,1177,71.7,Upregulated,0.22598022,0.0054597,0.040669197
Feature0268,leu-phe,Phenol,Amino acids & derivatives,,1246,79.3,Upregulated,0.102108491,0.010320411,0.029452894
Feature0267,Leu-Leu,Lipid,Amino acids & derivatives,,1246,88.8,Upregulated,0.135889338,0.004951069,0.019642827
Feature0264,Leu-arg,Lipid,Amino acids & derivatives,,1246,69.8,Upregulated,0.310905099,0.005400345,0.020748695
Feature0257,Lactamide,Other,Amino acids & derivatives,,1246,60.3,Downregulated,-0.087409631,0.003229318,0.014374404
Feature0255,L-Threonine,Carbohydrate,Amino acids & derivatives,,1246,60.3,Downregulated,-0.044403609,0.014668625,0.036924469
Feature0253,L-Saccharopine,Protein,Amino acids & derivatives,,1246,65.48181818,Upregulated,0.186218822,0.016281264,0.039883634
Feature0253,L-Saccharopine,Protein,Amino acids & derivatives,,1154,65.48181818,Upregulated,0.400546148,0.001721137,0.009815859
Feature0252,L-Pyroglutamic acid,Phenol,Amino acids & derivatives,,1154,48.9,Downregulated,-0.296309151,1.49E-04,0.002008641
Feature0252,L-Pyroglutamic acid,Phenol,Amino acids & derivatives,,1177,48.9,Downregulated,-0.270511243,9.41E-05,0.004354784
Feature0250,L-Lysine,Other,Amino acids & derivatives,,1154,79.3,Upregulated,0.080953229,0.002728115,0.012604455
Feature0249,L-Iditol,Carbohydrate,Amino acids & derivatives,,1154,69.8,Upregulated,0.289456086,2.26E-05,8.26E-04
Feature0248,L-Histidine,Protein,Amino acids & derivatives,,1246,41.3,Downregulated,-0.054693024,0.00886293,0.027249861
Feature0248,L-Histidine,Protein,Amino acids & derivatives,,1154,41.3,Upregulated,0.110136255,0.003101995,0.013014119
Feature0247,L-Glutamine,Amino Sugar,Amino acids & derivatives,,1246,48.9,Upregulated,0.293959943,0.002931684,0.013545124
Feature0247,L-Glutamine,Amino Sugar,Amino acids & derivatives,,1154,48.9,Upregulated,0.341045265,5.37E-04,0.004215465
Feature0247,L-Glutamine,Amino Sugar,Amino acids & derivatives,,1177,48.9,Upregulated,0.372469752,0.003421487,0.02973435
Feature0244,L-Cystathionine,Amino Sugar,Amino acids & derivatives,,1154,52.15714286,Upregulated,0.312029208,5.63E-04,0.004278101
Feature0243,L-Aspartic acid,Carbohydrate,Amino acids & derivatives,,1154,31.8,Upregulated,0.041277003,0.017696636,0.041672723
Feature0241,L-Alanyl-L-proline,Protein,Amino acids & derivatives,,1246,67.425,Upregulated,0.144709454,0.021418455,0.048850308
Feature0241,L-Alanyl-L-proline,Protein,Amino acids & derivatives,,1154,67.425,Upregulated,0.091305286,0.012362557,0.031866865
Feature0240,L-(+)-Valine,Protein,Amino acids & derivatives,42.55,1246,83.1,Upregulated,0.254698097,5.69E-04,0.005768213
Feature0237,Inosine-5'-monophosphate (IMP),Other,Other,66.67,1246,31.8,Downregulated,-0.590715438,0.005231869,0.02039402
Feature0237,Inosine-5'-monophosphate (IMP),Other,Other,66.67,1154,31.8,Downregulated,-0.645609574,5.41E-07,1.25E-04
Feature0237,Inosine-5'-monophosphate (IMP),Other,Other,66.67,1177,31.8,Downregulated,-0.755531373,0.001726484,0.01853431
Feature0236,Inosine,Phenol,Amino acids & derivatives,92.31,1246,31.8,Downregulated,-0.256495232,0.007748331,0.025555059
Feature0235,Indole-3-acetic acid,Phenol,Benzoic acids,,1154,66,Upregulated,0.297452382,0.001266386,0.007921788
Feature0235,Indole-3-acetic acid,Phenol,Benzoic acids,,1177,66,Upregulated,0.251024898,0.003401811,0.02973435
Feature0234,Imidazoleacetic acid,Phenol,Benzoic acids,,1154,37.5,Upregulated,0.289078018,1.39E-04,0.002008641
Feature0234,Imidazoleacetic acid,Phenol,Benzoic acids,,1177,37.5,Upregulated,0.230095163,0.003332078,0.02973435
Feature0233,Hypoxanthine,Condensed HC,Cyclic amines,73.08,1246,3.3,Downregulated,-0.375207964,0.009108173,0.027249861
Feature0233,Hypoxanthine,Condensed HC,Cyclic amines,73.08,1154,3.3,Downregulated,-0.293688853,0.010425757,0.02861204
Feature0232,Hordenine,Lipid,Phenols,88.89,1246,88.8,Downregulated,-0.098309258,0.008784008,0.027249861
Feature0232,Hordenine,Lipid,Phenols,89.89,1154,88.8,Downregulated,-0.603474495,0.001258163,0.007921788
Feature0232,Hordenine,Lipid,Phenols,90.89,1177,88.8,Downregulated,-0.649180826,6.35E-04,0.009653826
Feature0229,H-arg-glu-OH,Protein,Amino acids & derivatives,,1154,49.93636364,Upregulated,0.165384249,7.26E-04,0.005193777
Feature0228,Guanine,Phenol,Amino acids & derivatives,77.78,1246,-8.1,Downregulated,-0.404169114,7.25E-04,0.006613673
Feature0226,Glycerylphosphorylethanolamine,Other,Lipids,,1246,83.1,Upregulated,0.206170627,0.0038131,0.015464239
Feature0226,Glycerylphosphorylethanolamine,Other,Lipids,,1154,83.1,Upregulated,0.238684877,0.016262286,0.0393095
Feature0225,Glycerol 3-phosphate,Other,Other,,1154,79.3,Upregulated,0.202124323,0.008140132,0.024759568
Feature0225,Glycerol 3-phosphate,Other,Other,,1177,79.3,Upregulated,0.243007796,0.002448589,0.024154995
Feature0224,Glutaric acid,Carbohydrate,Carbohydrates,94.74,1246,60.3,Downregulated,-0.11043763,0.003742101,0.015346817
Feature0224,Glutaric acid,Carbohydrate,Carbohydrates,95.74,1154,60.3,Downregulated,-0.145312078,4.95E-04,0.00410682
Feature0223,Glucosamine,Carbohydrate,Carbohydrates,58.33,1246,60.3,Upregulated,0.257072567,4.11E-04,0.005434001
Feature0223,Glucosamine,Carbohydrate,Carbohydrates,59.33,1154,60.3,Upregulated,0.221453121,9.21E-04,0.006346153
Feature0222,Furan,Phenol,Other,,1154,74.55,Upregulated,0.121708937,0.008099844,0.024759568
Feature0221,DL-α-AMINOSUBERIC ACID,Protein,Other,,1246,74.55,Upregulated,0.460549563,2.22E-04,0.005044472
Feature0221,DL-α-AMINOSUBERIC ACID,Protein,Other,,1154,74.55,Upregulated,0.139534126,0.010381771,0.02861204
Feature0219,DL-Stachydrine,Lipid,Other,,1154,84.72857143,Upregulated,0.371672524,0.002068775,0.010943521
Feature0218,DL-Carnitine,Protein,Carboxylic acids,0,1246,84.72857143,Upregulated,0.312485938,1.26E-04,0.004603714
Feature0218,DL-Carnitine,Protein,Carboxylic acids,0,1154,84.72857143,Upregulated,0.382738979,1.51E-04,0.002008641
Feature0218,DL-Carnitine,Protein,Carboxylic acids,0,1177,84.72857143,Upregulated,0.368018966,4.24E-04,0.007743704
Feature0217,DL-Carbidopa,Phenol,Aromatic amines,66.67,1246,60.3,Upregulated,0.084345224,7.48E-05,0.004527273
Feature0217,DL-Carbidopa,Phenol,Aromatic amines,67.67,1154,60.3,Upregulated,0.107547693,8.73E-06,4.55E-04
Feature0216,DL-Arginine,Other,Amino acids & derivatives,96,1246,50.8,Downregulated,-0.049896106,0.017824224,0.042521843
Feature0215,"DL-2,6-Diaminopimelic acid",Amino Sugar,Carboxylic acids,93.33,1246,60.3,Upregulated,0.223458102,9.40E-04,0.007140369
Feature0213,"Diethyl 1-[4,6-diamino-2-(methylsulfanyl)-5-pyrimidinyl]-1,2-hydrazinedicarboxylate",Protein,Cyclic amines,12.5,1246,34.39090909,Upregulated,0.341937797,2.63E-04,0.005044472
Feature0213,"Diethyl 1-[4,6-diamino-2-(methylsulfanyl)-5-pyrimidinyl]-1,2-hydrazinedicarboxylate",Protein,Cyclic amines,13.5,1154,34.39090909,Upregulated,0.338008271,0.013834721,0.034586803
Feature0212,Diacetylene glycol,Phenol,Other,38.43,1246,69.8,Downregulated,-0.209281818,0.014488482,0.036724277
Feature0211,Di(2-Tetrahydrofurylmethyl)amine,Lipid,Aromatic amines,,1177,94.5,Upregulated,0.290920062,2.29E-04,0.005957631
Feature0210,D-PANTOTHENIC ACID,Amino Sugar,Nitrated lipids,,1246,72.96666667,Upregulated,0.104179185,9.47E-04,0.007140369
Feature0208,D-Glucose 6-phosphate,Carbohydrate,Carbohydrates,,1154,60.3,Downregulated,-0.08724822,1.48E-04,0.002008641
Feature0208,D-Glucose 6-phosphate,Carbohydrate,Carbohydrates,,1177,60.3,Downregulated,-0.066682669,4.47E-04,0.00776514
Feature0207,D-Glucono-delta-lactone,Carbohydrate,Phenols,97.22,1246,50.8,Downregulated,-0.198757079,9.59E-04,0.007140369
Feature0207,D-Glucono-delta-lactone,Carbohydrate,Phenols,98.22,1154,50.8,Downregulated,-0.151316675,0.002059561,0.010943521
Feature0206,D-Gluconic acid,Carbohydrate,Carbohydrates,100,1246,50.8,Downregulated,-0.059759579,0.003133819,0.014121531
Feature0206,D-Gluconic acid,Carbohydrate,Carbohydrates,101,1154,50.8,Downregulated,-0.110392306,0.007018326,0.022083527
Feature0206,D-Gluconic acid,Carbohydrate,Carbohydrates,102,1177,50.8,Downregulated,-0.124801528,3.27E-04,0.006376896
Feature0205,Cytonic acid A,Phenol,Lipids,,1246,74.55,Upregulated,0.494732676,2.56E-04,0.005044472
Feature0203,Cytarabine,Phenol,Cyclic amines,78.26,1246,41.3,Downregulated,-0.122424181,0.01613831,0.039800562
Feature0203,Cytarabine,Phenol,Cyclic amines,79.26,1154,41.3,Downregulated,-0.159095585,0.005986224,0.019945088
Feature0201,Cyclo(leucylprolyl),Lipid,Amino acids & derivatives,,1154,81.02727273,Upregulated,0.036539674,0.016593024,0.03984509
Feature0200,Citric acid,Other,Carboxylic acids,,1154,31.8,Downregulated,-0.057767697,0.003236555,0.013273513
Feature0199,Choline O-Sulfate,Other,Other,,1246,60.3,Upregulated,0.218996216,1.78E-04,0.005044472
Feature0198,Choline,Other,Other,,1246,105.9,Downregulated,-0.098865309,0.001942901,0.010428806
Feature0197,Cetrimonium,Lipid,Lipids,,1246,117.3,Downregulated,-0.0697983,0.012943737,0.034235246
Feature0195,Caffeic acid,Phenol,Benzoic acids,71.43,1154,60.3,Upregulated,0.471323621,0.002221664,0.011584393
Feature0193,Butyl glyoxylate,Protein,Lipids,91.31,1246,79.3,Upregulated,0.178225952,0.001789969,0.009899072
Feature0193,Butyl glyoxylate,Protein,Lipids,92.31,1154,79.3,Upregulated,0.471916659,1.20E-04,0.001971759
Feature0193,Butyl glyoxylate,Protein,Lipids,93.31,1177,79.3,Upregulated,0.442293398,0.00199591,0.020814488
Feature0191,"bis-beta-D-fructofuranose 1,2':2,3'-dianhydride",Carbohydrate,Carbohydrates,63.41,1246,60.3,Downregulated,-0.102847412,8.81E-04,0.007140369
Feature0191,"bis-beta-D-fructofuranose 1,2':2,3'-dianhydride",Carbohydrate,Carbohydrates,64.41,1154,60.3,Downregulated,-0.318148233,0.003821681,0.01499907
Feature0191,"bis-beta-D-fructofuranose 1,2':2,3'-dianhydride",Carbohydrate,Carbohydrates,65.41,1177,60.3,Downregulated,-0.262213006,4.10E-05,0.004354784
Feature0190,"bis-beta-D-fructofuranose 1,2':2,3'-dianhydride",Carbohydrate,Carbohydrates,66.41,1154,60.3,Downregulated,-0.222503113,9.33E-05,0.001892312
Feature0190,"bis-beta-D-fructofuranose 1,2':2,3'-dianhydride",Carbohydrate,Carbohydrates,67.41,1177,60.3,Downregulated,-0.212411791,3.32E-04,0.006376896
Feature0189,Bis(triaminomethyl) carbonate,Other,Nitrated lipids,2.92,1246,-53.7,Downregulated,-0.140025998,0.005907976,0.02156883
Feature0187,"beta-D-Galactopyranosyl-(1->4)-3,6-anhydro-alpha-L-galactopyranosyl-(1->3)-beta-D-galactopyranose",Carbohydrate,Lipids,59.26,1246,60.3,Downregulated,-0.121086142,0.005252158,0.02039402
Feature0187,"beta-D-Galactopyranosyl-(1->4)-3,6-anhydro-alpha-L-galactopyranosyl-(1->3)-beta-D-galactopyranose",Carbohydrate,Lipids,60.26,1154,60.3,Downregulated,-0.198870401,4.77E-05,0.001337902
Feature0185,Beauvericin,Phenol,Other,41.18,1246,79.3,Downregulated,-0.090300784,0.007077121,0.023918047
Feature0184,Azobenzene,Unsaturated HC,Aromatic amines,5.43,1246,69.8,Upregulated,0.453614503,2.35E-04,0.005044472
Feature0184,Azobenzene,Unsaturated HC,Aromatic amines,6.43,1177,69.8,Downregulated,-0.116228506,0.002837012,0.026551521
Feature0183,Asparagine,Carbohydrate,Aromatic amines,7.43,1154,31.8,Downregulated,-0.153469783,0.004816985,0.017069897
Feature0182,arg-val,Lipid,Amino acids & derivatives,78.35,1246,65.48181818,Upregulated,0.14286815,0.007820172,0.025555059
Feature0182,arg-val,Lipid,Amino acids & derivatives,78.35,1154,65.48181818,Upregulated,0.178766968,0.002312968,0.011729474
Feature0180,Anhydroecgonine,Phenol,Carboxylic acids,66.67,1246,79.3,Downregulated,-0.24432379,0.006086547,0.02156883
Feature0179,AMIDINOPROLINE,Protein,Carboxylic acids,67.67,1177,50.8,Upregulated,0.061237418,0.002706622,0.025997821
Feature0177,Agmatine,Other,Amino acids & derivatives,30.77,1246,71.7,Downregulated,-0.315322757,0.013265974,0.034835111
Feature0177,Agmatine,Other,Amino acids & derivatives,31.77,1154,71.7,Downregulated,-0.3057688,0.006192266,0.020361956
Feature0175,Adenine,Unsaturated HC,Amino acids & derivatives,73.33,1246,3.3,Downregulated,-0.477333653,1.21E-05,0.001131044
Feature0175,Adenine,Unsaturated HC,Amino acids & derivatives,74.33,1154,3.3,Downregulated,-0.190651445,4.45E-04,0.003882178
Feature0174,Acetyl-L-carnitine,Protein,Amino acids & derivatives,,1246,79.3,Upregulated,0.340914673,3.07E-04,0.005100954
Feature0173,[Similar to: Valylproline; ΔMass: 243.0478 Da],Carbohydrate,Amino acids & derivatives,,1246,63.65294118,Downregulated,-0.192651124,4.38E-04,0.005434001
Feature0173,[Similar to: Valylproline; ΔMass: 243.0478 Da],Carbohydrate,Amino acids & derivatives,,1154,63.65294118,Downregulated,-0.336897149,0.009469229,0.026913727
Feature0172,[Similar to: Trimethoprim impurity C; ΔMass: 188.0284 Da],Phenol,Amino acids & derivatives,,1246,93.55,Upregulated,0.034900952,0.015475733,0.038689332
Feature0169,[Similar to: RPH; ΔMass: -155.0695 Da],Lipid,Lipids,,1154,60.3,Downregulated,-0.309759329,1.58E-04,0.002008641
Feature0168,[Similar to: NP-020414; ΔMass: -0.0036 Da],Protein,Lipids,,1154,80.82,Upregulated,0.518252881,0.008407784,0.025362324
Feature0165,[Similar to: NP-016755; ΔMass: -960.7865 Da],Carbohydrate,Lipids,,1246,-42.3,Upregulated,0.031405908,0.002583896,0.012365889
