"","FeatureID","Name","Formula","MW","KEGG Pathways","Metabolika Pathways","name4plot","C","H","N","O","S","P","F","Cl","H_to_C","O_to_C","NOSC","GFE","DBE","DBE_O","AI","AI_mod","DBE_AI","Class","control_means","treatment_means","ratio","log2FC","pval","pval.adj","Comment","Plant"
"13","Feature0272","N-acetyl-LL-2,6-diaminopimelic acid","C9 H16 N2 O5",232.10586,"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of amino acids;Other","Other","N-acetyl-LL-2,6-diaminopimelic acid",9,16,2,5,0,0,0,0,1.77777777777778,0.555555555555556,0,60.3,3,-2,-2,-0.333333333333333,-4,"Amino Sugar",574832.685266612,1809910.53852953,3.14858668429767,1.65470438699069,0.0483684731213234,0.249124987542071,"Upregulated","ERLE"
"14","Feature0270","leu-gln","C11 H21 N3 O4",259.15324,NA,NA,"leu-gln-peak1",11,21,3,4,0,0,0,0,1.90909090909091,0.363636363636364,-0.363636363636363,70.6636363636364,3,-1,-1,-0.333333333333333,-4,"Protein",817660.836268218,2209334.62412872,2.70201839947729,1.43403749877325,0.00477446887655424,0.163286835578155,"Upregulated","ERLE"
"15","Feature0266","Gly-thr","C6 H12 N2 O4",176.0797,"Other",NA,"Gly-thr",6,12,2,4,0,0,0,0,2,0.666666666666667,0.333333333333333,50.8,2,-2,-Inf,-1,-4,"Amino Sugar",579982.369893015,1635450.18314839,2.81982740863324,1.49560686321667,0.024638812830075,0.229541417240435,"Upregulated","ERLE"
"16","Feature0264",NA,"C7 H17 N O10",275.08534,NA,NA,"Feature0264",7,17,1,10,0,0,0,0,2.42857142857143,1.42857142857143,0.857142857142857,35.8714285714286,0,-10,2.75,-6,-11,"Carbohydrate",722368.252976163,238357.603420329,0.329966886609833,-1.59960684290347,0.00140916940524982,0.157526366057548,"Downregulated","ERLE"
"17","Feature0262","Luteolin","C15 H10 O6",286.04782,"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of phenylpropanoids;Other","Other","Luteolin",15,10,0,6,0,0,0,0,0.666666666666667,0.4,0.133333333333333,56.5,11,5,0.555555555555556,0.666666666666667,5,"Condensed HC",30251.830529707,76007.5216899125,2.51249330566208,1.32911975235087,0.00667870945473144,0.17570143334755,"Upregulated","ERLE"
"18","Feature0259","2-Aminomuconic acid","C6 H7 N O4",157.03757,"Metabolic pathways;Other","Other","2-Aminomuconic acid",6,7,1,4,0,0,0,0,1.16666666666667,0.666666666666667,0.666666666666667,41.3,4,0,-1,0.333333333333333,-1,"Tannin",897734.688684078,1383979.05602397,1.54163482092091,0.624461063281414,0.0431515987137127,0.249124987542071,"Upregulated","ERLE"
"19","Feature0255","Troxipide","C15 H22 N2 O4",294.1581,NA,NA,"Troxipide",15,22,2,4,0,0,0,0,1.46666666666667,0.266666666666667,-0.533333333333333,75.5,6,2,0,0.181818181818182,0,"Lignin",674141.828404935,1780998.95489692,2.64187575945389,1.40156262198432,0.012144700131982,0.205108083388393,"Upregulated","ERLE"
"20","Feature0246","9-Hydroxy-2-(2-hydroxy-2-propanyl)-2,3-dihydro-7H-furo[3,2-g]chromen-7-one","C14 H14 O5",262.08415,NA,NA,"9-Hydroxy-2-(2-hydroxy-2-propanyl)-2,3-dihydro-7H-furo[3,2-g]chromen-7-one",14,14,0,5,0,0,0,0,1,0.357142857142857,-0.285714285714286,68.4428571428571,8,3,0.333333333333333,0.478260869565217,3,"Lignin",25849.6748496401,51145.7431275372,1.97858361565617,0.984468035410937,0.0447148849507874,0.249124987542071,"Upregulated","ERLE"
"21","Feature0240","L-Alanyl-L-glutamine","C8 H15 N3 O4",217.10623,"Metabolic pathways;Biosynthesis of amino acids;Other",NA,"L-Alanyl-L-glutamine",8,15,3,4,0,0,0,0,1.875,0.5,0.25,53.175,3,-1,-4,-0.666666666666667,-4,"Protein",253242.096555418,385629.791480402,1.5227712798374,0.606699265381288,0.0248310956949413,0.229541417240435,"Upregulated","ERLE"
"22","Feature0237","MFCD00155202","C10 H12 O4",196.07358,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Other","Other","MFCD00155202-peak2",10,12,0,4,0,0,0,0,1.2,0.4,-0.4,71.7,5,1,0.166666666666667,0.375,1,"Lignin",522915.655842722,4462716.07373304,8.53429424778075,3.09327185303912,0.0106024177023268,0.205108083388393,"Upregulated","ERLE"
"23","Feature0234","2,4,6-Trihydroxyacetophenone","C8 H8 O4",168.0422,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of cofactors;Degradation of aromatic compounds;Other","Superpathway of aromatic compound degradation via 2-oxopent-4-enoate;Superpathway of aromatic compound degradation via 3-oxoadipate;Other","2,4,6-Trihydroxyacetophenone-peak2",8,8,0,4,0,0,0,0,1,0.5,0,60.3,5,1,0.25,0.5,1,"Lignin",437654.0269587,3872582.48935213,8.84850190060646,3.14543321977016,0.00279101740313155,0.159087991978498,"Upregulated","ERLE"
"24","Feature0233",NA,"C12 H15 N3 O9 P2",407.02843,NA,NA,"Feature0233",12,15,3,9,0,2,0,0,1.25,0.75,0.166666666666667,55.55,8,-1,3,-0.6,-6,"Tannin",947473.650532533,184227.475579758,0.194440737719948,-2.36259758196539,0.0129529916657713,0.205108083388393,"Downregulated","ERLE"
"25","Feature0230",NA,"C27 H37 N O7",487.25721,NA,NA,"Feature0230",27,37,1,7,0,0,0,0,1.37037037037037,0.259259259259259,-0.74074074074074,81.4111111111111,10,3,0.105263157894737,0.244444444444444,2,"Lignin",43922.8378750456,69798.670512137,1.58912023650895,0.668228286456521,0.0118465145842386,0.205108083388393,"Upregulated","ERLE"
"26","Feature0225","UNII:74D1OHC38H","C19 H32 O4",324.23021,"Metabolic pathways;Biosynthesis of secondary metabolites;Other",NA,"UNII:74D1OHC38H",19,32,0,4,0,0,0,0,1.68421052631579,0.210526315789474,-1.26315789473684,96.3,4,0,0,0.117647058823529,0,"Lipid",52369.510682567,658377.240584322,12.5717661288649,3.65211543409457,0.0138199655487282,0.205108083388393,"Upregulated","ERLE"
"27","Feature0223","(-)-Shikimic acid","C7 H10 O5",174.05282,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of cofactors;Biosynthesis of plant secondary metabolites;Degradation of aromatic compounds;Biosynthesis of amino acids;Biosynthesis of phenylpropanoids;2-Oxocarboxylic acid metabolism;Biosynthesis of plant hormones;Other","Superpathway of branched chain amino acid biosynthesis;Superpathway of aromatic compound degradation via 2-oxopent-4-enoate;Superpathway of aromatic compound degradation via 3-oxoadipate;Superpathway of chorismate metabolism;Other","(-)-Shikimic acid-peak1",7,10,0,5,0,0,0,0,1.42857142857143,0.714285714285714,0,60.3,3,-2,-1,0.111111111111111,-2,"Tannin",718855.504742701,287240.758565152,0.399580662135937,-1.32344132986428,0.0194944708040775,0.208347156718578,"Downregulated","ERLE"
"28","Feature0222","NP-008177","C28 H41 N O5",471.29858,NA,NA,"NP-008177",28,41,1,5,0,0,0,0,1.46428571428571,0.178571428571429,-1,88.8,9,4,0.136363636363636,0.224489795918367,3,"Lignin",60541.1148559737,114819.213597795,1.89654937592326,0.923376932123757,0.0459495731540043,0.249124987542071,"Upregulated","ERLE"
"29","Feature0190","NP-001596","C16 H30 O4",286.21438,"Metabolic pathways;Other",NA,"NP-001596",16,30,0,4,0,0,0,0,1.875,0.25,-1.375,99.4875,2,-2,-0.166666666666667,0,-2,"Lipid",41771.8658874245,294040.53828662,7.03920047715994,2.81541157472333,0.0168395173125408,0.205108083388393,"Upregulated","ERLE"
"30","Feature0184",NA,"C7 H18 N O7 P",259.0822,NA,NA,"Feature0184",7,18,1,7,0,1,0,0,2.57142857142857,1,-0.857142857142857,84.7285714285714,0,-7,4.5,-3.66666666666667,-9,"Other",1179016.24883845,518119.402449962,0.439450603806697,-1.18622708571468,0.0337716007717302,0.240622655498578,"Downregulated","ERLE"
"31","Feature0183","Valylvaline","C10 H20 N2 O3",216.1473,NA,NA,"Valylvaline",10,20,2,3,0,0,0,0,2,0.3,-0.8,83.1,2,-1,-0.6,-0.230769230769231,-3,"Lipid",474796.45328415,1879190.30197127,3.95788614041444,1.98473010985329,0.0270345390098439,0.229541417240435,"Upregulated","ERLE"
"32","Feature0182",NA,"C30 H52 O6 S",540.34851,NA,NA,"Feature0182",30,52,0,6,1,0,0,0,1.73333333333333,0.2,-1.26666666666667,96.4,5,-1,-0.0869565217391304,0.0384615384615385,-2,"Lipid",3300897.98563841,1087007.61463226,0.329306636970189,-1.60249650604099,0.0496359618944314,0.249124987542071,"Downregulated","ERLE"
"33","Feature0163","MFCD00025555","C9 H18 N2 O3",202.13173,NA,NA,"MFCD00025555",9,18,2,3,0,0,0,0,2,0.333333333333333,-0.666666666666667,79.3,2,-1,-0.75,-0.272727272727273,-3,"Protein",504148.387791363,3452287.09239355,6.84775985800086,2.77563210919437,0.00334904494470828,0.163286835578155,"Upregulated","ERLE"
"34","Feature0156",".alpha.-Glucoheptitol","C7 H16 O7",212.08955,NA,NA,".alpha.-Glucoheptitol-peak2",7,16,0,7,0,0,0,0,2.28571428571429,1,-0.285714285714286,68.4428571428571,0,-7,-Inf,-1,-7,"Carbohydrate",13879442.9274072,7307798.48197025,0.526519581527284,-0.925440908086552,0.0378286922912938,0.249124987542071,"Downregulated","ERLE"
"35","Feature0150","Mevalonic acid","C6 H12 O4",148.07362,"Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Biosynthesis of plant secondary metabolites;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Biosynthesis of plant hormones;Biosynthesis of terpenoids and steroids;Other","Superpathway of branched chain amino acid biosynthesis;Methanobacterium thermoautotrophicum biosynthetic metabolism;Superpathway of L-threonine metabolism;Superpathway of coenzyme A biosynthesis II (plants);Superpathway of L-isoleucine biosynthesis I;Other","Mevalonic acid-peak1",6,12,0,4,0,0,0,0,2,0.666666666666667,-0.666666666666667,79.3,1,-3,-1.5,-0.25,-3,"Amino Sugar",3104069.90444204,831452.908327862,0.267858950965641,-1.90045458789841,0.0063240416758389,0.17570143334755,"Downregulated","ERLE"
"36","Feature0149","N-Acetylvaline","C7 H13 N O3",159.08948,"Metabolic pathways;Other","Superpathway of L-lysine degradation","N-Acetylvaline",7,13,1,3,0,0,0,0,1.85714285714286,0.428571428571429,-0.571428571428571,76.5857142857143,2,-1,-0.666666666666667,-0.111111111111111,-2,"Protein",1047241.65657846,460304.106191083,0.439539530632296,-1.18593517278937,0.0404132564102539,0.249124987542071,"Downregulated","ERLE"
"37","Feature0143",NA,"C33 H38 O10",594.2465,NA,NA,"Feature0143",33,38,0,10,0,0,0,0,1.15151515151515,0.303030303030303,-0.545454545454546,75.8454545454546,15,5,0.217391304347826,0.357142857142857,5,"Lignin",28327.6886569077,57246.566162319,2.02086964650254,1.01497626560211,0.0162099337048498,0.205108083388393,"Upregulated","ERLE"
"38","Feature0142","2-(3,4-Dimethoxyphenyl)-5,6,7,8-tetramethoxy-2,3-dihydro-4H-chromen-4-one","C21 H24 O8",404.14731,NA,NA,"2-(3,4-Dimethoxyphenyl)-5,6,7,8-tetramethoxy-2,3-dihydro-4H-chromen-4-one",21,24,0,8,0,0,0,0,1.14285714285714,0.380952380952381,-0.380952380952381,71.1571428571429,10,2,0.153846153846154,0.352941176470588,2,"Lignin",120368.321555447,192331.4104371,1.59785737602483,0.676138639752392,0.0489286153857062,0.249124987542071,"Upregulated","ERLE"
"39","Feature0140","D-(-)-Glutamine","C5 H10 N2 O3",146.06919,"Metabolic pathways;Microbial metabolism in diverse environments;ABC transporters;Biosynthesis of cofactors;Biosynthesis of plant secondary metabolites;Biosynthesis of amino acids;Central carbon metabolism in cancer;Other","Chitin biosynthesis;Superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis;Superpathway of purine nucleotide salvage;Superpathway of chorismate metabolism;Superpathway of butirocin biosynthesis;Other","D-(-)-Glutamine",5,10,2,3,0,0,0,0,2,0.6,0.4,48.9,2,-1,-Inf,-1,-3,"Amino Sugar",7421470.70624316,15137753.0825092,2.03972415733917,1.02837406212494,0.00601952790207415,0.17570143334755,"Upregulated","ERLE"
"40","Feature0135","MS 3 (enzyme inhibitor)","C21 H24 O7",388.15231,NA,NA,"MS 3 (enzyme inhibitor)",21,24,0,7,0,0,0,0,1.14285714285714,0.333333333333333,-0.476190476190476,73.8714285714286,10,3,0.214285714285714,0.371428571428571,3,"Lignin",35941.4581485614,113482.812042404,3.15743483676513,1.65875295993654,0.0141810208704648,0.205108083388393,"Upregulated","ERLE"
"41","Feature0132","(±)9-HpODE","C18 H32 O4",312.2302,"Metabolic pathways;Biosynthesis of secondary metabolites;Other","Other","(±)9-HpODE",18,32,0,4,0,0,0,0,1.77777777777778,0.222222222222222,-1.33333333333333,98.3,3,-1,-0.0714285714285714,0.0625,-1,"Lipid",3619486.46879483,15393192.4908883,4.25286642831787,2.08843554430543,0.0217564593437505,0.224282605106889,"Upregulated","ERLE"
"42","Feature0130","Adenosine","C10 H13 N5 O4",267.09685,"Metabolic pathways;ABC transporters;Other","Superpathway of purine nucleotide salvage;Other","Adenosine-peak2",10,13,5,4,0,0,0,0,1.3,0.4,1,31.8,7,3,-2,0,-2,"Lignin",132616214.358838,185060212.763176,1.39545691043806,0.480737576889043,0.0307119152224693,0.231391239995181,"Upregulated","ERLE"
"43","Feature0125","D-(−)-Erythrose","C4 H8 O4",120.04229,NA,NA,"D-(−)-Erythrose-peak2",4,8,0,4,0,0,0,0,2,1,0,60.3,1,-3,-Inf,-0.5,-3,"Carbohydrate",1746916.36489115,3535519.77525722,2.02386321767472,1.01711178911788,0.045350871979012,0.249124987542071,"Upregulated","ERLE"
"44","Feature0124","Acrylic acid","C3 H4 O2",72.02115,"Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Other","Superpathway of L-threonine metabolism;Other","Acrylic acid-peak1",3,4,0,2,0,0,0,0,1.33333333333333,0.666666666666667,0,60.3,2,0,0,0.5,0,"Tannin",5315265.16880823,13602144.2823313,2.55907162678417,1.35562052805737,0.00979018317454554,0.205108083388393,"Upregulated","ERLE"
"45","Feature0123","1,5-Anhydro-D-fructose","C6 H10 O5",162.0528,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Fructose and mannose metabolism;Other","Superpathway of butirocin biosynthesis;Other","1,5-Anhydro-D-fructose",6,10,0,5,0,0,0,0,1.66666666666667,0.833333333333333,0,60.3,2,-3,-3,-0.142857142857143,-3,"Carbohydrate",4749707.36760984,9498284.79119741,1.99976210239183,0.9998283829432,0.0187522648181323,0.206879824767782,"Upregulated","ERLE"
"46","Feature0116","L-Iditol","C6 H14 O6",182.07904,"Metabolic pathways;ABC transporters;Galactose metabolism;Fructose and mannose metabolism;Phosphotransferase system (PTS);Other","Other","L-Iditol-peak3",6,14,0,6,0,0,0,0,2.33333333333333,1,-0.333333333333333,69.8,0,-6,-Inf,-1,-6,"Carbohydrate",1354128550.84196,1992431575.4716,1.47137550141215,0.557165475615746,0.0353463166026308,0.246702862818362,"Upregulated","ERLE"
"47","Feature0112","MFCD12974029","C4 H11 N O4 S",169.04083,NA,NA,"MFCD12974029",4,11,1,4,1,0,0,0,2.75,1,0.5,46.05,0,-4,3,-Inf,-6,"Other",79072757.2049696,157571629.768986,1.99274232161317,0.994755169602424,0.0145398306437503,0.205108083388393,"Upregulated","ERLE"
"48","Feature0102",NA,"C10 H3 N2 O5 P",261.97802,NA,NA,"Feature0102",10,3,2,5,0,1,0,0,0.3,0.5,0.8,37.5,11,6,1.5,1.22222222222222,3,"Condensed HC",35063863.4235763,17210292.8915139,0.490827057007699,-1.02671331464184,0.00184241363809997,0.157526366057548,"Downregulated","ERLE"
"49","Feature0095","1-Deoxy-L-mannitol","C6 H14 O5",166.08409,NA,NA,"1-Deoxy-L-mannitol-peak1",6,14,0,5,0,0,0,0,2.33333333333333,0.833333333333333,-0.666666666666667,79.3,0,-5,-5,-0.714285714285714,-5,"Carbohydrate",44609103.4742505,31644882.5589346,0.709381720195313,-0.495365940429534,0.0409614968533135,0.249124987542071,"Downregulated","ERLE"
"50","Feature0093","(2E)-3-[4-(Sulfooxy)phenyl]acrylic acid","C9 H8 O6 S",244.00412,NA,NA,"(2E)-3-[4-(Sulfooxy)phenyl]acrylic acid-peak1",9,8,0,6,1,0,0,0,0.888888888888889,0.666666666666667,0.666666666666667,41.3,6,0,-0.5,0.4,-1,"Tannin",48021.8829984129,149821.412994256,3.11985710762752,1.64147995381893,0.0140548957603808,0.205108083388393,"Upregulated","ERLE"
"51","Feature0091","L-Iditol","C6 H14 O6",182.07903,"Metabolic pathways;ABC transporters;Galactose metabolism;Fructose and mannose metabolism;Phosphotransferase system (PTS);Other","Other","L-Iditol-peak2",6,14,0,6,0,0,0,0,2.33333333333333,1,-0.333333333333333,69.8,0,-6,-Inf,-1,-6,"Carbohydrate",44191410.2600202,11294851.4070771,0.255589295309173,-1.96810068085509,0.042505254206971,0.249124987542071,"Downregulated","ERLE"
"52","Feature0085",NA,"C6 H13 N O9",243.05903,NA,NA,"Feature0085",6,13,1,9,0,0,0,0,2.16666666666667,1.5,1.33333333333333,22.3,1,-8,2.25,-9,-9,"Carbohydrate",4680072.45255431,9713410.41174242,2.07548291403929,1.05344705531794,0.0265846958746176,0.229541417240435,"Upregulated","ERLE"
"53","Feature0082","7a-Hydroxy-3,6-dimethyl-5,6,7,7a-tetrahydro-1-benzofuran-2(4H)-one","C10 H14 O3",182.09428,"Metabolic pathways;Biosynthesis of secondary metabolites;Other",NA,"7a-Hydroxy-3,6-dimethyl-5,6,7,7a-tetrahydro-1-benzofuran-2(4H)-one",10,14,0,3,0,0,0,0,1.4,0.3,-0.8,83.1,4,1,0.142857142857143,0.294117647058824,1,"Lignin",936487.119651812,2286934.51049508,2.44203519995594,1.28808399575361,0.0411656723090811,0.249124987542071,"Upregulated","ERLE"
"54","Feature0081","9(S)-HpOTrE","C18 H30 O4",310.2145,"Metabolic pathways;Biosynthesis of secondary metabolites;Other","Other","9(S)-HpOTrE",18,30,0,4,0,0,0,0,1.66666666666667,0.222222222222222,-1.22222222222222,95.1333333333333,4,0,0,0.125,0,"Lipid",1504917.27203679,20265607.0446995,13.4662598544514,3.75127730435882,0.029997832912195,0.231391239995181,"Upregulated","ERLE"
"55","Feature0077",NA,"C6 H7 N3 O6 P2",278.98094,NA,NA,"Feature0077",6,7,3,6,0,2,0,0,1.16666666666667,1,0.666666666666667,41.3,6,0,1,1,-5,"Tannin",274457.895398266,497791.804134957,1.81372739673825,0.858957635068409,0.0271243653431064,0.229541417240435,"Upregulated","ERLE"
"56","Feature0076","Azelaic acid","C9 H16 O4",188.10484,NA,NA,"Azelaic acid",9,16,0,4,0,0,0,0,1.77777777777778,0.444444444444444,-0.888888888888889,85.6333333333333,2,-2,-0.4,0,-2,"Protein",3469113.38462077,5279589.54958934,1.52188440222068,0.605858780210338,0.0160664788704364,0.205108083388393,"Upregulated","ERLE"
"57","Feature0073","N-Phenylacetylglutamic acid","C13 H15 N O5",265.0951,NA,NA,"N-Phenylacetylglutamic acid",13,15,1,5,0,0,0,0,1.15384615384615,0.384615384615385,-0.153846153846154,64.6846153846154,7,2,0.142857142857143,0.368421052631579,1,"Lignin",1234769.84233339,381730.792053855,0.309151372965575,-1.6936146821526,0.00450563265097165,0.163286835578155,"Downregulated","ERLE"
"58","Feature0051","N-Acetyl-3,4,5,6-tetrahydroxynorleucine","C8 H15 N O7",237.08486,NA,NA,"N-Acetyl-3,4,5,6-tetrahydroxynorleucine",8,15,1,7,0,0,0,0,1.875,0.875,0.25,53.175,2,-5,-Inf,-0.714285714285714,-6,"Carbohydrate",1491774.89052579,320895.104019645,0.21510960270054,-2.21685616538803,0.0456157963619073,0.249124987542071,"Downregulated","ERLE"
"59","Feature0038","(6-Hydroxy-1-oxo-1H-isochromen-3-yl)methyl hydrogen sulfate","C10 H8 O7 S",271.99907,"Other",NA,"(6-Hydroxy-1-oxo-1H-isochromen-3-yl)methyl hydrogen sulfate",10,8,0,7,1,0,0,0,0.8,0.7,0.8,37.5,7,0,-0.5,0.454545454545455,-1,"Condensed HC",126657.350510662,224940.615623824,1.77597758611639,0.828613374141409,0.0455877522603057,0.249124987542071,"Upregulated","ERLE"
"60","Feature0037",NA,"C16 H26 N2 O10",406.15889,NA,NA,"Feature0037",16,26,2,10,0,0,0,0,1.625,0.625,0,60.3,5,-5,-1.75,-0.222222222222222,-7,"Amino Sugar",285546.43438147,580146.784056553,2.0317073309398,1.02269259570666,0.0275181231194673,0.229541417240435,"Upregulated","ERLE"
"61","Feature0025","100-1","C31 H34 O10",566.21508,"Biosynthesis of secondary metabolites;Other",NA,"100-1",31,34,0,10,0,0,0,0,1.09677419354839,0.32258064516129,-0.451612903225806,73.1709677419355,15,5,0.238095238095238,0.384615384615385,5,"Lignin",39947.6466142414,92271.7255811908,2.30981630713374,1.20777812292932,0.0253545709537161,0.229541417240435,"Upregulated","ERLE"
"62","Feature0024","2-Oxo-4-pentenoic acid","C5 H6 O3",114.03175,"Metabolic pathways;Microbial metabolism in diverse environments;Degradation of aromatic compounds;Other","Superpathway of aromatic compound degradation via 2-oxopent-4-enoate;Superpathway of aromatic compound degradation via 3-oxoadipate;Other","2-Oxo-4-pentenoic acid",5,6,0,3,0,0,0,0,1.2,0.6,0,60.3,3,0,0,0.428571428571429,0,"Lignin",165169.164048961,578698.706737137,3.50367279552007,1.80886804939048,0.0222971010924978,0.224282605106889,"Upregulated","ERLE"
"63","Feature0022","Caffeic acid","C9 H8 O4",180.04224,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of cofactors;Biosynthesis of plant secondary metabolites;Degradation of aromatic compounds;Biosynthesis of amino acids;Biosynthesis of phenylpropanoids;2-Oxocarboxylic acid metabolism;Other","Superpathway of scopolin and esculin biosynthesis;Superpathway of chorismate metabolism;Other","Caffeic acid",9,8,0,4,0,0,0,0,0.888888888888889,0.444444444444444,0,60.3,6,2,0.4,0.571428571428571,2,"Lignin",6730256.60713894,2152646.14489271,0.319846072824229,-1.64455032540159,0.0165656356768754,0.205108083388393,"Downregulated","ERLE"
